Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
acorn pochette,Brown,Yes,NFS,2400,Brown,Green,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr
basket pack,Green,Yes,NFS,2400,Green,Green,1x1,NA,Crafting,,All Year,1.0.0,Simple,outdoorsy; work,No,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH
bug cage,Green,No,NFS,122,Green,White,1x1,NA,Bug-Off,,All Year,1.0.0,Active,outdoorsy; vacation,No,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp
Bunny Day bag,None,Yes,NFS,2400,Colorful,Colorful,1x1,NA,Crafting,,All Year,1.1.0a,Active,fairy tale; party; theatrical,No,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM
butterfly backpack,Pink,No,NFS,210,Pink,Yellow,1x1,NA,Bug-Off,,All Year,1.0.0,Cute,everyday; formal; party,No,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z
canvas backpack,White,No,1300,325,White,Orange,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu
cherry-blossom pochette,Pink,Yes,NFS,2400,Pink,Pink,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys
cloth shoulder bag,Blue,No,1400,350,Light blue,Light blue,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc
cloth shoulder bag,Orange,No,1400,350,Orange,Orange,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k
cloth shoulder bag,Ivory,No,1400,350,White,White,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN
crossbody bag,Pink,No,700,175,Pink,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami
crossbody bag,Green,No,700,175,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn
crossbody bag,Yellow,No,700,175,Yellow,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj
crossbody bag,White,No,700,175,White,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y
crossbody boston bag,Red,No,1680,420,Red,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy
crossbody boston bag,Blue,No,1680,420,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa
DAL backpack,Blue,No,NFS,1010,Blue,Black,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Cool,outdoorsy; vacation,No,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD
dry bag,Yellow,No,1040,260,Yellow,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a
dry bag,Blue,No,1040,260,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz
evening bag,Pink,No,1250,312,Pink,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7
evening bag,Blue,No,1250,312,Blue,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG
evening bag,Black,No,1250,312,Black,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj
