Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
acid-washed jeans,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy
acid-washed jeans,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH
animal-stripes skirt,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday,No,For sale,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs
animal-stripes skirt,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday,No,For sale,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon
apron skirt,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd
apron skirt,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra
apron skirt,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs
athletic pants,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA
athletic pants,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK
athletic pants,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2
