Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
acorn pochette,6,acorn,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Fall,0,1.0.0,Bags,2982,632,a9FFbP64fTcJ3Cn5E
acoustic guitar,8,softwood,3,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,406,44,Y62RymJYgbmZEyQon
angled signpost,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,440,510,BNiDaivRjGNzCckWw
apple chair,10,apple,4,wood,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Housewares,1700,189,HB55bMQf4D57ekNf4
apple dress,8,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Dresses,1782,621,KmfTvhh3qeyd6WcFJ
apple hat,5,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Headwear,1781,622,5ABmQxkN3SatETcEg
apple rug,6,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Rugs,1770,542,5noTnXTTPzBfbsaz2
apple umbrella,7,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Umbrellas,1780,623,N2aQCn6hYqjw2ijPX
apple wall,20,apple,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Wallpaper,1750,304,7azjirioafcXyzPHB
Aquarius urn,3,star fragment,2,Aquarius fragment,2,gold nugget,5,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2310,366,NGfmzz4ndL9MvLG2F
Aries rocking chair,3,star fragment,2,Aries fragment,1,gold nugget,5,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2300,367,XXJwFRCG4m9Q4xe6y
armor shoes,4,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Shoes,982,642,zbzh6s369wZ3anypo
aroma pot,3,clay,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Miscellaneous,704,30,BTu3bRj64f2dwdDXa
asteroid,5,star fragment,10,stone,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2203,235,BPNHraJWRXYZahLoJ
astronaut suit,5,star fragment,5,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2220,236,sczENjHH7XW8e2n3Q
autumn wall,10,maple leaf,5,wood,5,clump of weeds,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Wallpaper,2950,290,vjyWT27sydFDoYjhF
axe,1,flimsy axe,3,wood,1,iron nugget,,,,,,,NFS,200,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,102,271,b3QE9sXE7w5KCXkS5
backyard lawn,30,clump of weeds,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Floors,1261,487,pCoJi3w8hqsWKsBvz
