Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
aerobics leggings,Red & pink,No,700,175,Pink,Red,1x1,NA,Kicks,,All Year,No,1.0.0,Active,sporty,No,For sale,SocksTexAerobics0,5197,Smui8G3P6D8WgqK9G
aerobics leggings,Emerald & lime,No,700,175,Green,Light blue,1x1,NA,Kicks,,All Year,No,1.0.0,Active,sporty,No,For sale,SocksTexAerobics1,9794,eZKx89GvGsXcSDiMk
aerobics leggings,Purple & orange,No,700,175,Orange,Purple,1x1,NA,Kicks,,All Year,No,1.0.0,Active,sporty,No,For sale,SocksTexAerobics2,9795,jWvfpeefbhQpHQFoM
aerobics leggings,Light blue & salmon pink,No,700,175,Pink,Light blue,1x1,NA,Kicks,,All Year,No,1.0.0,Active,sporty,No,For sale,SocksTexAerobics3,9796,nYBBFZjyvYjTSN4fD
aerobics leggings,Yellow & blue,No,700,175,Blue,Yellow,1x1,NA,Kicks,,All Year,No,1.0.0,Active,sporty,No,For sale,SocksTexAerobics4,9797,gYqiyt5aP9KjqNnXQ
Aran-knit socks,Beige,No,720,180,Beige,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan0,4742,stTCJiLMdhmZ2ztyw
Aran-knit socks,White,No,720,180,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan1,9058,XX9wX5KzyENyLGa5e
Aran-knit socks,Red,No,720,180,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan2,9059,7xkmotJQfLFN6Rohx
Aran-knit socks,Green,No,720,180,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan3,9060,NH6u8astq42zMebAa
Aran-knit socks,Blue,No,720,180,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan4,9061,Gardfqrryv6SLZSQB
Aran-knit socks,Black,No,720,180,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; comfy,No,For sale,SocksTexAlan5,9062,pLZq39rKg8rn454r4
argyle crew socks,Blue,No,720,180,Blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle0,5806,QyJBC6G3E7dzXidaW
argyle crew socks,Red,No,720,180,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle1,9921,9MeYsgc2wAGCmj4mC
argyle crew socks,Green,No,720,180,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle2,9922,dm4YEXfYftcwG3NB8
argyle crew socks,Beige,No,720,180,Beige,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle3,9923,KrrN2AHTcePZaMyMo
argyle crew socks,Gray,No,720,180,Gray,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle4,9924,2LSJz8d2eCLmuyiMg
argyle crew socks,White,No,720,180,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle5,9925,dT8t2ZMFSfktJkoDd
argyle crew socks,Orange,No,720,180,Orange,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle6,9926,CyRT5FdBTnic9cYrF
argyle crew socks,Pink,No,720,180,Pink,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; work,No,For sale,SocksTexArgyle7,9927,9Gibgt5gRyngn6EuR
back-bow socks,Pink,No,600,150,Pink,Black,1x1,NA,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; vacation,No,For sale,SocksTexRibbon0,4718,SerX2gLYQTKxmFi7W
