Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
A tee,NA,No,560,140,Blue,White,1x1,NA,Nook Shopping Catalog,,All Year,No,1.0.0,Simple,everyday; comfy,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR
acid-washed jacket,Blue,No,1680,420,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLChemical0,5289,zAiLmCwSaWADqXkRf
acid-washed jacket,Black,No,1680,420,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLChemical1,9538,K96PFk2AuQFqPrKH3
after-school jacket,Black,No,1050,262,Black,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya
after-school jacket,Berry red,No,1050,262,Red,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A
after-school jacket,Green,No,1050,262,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen2,7555,YHLqiyRYuF8BwEgaF
after-school jacket,White,No,1050,262,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm
after-school jacket,Purple,No,1050,262,Purple,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh
after-school jacket,Gray,No,1050,262,Gray,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a
after-school jacket,Blue,No,1050,262,Blue,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopYshirtsLGakuranopen6,7559,KzNwELnmeCmWBQMoD
animal-print coat,Blue,No,2320,580,Blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Cute,everyday,Yes,For sale,TopsTexTopCoatLAnimal0,4465,ozg6yMkXQzsmkjPsW
animal-print coat,Green,No,2320,580,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday,Yes,For sale,TopsTexTopCoatLAnimal1,8449,gWnBj8n2ZKrm8j8zf
