Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
air conditioner,White,NA,NA,NA,No,No,No,NA,63000,15750,White,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp
air conditioner,Gray,NA,NA,NA,No,No,No,NA,63000,15750,Gray,Gray,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3
air conditioner,Black,NA,NA,NA,No,No,No,NA,63000,15750,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS
air conditioner,Pink,NA,NA,NA,No,No,No,NA,63000,15750,Pink,Pink,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ
air conditioner,Blue,NA,NA,NA,No,No,No,NA,63000,15750,Light blue,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB
air conditioner,Brown,NA,NA,NA,No,No,No,NA,63000,15750,Brown,Brown,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,No,No lighting,No,For sale,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB
antique phone,Brown,NA,NA,NA,No,No,No,NA,16000,4000,Brown,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,No,No lighting,No,For sale,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7
antique phone,Natural,NA,NA,NA,No,No,No,NA,16000,4000,Beige,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,No,No lighting,No,For sale,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn
antique phone,Black,NA,NA,NA,No,No,No,NA,16000,4000,Black,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,No,No lighting,No,For sale,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8
autograph cards,Signature,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb
autograph cards,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_0_1,0_1,1899,agiS2suZcLp3cZp7x
autograph cards,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_1_0,1_0,1899,XzBB69cXctRGbKen7
autograph cards,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_1_1,1_1,1899,vwk5njowHf3GkRcFq
autograph cards,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_2_0,2_0,1899,mvuDgsouHqTwejnpx
autograph cards,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_2_1,2_1,1899,3brxKrQHt4tHAmJ5S
autograph cards,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_3_0,3_0,1899,7c4SDPyoLDewHz9Pg
autograph cards,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No,No lighting,No,For sale,FtrAutograph_Remake_3_1,3_1,1899,yRB4GuGA6L86EBg5K
