Name,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID,Unique Entry ID
abstract wall,No,NA,No,1560,390,White,Colorful,NA,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,shop,facility,None,Cloth Walls,1.0.0,RoomTexWallAbstract00,4873,FpdbDr4PMe5WdEZkA
ancient wall,No,NA,No,3000,750,Beige,Brown,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,folk art,horror,None,Asia,1.0.0,RoomTexWallEgypt00,4936,Y2pykQMhqbEoGGa62
apple wall,No,NA,Yes,NFS,4000,Red,Red,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallApple00,4916,roJZFWataeLQK6vqa
aqua tile wall,No,NA,No,1420,355,Light blue,Light blue,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile01,4930,6NXvjsdpxJLbd96RM
arched-window wall,Yes,NA,No,2150,537,Brown,Light blue,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,shop,expensive,None,Special Walls,1.0.0,RoomSpWallGlass00,5482,TzS5oe6a7KyBezmLS
autumn wall,Yes,Random,Yes,NFS,4700,Brown,Orange,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,garden,None,tree's bounty or leaves,Special Warm Nature Walls,1.0.0,RoomSpWallAutumun00,4905,KfLqJKhWtys8v86ig
backyard-fence wall,Yes,Synchro,No,3000,750,Light blue,White,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallBackyard00,5481,oPYWjEfm7BqHTYipq
bamboo wall,No,NA,Yes,NFS,2400,Green,Beige,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallBamboo00,4833,MYpD6DoNCPDw6d9t3
bamboo-grove wall,No,NA,Yes,NFS,4300,Green,Green,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallChikurin00,4853,LbsrED9Rwg6SHTCpa
bamboo-screen wall,No,NA,No,1770,442,Brown,Brown,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,zen-style,None,None,Wood Walls,1.0.0,RoomTexWallRattan00,4836,MZt39wkPG6P7iWG2M
bank-vault wall,No,NA,No,3000,750,Gray,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,facility,expensive,None,Iron Walls,1.0.0,RoomTexWallSafeBox00,4839,HrgjLfo8tPzP2zpbE
basic wall,Yes,NA,No,600,150,White,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,office,facility,None,Special Walls,1.0.0,RoomSpWallSimplePanel00,5559,FJxKPu5W2sd2YWQfA
beaded-curtain wall,No,NA,No,1720,430,White,Orange,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,shop,kitchen,None,Cloth Walls,1.0.0,RoomTexWallBeadsCurtain00,4877,M3mNZS2vSaHaiujcH
beige art-deco wall,No,NA,No,2780,695,Beige,Beige,NA,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Wood,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco00,4817,2zmJaMB2B9i8gLTKt
beige blossoming wall,No,NA,No,1760,440,Beige,Brown,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,fancy,living room,None,Country,1.0.0,RoomTexWallCountry00,4831,CF5325jZx7pNsqb6Z
beige desert-tile wall,No,NA,No,2440,610,Beige,Beige,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco00,4834,qZrgjoMjxz9ehXqa4
black botanical-tile wall,No,NA,No,1240,310,Black,Black,NA,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile03,6877,PEcX9J774Ffd6Gn8S
black hallway wall,No,NA,No,2000,500,Black,Black,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall03,6862,pQrYRHsmovBApejNJ
black perforated-board wall,No,NA,No,1180,295,Black,Black,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard02,4922,7fMiJATy4fWP4DpoC
black two-toned tile wall,No,NA,No,1850,462,Black,Black,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile06,6859,aF8tqscwpShhhsASx
black-brick wall,No,NA,No,1000,250,Black,Black,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Brick,1.0.0,RoomTexWallBrick02,4929,tCex7y47sAsaD44Wm
black-crown wall,No,NA,No,2350,587,Black,Black,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown01,4815,4cCAvP8bbCYcyAyBE
blackboard wall,No,NA,No,3000,750,Black,Colorful,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,shop,school,None,Neta Walls,1.0.0,RoomTexWallBlackBoard00,4882,Aseoowo4cuXJqyWaA
blue blossoming wall,No,NA,No,1760,440,Light blue,Blue,NA,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,fancy,living room,None,Country,1.0.0,RoomTexWallCountry02,4896,SZWxorHWvT7vhGXsj
blue camo wall,No,NA,No,1150,287,Blue,Blue,NA,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage01,4884,xQ2EDvGyh76skJyX3
blue delicate-blooms wall,No,NA,No,1900,475,Blue,Black,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor03,6852,7Fb4nvMvoxtCZRQv7
