Dataset,SiteCode,POC,Date,Percentile,SiteName,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammNO3f_Unit,ammSO4f_Val,ammSO4f_Unit,ECf_Val,ECf_Unit,OMCf_Val,OMCf_Unit,SOILf_Val,SOILf_Unit,SVR_Val,SVR_Unit
IMPRHR2,AGTI1,1,1/3/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.44634,ug/m^3,0.16578,ug/m^3,0.101,ug/m^3,0.65988,ug/m^3,0.12392,ug/m^3,217.30695,km
IMPRHR2,AGTI1,1,1/6/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.06966,ug/m^3,0.18971,ug/m^3,0.1536,ug/m^3,0.65016,ug/m^3,0.12221,ug/m^3,238.28668,km
IMPRHR2,AGTI1,1,1/9/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.72409,ug/m^3,1.64575,ug/m^3,0.2011,ug/m^3,1.8657,ug/m^3,0.13866,ug/m^3,83.81186,km
IMPRHR2,AGTI1,1,1/12/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.26909,ug/m^3,0.21182,ug/m^3,0.1017,ug/m^3,0.50094,ug/m^3,0.22845,ug/m^3,218.84126,km
IMPRHR2,AGTI1,1,1/15/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.04502,ug/m^3,0.09261,ug/m^3,0.1202,ug/m^3,0.60552,ug/m^3,0.17952,ug/m^3,245.69277,km
IMPRHR2,AGTI1,1,1/18/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.0765,ug/m^3,0.13254,ug/m^3,0.1528,ug/m^3,0.7623,ug/m^3,0.25427,ug/m^3,228.15841,km
IMPRHR2,AGTI1,1,1/21/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.08836,ug/m^3,0.17886,ug/m^3,0.1018,ug/m^3,0.46692,ug/m^3,0.28063,ug/m^3,237.38206,km
IMPRHR2,AGTI1,1,1/24/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.04605,ug/m^3,0.25625,ug/m^3,0.0848,ug/m^3,0.29088,ug/m^3,0.2562,ug/m^3,261.06101,km
IMPRHR2,AGTI1,1,1/27/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.06282,ug/m^3,0.19321,ug/m^3,0.0361,ug/m^3,0.42984,ug/m^3,0.19855,ug/m^3,247.51869,km
IMPRHR2,AGTI1,1,1/30/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.55819,ug/m^3,1.33955,ug/m^3,0.2255,ug/m^3,1.60146,ug/m^3,0.16077,ug/m^3,95.11582,km
IMPRHR2,AGTI1,1,2/2/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,2/5/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.58347,ug/m^3,0.4363,ug/m^3,0.3549,ug/m^3,1.72368,ug/m^3,0.43705,ug/m^3,129.24641,km
IMPRHR2,AGTI1,1,2/8/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,2.3945,ug/m^3,1.17191,ug/m^3,0.1555,ug/m^3,1.78182,ug/m^3,0.49659,ug/m^3,72.09205,km
IMPRHR2,AGTI1,1,2/11/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.07508,ug/m^3,0.20967,ug/m^3,0.0389,ug/m^3,0.12654,ug/m^3,0.18907,ug/m^3,255.29484,km
IMPRHR2,AGTI1,1,2/14/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.62797,ug/m^3,0.8724,ug/m^3,0.2409,ug/m^3,1.74528,ug/m^3,0.34477,ug/m^3,125.1472,km
IMPRHR2,AGTI1,1,2/17/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
