age.days,length.cm
5337,131
2081,123
2085,122
4299,136
2861,122
5052,131
5417,131
2862,135
2132,123
3595,125
4690,128
4327,134
3600,128
1775,116
2870,128
2870,126
4332,135
2507,123
2507,127
2872,121
1780,115
2510,104
3240,119
4700,134
2510,121
2145,122
2510,124
3240,116
1415,121
2145,119
2145,127
3970,122
2145,119
4336,129
1781,116
2876,121
2146,124
2511,126
3971,131
2877,125
2147,130
6162,123
3173,121
6095,128
6460,127
2811,122
2811,119
3541,119
2447,119
4272,115
5002,128
6098,119
6098,134
4638,133
5368,127
2448,118
3908,119
3178,120
2815,124
2815,118
6100,140
3550,144
3186,114
2458,121
5013,116
2458,115
5754,123
1744,115
5403,119
2118,111
3213,113
4673,117
3213,122
1753,113
4674,120
3214,121
3579,126
5039,141
4674,136
5039,119
5041,124
3216,120
2121,110
6136,122
5041,119
4311,123
3946,126
2486,112
4311,126
1391,115
2487,123
6137,128
5408,128
5798,129
2878,133
3243,135
2148,115
2878,128
3973,125
1783,119
5798,129
2148,125
3973,128
3975,129
2515,121
6165,129
1420,124
1785,118
1785,125
3610,128
2150,117
1785,129
3245,118
5070,143
2150,123
2150,126
1785,124
2152,131
4342,124
1423,117
2518,123
2518,122
2883,137
2884,137
2519,119
3615,129
2521,123
1803,119
3263,120
1803,116
2898,126
3263,132
2533,121
4956,137
6087,119
2437,119
4992,130
6087,125
2072,114
3167,121
5725,115
4265,130
3175,129
5365,124
6460,129
2813,123
3543,130
3180,125
2815,129
2451,115
5736,119
3181,127
5006,124
1721,114
5736,130
3546,128
2086,118
2089,113
3185,127
6106,128
2821,119
2456,128
2821,115
3186,121
3551,119
2821,123
2821,122
4281,119
1726,112
6106,129
1361,110
4647,126
3188,123
1728,117
3188,126
3188,129
2458,121
3188,132
2458,120
1728,121
2823,125
2100,118
2465,112
2465,111
1735,112
2830,121
4655,133
3195,127
2830,120
5386,128
2101,115
2831,129
5386,134
2466,130
2102,110
2832,123
2467,112
2102,124
3197,114
1737,115
3197,113
2832,122
5752,129
5752,120
5390,122
2835,129
2470,117
2835,116
3200,120
1376,114
2472,116
2472,114
2107,117
1377,114
2837,132
3567,122
5757,122
3567,120
5757,127
4297,120
3202,142
