distance,elev,abiotic,age,hetero,firesev,cover,rich
53.409,1225,60.67102574,40,0.757065,3.5,1.03879744,51
37.03745,60,40.9429135,25,0.49134,4.05,0.47759241,31
53.69565,200,50.98805383,15,0.844485,2.6,0.94893572,71
53.69565,200,61.15633116,15,0.690847,2.9,1.19490019,64
51.95985,970,46.66807061,23,0.545628,4.3,1.29818904,68
51.95985,970,39.82356516,24,0.652895,4,1.17348657,34
51.95985,950,56.42359736,35,0.742142,4.8,0.86158595,39
51.4478,740,46.97990839,14,0.82198,4.8,0.41906623,66
37.03745,170,42.08805646,45,0.602799,7.25,0.12851131,25
37.8594,190,32.59386543,35,0.805082,6.2,0.3062645,31
39.4598,210,42.36410299,45,0.450604,8.05,0.68247702,28
39.4598,185,45.61543356,35,0.72762,7.55,0.5310083,46
39.4598,185,44.67795209,35,0.745032,7.25,0.2957547,36
39.4598,210,49.18702112,30,0.621105,7.3,0.98468564,38
59.07485,400,45.80336337,15,0.712214,3.8,0.69869688,40
59.07485,400,39.39693407,40,0.651254,5.7,1.16663393,52
56.84925,200,64.01331567,21,0.726413,4.3,0.84068273,73
40.23825,90,51.05547687,39,0.384182,4.2,1.11949189,49
40.23825,95,50.64962673,39,0.683119,4.25,0.41204136,46
58.60545,640,58.05778638,29,0.577675,5.1,0.84594715,36
58.8474,700,58.03854987,12,0.465738,1.95,1.17590928,38
37.8594,110,41.87261476,19,0.623248,4.4,0.66100507,37
37.8594,120,43.70487257,20,0.716368,4.45,0.6517726,36
37.8594,160,61.84835278,21,0.778771,3,0.41172415,40
37.03745,75,45.55794644,3,0.631893,1.2,0.53282988,36
39.4598,100,48.86042408,17,0.577784,6.4,0.49739296,31
37.03745,210,45.36713827,40,0.630827,8.2,0.20203482,25
39.4598,235,44.16061746,40,0.443006,6.85,0.05557657,15
37.8594,160,39.75716486,57,0.60485,6.15,0.12124606,24
37.03745,180,43.13406326,52,0.720007,7.7,0.08297883,29
53.86305,750,47.85938774,35,0.670668,6.1,0.54920017,61
53.86305,880,47.31453699,40,0.821218,4.3,0.54646221,50
37.8594,90,46.38316209,5,0.632909,3.75,1.27310233,58
37.8594,80,48.63162457,5,0.501772,3.7,0.84805791,44
52.76225,490,50.52500555,28,0.877938,5.7,0.37941846,50
52.76225,470,44.21998229,33,0.672676,5.4,0.35841475,22
42.4866,475,45.02599153,31,0.768474,4.85,0.63674533,45
42.4866,425,43.52531357,48,0.810168,4.85,0.290822,45
42.4866,450,50.83791467,55,0.685509,4.3,0.50717877,38
37.03745,120,38.13316317,22,0.681703,3.25,0.63749067,27
37.03745,120,40.73619569,21,0.832805,2.5,1.06473979,52
51.2534,410,37.06725706,13,0.44362,3.85,0.76755405,37
51.77085,500,40.28145203,13,0.655193,2.55,1.32067202,61
49.61405,215,43.06370771,25,0.760627,3.3,1.07900425,85
50.175,390,46.13870708,15,0.524506,4,0.9377264,51
50.175,390,44.8427679,12,0.662972,3.4,0.69915774,55
49.61405,240,49.88035458,28,0.717096,3.9,0.30582847,50
49.61405,215,40.87125833,16,0.837892,4,0.55437438,71
39.4598,600,41.39449819,25,0.458076,7.5,0.83649961,25
53.2362,275,45.05330846,28,0.665893,4.9,0.8507124,69
53.2362,400,55.1638656,38,0.618283,4.7,0.74700881,36
60.3042,665,64.6648058,10,0.799485,1.7,0.51896384,81
60.5018,650,64.16075168,26,0.65456,3,1.12002246,63
60.5018,645,56.79128184,23,0.818051,6,0.56923477,64
60.5018,660,48.47836418,16,0.773888,6.7,0.79578273,68
60.5018,650,65.49188037,19,0.732976,2,0.9167156,64
60.41025,675,48.2127047,15,0.866607,6.05,0.57708428,52
60.41025,670,52.28453281,27,0.695984,3.9,0.67706467,68
60.41025,680,53.71627773,30,0.670694,2.9,0.61410302,57
60.6414,600,52.98931288,30,0.737869,3.7,0.62828578,62
53.69565,275,44.13341085,3,0.748379,1.2,1.1074659,50
53.69565,300,37.69876959,6,0.501253,1.3,0.84054394,40
60.6414,590,57.79974128,25,0.839612,3.6,0.90855822,74
60.68945,550,58.06811815,28,0.784895,4.4,0.73840393,59
60.68945,550,57.720386,27,0.731926,3.7,0.27628054,66
60.68945,480,59.86913918,19,0.81423,4.85,0.77771328,63
60.68945,480,56.65693466,25,0.802434,4.85,0.59338111,67
60.723,475,57.95677978,11,0.848965,5.6,0.58821905,68
60.723,475,51.36570665,11,0.784076,4.1,0.51846397,61
57.7926,450,50.5556375,15,0.768052,5.7,0.34806766,36
37.8594,450,57.24555024,36,0.652508,4.2,1.09761107,65
37.03745,350,43.4833858,24,0.731988,4.8,0.54498063,34
37.03745,365,46.32455146,24,0.665088,7.2,0.67605775,30
43.913,260,51.03277982,26,0.738192,9.2,0.28858364,52
43.913,250,48.48387036,26,0.504874,6.2,0.68021606,42
43.20705,210,54.10154175,6,0.645109,2.1,1.12022933,49
42.4866,170,51.49772343,31,0.763785,3.85,0.44701614,65
39.4598,130,45.30344428,20,0.657726,3.9,0.48445559,33
59.83965,475,46.64319769,15,0.62856,4.85,1.535408,48
59.83965,475,58.05232263,15,0.819453,5.3,0.92860808,58
59.83965,980,70.45628615,15,0.853594,4.6,0.46919542,67
51.77085,350,62.83870344,16,0.653353,3.3,0.45107384,62
51.77085,335,44.15408265,20,0.59628,5.4,0.51761156,58
51.77085,300,48.98806208,33,0.47335,4.3,0.5572632,51
53.2362,650,39.85517866,13,0.667834,3.6,0.5144298,44
53.2362,750,42.7387406,20,0.701633,3,1.16590727,42
41.0022,730,55.9113579,48,0.674635,3.8,1.08351251,55
41.0022,700,53.14061917,35,0.544894,4.5,0.56744869,55
53.86305,870,39.94216851,60,0.615237,3.9,0.5808883,47
53.86305,575,44.29654736,36,0.810698,4.6,0.37861547,44
