Country,Group,PPGDP,LifeExp
Afghanistan,other,499,49.49
Albania,other,3677.2,80.4
Algeria,africa,4473,75
Angola,africa,4321.9,53.17
Anguilla,other,13750.1,81.1
Argentina,other,9162.1,79.89
Armenia,other,3030.7,77.33
Aruba,other,22851.5,77.75
Australia,oecd,57118.9,84.27
Austria,oecd,45158.8,83.55
Azerbaijan,other,5637.6,73.66
Bahamas,other,22461.6,78.85
Bahrain,other,18184.1,76.06
Bangladesh,other,670.4,70.23
Barbados,other,14497.3,80.26
Belarus,other,5702,76.37
Belgium,oecd,43814.8,82.81
Belize,other,4495.8,77.81
Benin,africa,741.1,58.66
Bermuda,other,92624.7,82.3
Bhutan,other,2047.2,69.84
Bolivia,other,1977.9,69.4
Bosnia and Herzegovina,other,4477.7,78.4
Botswana,africa,7402.9,51.34
Brazil,other,10715.6,77.41
Brunei,other,32647.6,80.64
Bulgaria,other,6365.1,77.12
Burkina Faso,africa,519.7,57.02
Burundi,africa,176.6,52.58
Cambodia,other,797.2,65.1
Cameroon,africa,1206.6,53.56
Canada,oecd,46360.9,83.49
Cape Verde,africa,3244,77.7
Cayman Islands,other,57047.9,83.8
Central African Republic,africa,450.8,51.3
Chad,africa,727.4,51.61
Chile,oecd,11887.7,82.35
China,other,4354,75.61
Colombia,other,6222.8,77.69
Comoros,africa,736.6,63.18
Congo,africa,2665.1,59.33
Cook Islands,other,12212.1,76.2454672361809
Costa Rica,other,7703.8,81.99
Cote dIvoire,africa,1154.1,57.71
Croatia,other,13819.5,80.37
Cuba,other,5704.4,81.33
Cyprus,other,28364.3,82.14
Czech Republic,oecd,18838.8,81
Democratic Republic of the Congo,africa,200.6,50.56
Denmark,oecd,55830.2,81.37
Djibouti,africa,1282.6,60.04
Dominica,other,7020.8,78.2
Dominican Republic,other,5195.4,76.57
East Timor,other,706.1,64.2
Ecuador,other,4072.6,78.91
Egypt,africa,2653.7,75.52
El Salvador,other,3425.6,77.09
Equatorial Guinea,africa,16852.4,52.91
Eritrea,africa,429.1,64.41
Estonia,oecd,14135.4,79.95
Ethiopia,africa,324.6,61.59
Fiji,other,3545.7,72.27
Finland,oecd,44501.7,83.28
France,oecd,39545.9,84.9
French Polynesia,other,24669,78.07
Gabon,africa,12468.8,64.32
Gambia,africa,579.1,60.3
Georgia,other,2680.3,77.31
Germany,oecd,39857.1,82.99
Ghana,africa,1333.2,65.8
Greece,oecd,26503.8,82.58
Greenland,other,35292.7,71.6
Grenada,other,7429,77.72
Guatemala,other,2882.3,75.1
Guinea,africa,427.5,56.39
Guinea-Bissau,africa,539.4,50.4
Guyana,other,2996,73.45
Haiti,other,612.7,63.87
Honduras,other,2026.2,75.92
Hong Kong,other,31823.7,86.35
Hungary,oecd,12884,78.47
Iceland,other,39278,83.77
India,other,1406.4,67.62
Indonesia,other,2949.3,71.8
Iran,other,5227.1,75.28
Iraq,other,888.5,72.6
Ireland,oecd,46220.3,83.17
Israel,oecd,29311.6,84.19
Italy,oecd,33877.1,84.62
Jamaica,other,4899,75.98
Japan,oecd,43140.9,87.12
Jordan,other,4445.3,75.17
Kazakhstan,other,9166.7,72.84
Kenya,africa,801.8,59.16
Kiribati,other,1468.2,63.1
Kuwait,other,45430.4,75.89
Kyrgyzstan,other,865.4,72.36
Laos,other,1047.6,69.42
Latvia,other,10663,78.51
Lebanon,other,9283.7,75.07
Lesotho,africa,980.7,48.11
Liberia,africa,218.6,58.59
Libya,africa,11320.8,77.86
Lithuania,other,10975.5,78.28
Luxembourg,oecd,105095.4,82.67
Macao,other,49990.2,83.8
Madagascar,africa,421.9,68.61
Malawi,africa,357.4,55.17
Malaysia,other,8372.8,76.86
Maldives,other,4684.5,78.7
Mali,africa,598.8,53.14
Malta,other,19599.2,82.29
Marshall Islands,other,3069.4,70.6
Mauritania,africa,1131.1,60.95
Mauritius,africa,7488.3,76.89
Mexico,oecd,9100.7,79.64
