"data_code","rec_year","rec_month","rec_day","animal_code","animal_sex","animal_weight","animal_yob"
"CBH01",1994,11,8,"813","F",890,1981
"CBH01",1994,11,8,"834","F",1074,1983
"CBH01",1994,11,8,"B-301","F",1060,1983
"CBH01",1994,11,8,"B-402","F",989,1984
"CBH01",1994,11,8,"B-403","F",1062,1984
"CBH01",1994,11,8,"B-502","F",978,1985
"CBH01",1994,11,8,"B-503","F",1068,1985
"CBH01",1994,11,8,"B-504","F",1024,1985
"CBH01",1994,11,8,"B-601","F",978,1986
"CBH01",1994,11,8,"B-602","F",1188,1986
"CBH01",1994,11,8,"B-701","F",1030,1987
"CBH01",1994,11,8,"B-703","F",950,1987
"CBH01",1994,11,8,"B-704","F",1030,1987
"CBH01",1994,11,8,"B-706","F",1108,1987
"CBH01",1994,11,8,"884","F",1046,1988
"CBH01",1994,11,8,"88Z","F",1066,1988
"CBH01",1994,11,8,"B-803","F",983,1988
"CBH01",1994,11,8,"B-804","F",970,1988
"CBH01",1994,11,8,"B-806","F",1060,1988
"CBH01",1994,11,8,"899","F",1020,1989
"CBH01",1994,11,8,"B-901","F",940,1989
"CBH01",1994,11,8,"B-903","F",1011,1989
"CBH01",1994,11,8,"B-904","F",996,1989
"CBH01",1994,11,8,"B-905","F",828,1989
"CBH01",1994,11,8,"B-906","F",1052,1989
"CBH01",1994,11,8,"B-907","F",1096,1989
"CBH01",1994,11,8,"B-908","F",1004,1989
"CBH01",1994,11,8,"B-909","F",812,1989
"CBH01",1994,11,8,"W-001","F",930,1990
"CBH01",1994,11,8,"W-004","F",950,1990
"CBH01",1994,11,8,"W-005","F",917,1990
"CBH01",1994,11,8,"W-007","F",900,1990
"CBH01",1994,11,8,"W-008","F",884,1990
"CBH01",1994,11,8,"910","M",982,1991
"CBH01",1994,11,8,"91C","M",1020,1991
"CBH01",1994,11,8,"91F","M",1050,1991
"CBH01",1994,11,8,"91H","M",1037,1991
"CBH01",1994,11,8,"91J","M",1104,1991
"CBH01",1994,11,8,"91K","M",1306,1991
"CBH01",1994,11,8,"91L","M",1122,1991
"CBH01",1994,11,8,"91M","M",1136,1991
"CBH01",1994,11,8,"91P","M",996,1991
"CBH01",1994,11,8,"91W","M",954,1991
"CBH01",1994,11,8,"91Y","M",1184,1991
"CBH01",1994,11,8,"W-103","F",932,1991
"CBH01",1994,11,8,"201","M",650,1992
"CBH01",1994,11,8,"202","M",794,1992
"CBH01",1994,11,8,"204","M",840,1992
"CBH01",1994,11,8,"205","M",738,1992
"CBH01",1994,11,8,"206","M",790,1992
"CBH01",1994,11,8,"209","M",892,1992
"CBH01",1994,11,8,"W-208","F",748,1992
"CBH01",1994,11,8,"W-210","F",714,1992
"CBH01",1994,11,8,"Y11","M",656,1992
