caste,lnMass,lnEnergy
worker,3.850147602,3.688879454
worker,3.988984047,3.688879454
worker,4.110873864,3.688879454
worker,4.17438727,3.663561646
worker,4.248495242,3.871201011
worker,4.262679877,3.850147602
worker,4.343805422,3.931825633
worker,4.48863637,3.688879454
worker,4.510859507,3.951243719
worker,3.951243719,4.110873864
worker,3.988984047,4.189654742
worker,4.158883083,4.143134726
worker,4.234106505,4.262679877
worker,4.276666119,4.248495242
worker,4.248495242,4.510859507
worker,4.465908119,4.394449155
worker,4.532599493,4.219507705
worker,4.510859507,4.48863637
worker,4.828313737,4.644390899
worker,4.753590191,5.017279837
worker,4.875197323,5.043425117
lazy,4.382026635,3.828641396
lazy,4.543294782,4.143134726
lazy,4.912654886,3.555348061
lazy,4.700480366,4.060443011
lazy,4.700480366,4.094344562
lazy,4.762173935,4.304065093
lazy,4.859812404,4.094344562
lazy,5.056245805,4.418840608
lazy,5.262690189,4.234106505
lazy,5.147494477,4.49980967
lazy,5.087596335,4.574710979
lazy,4.997212274,4.532599493
lazy,4.875197323,4.615120517
lazy,4.812184355,4.48863637
