"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038682,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, 7 mi S Point McCloud Resort, Shasta Lake","15/9/1961","R Graham"
9038683,"Telemidae","Usofila","USA","California","Shasta","8 mi S Dunsmuir","11/7/1954","R Schuster, E Gilbert"
9038685,"Telemidae","Usofila","USA","California","Shasta","Samwell Cave, 25 mi N Redding","9/4/1979","Rudolph, Martin, Winterath"
9038686,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","7/9/1961","R Graham"
9038687,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","7/9/1961","Graham"
9038688,"Telemidae","Usofila","USA","California","Shasta","Subway Cave","28/6/1960","R Graham"
9038689,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","14/4/2000","JM Ledford"
9038690,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","6/8/1989","D Ubick"
9038692,"Telemidae","Usofila","USA","California","Shasta","Subway Cave","28/6/1960","R Graham"
9038693,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","27/9/1959","RE Graham"
9038695,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","15/6/1959","RE Graham"
9038696,"Telemidae","Usofila","USA","California","Shasta","8 mi S Dunsmuir","11/7/1954","RO Schuster, EE Gilbert"
9038697,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave","14/6/1959","REG"
9038698,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","19/12/1959","RE Graham"
9038700,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","8/6/1995","D Ubick"
9038701,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","30/8/1996","D Ubick"
9038702,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Shasta Lake","2/4/1960","WJ Gertsch, R Schrammel"
9038703,"Telemidae","Usofila","USA","California","Shasta","Madrone Camp (7.5 air miles E Samwell Cave","07/8/1989","D Ubick"
9038771,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","8/6/1995","D Ubick"
9038777,"Telemidae","Usofila","USA","California","Shasta","Dekkas Rock at Gilman Rd","9/6/1995","D Ubick"
9038783,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","7/6/1995","D Ubick"
