Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Primary Shape,Secondary Shape,Filename,Internal ID,Unique Entry ID
academy uniform,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW
academy uniform,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35
academy uniform,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM
adventure dress,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R
alpinist dress,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP
alpinist dress,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy
alpinist dress,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs
alpinist overalls,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa
alpinist overalls,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd
alpinist overalls,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj
ancient belted robe,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK
ancient belted robe,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA
ancient belted robe,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw
ancient belted robe,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h
ancient belted robe,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX
ancient sashed robe,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen0,5519,9ia2ueaAKgT25KpLq
ancient sashed robe,Pink,No,2520,630,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen1,9162,vRcHxEwpupmHocSZi
ancient sashed robe,Red,No,2520,630,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen2,9163,fkKFHi8LSBqQnF5fP
ancient sashed robe,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen3,9164,eZq27jsCvY5jxiyJX
ancient sashed robe,Purple,No,2520,630,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukuwomen4,9165,jr6P62azs7uQ2gzjL
áo dài,White,No,2520,630,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAodai0,3493,KPYgXwbrnLgBT7aaS
áo dài,Navy blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAodai1,9141,qJ6wpwNd8tRK4mJqt
áo dài,Yellow,No,2520,630,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAodai2,9142,iCHJh668S3FYby4iz
áo dài,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAodai3,9143,bkv3c36HA4856YrPL
áo dài,Pink,No,2520,630,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAodai4,9144,EhoEQfAaNHBCYq6ET
apple dress,Red,Yes,NFS,1600,Yellow,Red,1x1,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,Not for sale,A-line,N,TopsTexOnepieceAlineNApple0,9836,4r6bu79MTGChcioYr
astro dress,Blue,No,2500,625,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,A-line,N,TopsTexOnepieceAlineNSpace0,5135,YgSrhdHZosAdNtDvp
astro dress,Green,No,2500,625,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,A-line,N,TopsTexOnepieceAlineNSpace1,7890,Zwb2C5oFXQ3ip2KTb
astro dress,Pink,No,2500,625,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,A-line,N,TopsTexOnepieceAlineNSpace2,7891,MCrJgJnwLXfXbNiTA
attus robe,Blue,No,2520,630,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi0,10907,GCnizpuhnhMnWodB6
attus robe,Brown,No,2520,630,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi1,11998,uWaA98hr4zo2nE424
attus robe,Red,No,2520,630,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,B-long,L,TopsTexOnepieceBlongLAttoushi2,11999,GKPivR7QXbRhAH589
baby romper,Baby mint,No,1920,480,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers0,4470,fpTozgJHe8zAbuoJr
baby romper,Baby purple,No,1920,480,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers1,7828,xaNwcn2BKpELEEcJu
baby romper,Baby yellow,No,1920,480,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers2,7829,jATy7chF9RZSpzgkM
baby romper,Baby green,No,1920,480,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers3,7830,3wYgbYbbc9R7XK6sT
baby romper,Baby pink,No,1920,480,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers4,7831,xugKSBhsTLu7iJHqf
baby romper,Baby gray,No,1920,480,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers5,7832,AXWwhihKEF9GCxh7R
baby romper,Baby blue,No,1920,480,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers6,7833,6SATwHBYcR8soiT2n
baby romper,Baby orange,No,1920,480,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,Overall,L,TopsTexOnepieceOverallLRompers7,7834,63PAmvstBoJvzyYq9
baby-chick costume,Yellow,No,1700,425,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,Rib,N,TopsTexOnepieceRibNChick0,5644,YA7qY7v9XHAvmqbXH
baby-chick costume,Blue,No,1700,425,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,Rib,N,TopsTexOnepieceRibNChick1,9640,gW7sLivQcaehgbjXP
