Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
acorn knit cap,Chestnut,No,880,220,Brown,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn0,5315,awiucsYWz5zP8GpRg
acorn knit cap,Mustard,No,880,220,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH
acorn knit cap,Avocado,No,880,220,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn2,10934,we44e3C8foQySY2y7
acorn knit cap,Berry red,No,880,220,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe
acorn knit cap,Navy blue,No,880,220,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ
acorn knit cap,Cream,No,880,220,Beige,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8
alpinist hat,Green,No,NFS,500,Green,Green,1x1,NA,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj
alpinist hat,Blue,No,NFS,500,Blue,Light blue,1x1,NA,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk
alpinist hat,Red,No,NFS,500,Red,Pink,1x1,NA,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B
ancient administrator hat,Black,No,NFS,800,Black,Black,1x1,NA,Gulliver,,All Year,No,1.0.0,Elegant,formal; work,HeadCap,Yes,Not for sale,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw
