#,Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
10,agrias butterfly,3000,Flying near flowers,Any except rain,20,5,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Pink,Green,Ins6,InsectMiirotateha,FtrInsectMiirotateha,620,aj95rMzdbSbvZy9A2
69,ant,80,On rotten turnips,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins26,InsectAri,FtrInsectAri,588,QZpmczZu4hW2a4Rpv
14,Atlas moth,3000,On trees (any kind),Any weather,20,5,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Orange,Yellow,Ins10,InsectYonagunisan,FtrInsectYonagunisan,652,u2GhYQJXDCQKp7AQ8
68,bagworm,600,Shaking trees (hardwood or cedar only),Any weather,0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622,QvxgCm82JqHsDknY4
34,banded dragonfly,4500,Flying near water,Any except rain,50,7,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,Black,Yellow,Ins24,InsectOniyanma,FtrInsectOniyanma,635,pCFep58D6QusMSvR7
21,bell cricket,430,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins31,InsectSuzumushi,FtrInsectSuzumushi,642,d5EQqbQsip82G2CZE
49,blue weevil beetle,800,On palm trees,Any weather,0,2,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Pink,Ins80,InsectHousekizoumushi,FtrInsectHousekizoumushi,3485,qocWy6r5RXjeThdYy
26,brown cicada,250,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582,gBLRZ2J2R2wwYWFCk
77,centipede,300,From hitting rocks,Any weather,0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628,ubStMQwHMJJcYje38
31,cicada shell,10,On hardwood/cedar trees,Any weather,50,1,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Green,Ins69,InsectSeminonukegara,FtrInsectSeminonukegara,641,6s3MCahAroqpjGybW
47,citrus long-horned beetle,350,On tree stumps,Any except rain,0,10,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,Green,Ins39,InsectGomadarakamikiri,FtrInsectGomadarakamikiri,609,QR88MPLzYxSCHWZJb
5,common bluebottle,300,Flying,Any except rain,0,70,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Black,Green,Ins72,InsectAosujiageha,FtrInsectAosujiageha,3477,vgkW2eovbpxNuGsFZ
1,common butterfly,160,Flying,Any except rain,0,60,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,White,Green,Ins0,InsectMonshirocho,FtrInsectMonshirocho,626,tRJxp5N9XbwAGQHZc
20,cricket,130,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,Brown,Beige,Ins30,InsectKohrogi,FtrInsectKohrogi,617,Lr7eFJzJJZpWRWekm
59,cyclommatus stag,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins49,InsectHosoakakuwagata,FtrInsectHosoakakuwagata,602,moBevd7J5hwpHeLcs
35,damselfly,500,Flying near water,Any except rain,0,60,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,Green,Blue,Ins81,InsectItotonbo,FtrInsectItotonbo,5339,pBmqsa7CyeKzyRjDT
33,darner dragonfly,230,Flying near water,Any except rain,0,40,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins23,InsectGinyanma,FtrInsectGinyanma,595,723NiWMh4iY9RJtAM
39,diving beetle,800,On rivers/ponds,Any weather,0,10,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins28,InsectGengorou,FtrInsectGengorou,594,CBjt7itnPqEtNznrX
53,drone beetle,200,On trees (any kind),Any weather,0,40,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,Green,Blue,Ins75,InsectKanabun,FtrInsectKanabun,3480,uXmtRAQgY3g596tov
50,dung beetle,3000,Pushing snowballs,Any weather,0,10,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,Black,Beige,Ins40,InsectFunkorogashi,FtrInsectFunkorogashi,604,p9RhE8wLWpHtcoq5G
51,earth-boring dung beetle,300,On the ground,Any weather,0,30,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purple,Orange,Ins42,InsectOhsenchikogane,FtrInsectSenchikogane,614,k2fqxdYnTF8BpHB7u
9,emperor butterfly,4000,Flying near flowers,Any except rain,20,5,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,Blue,Orange,Ins5,InsectMorufuocho,FtrInsectMorufuocho,627,Lwkf7oQ3mcWYm6eEY
30,evening cicada,550,On hardwood/cedar trees,Any weather,0,50,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Orange,Ins20,InsectHigurashi,FtrInsectHigurashi,601,kzX4apD9C3Nq8khzR
36,firefly,300,Flying near water,Any except rain,0,200,NA,NA,NA,NA,NA,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,Black,Blue,Ins41,InsectHotaru,FtrInsectHotaru,603,PgiwPqykwafyz5EL6
74,flea,70,On villagers,Any weather,0,5–10,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Brown,White,Ins56,InsectNomi,FtrInsectNomi,633,QzDywoJEAJDcjGfEF
72,fly,60,"Flying near trash (boots, tires, cans) or rotten turnips",Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins59,InsectHae,FtrInsectHae,597,xdBmuMgXJ6jGxpabK
28,giant cicada,500,On hardwood/cedar trees,Any weather,20,50,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Yellow,Ins65,InsectKumazemi,FtrInsectKumazemi,618,nPm2r7idGshQW87MN
57,giant stag,10000,On trees (any kind),Any weather,50,5,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins47,InsectOhkuwagata,FtrInsectOhkuwagata,637,KhrTLzayFz23zz2kn
