Name,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,Tag,Color 1,Color 2,Version,Filename,Internal ID,Unique Entry ID
acorn,No,30,NFS,200,NA,Shaking a hardwood tree (Fall),,NA,None,None,1.0.0,DIYAcorn,5727,LWRPyLkySfCNkDvdv
apple,No,10,400,500,NA,Apple tree,,NA,None,None,1.0.0,Apple,2213,iTWs2LBrcFu8XyDMF
apple tree,No,1,NFS,300,NA,Planting an apple,,Plants,None,None,1.0.0,PltApple4,3360,4BFZn59FMC5eyCKXS
Aquarius fragment,No,10,NFS,500,NA,Wishing on shooting stars (January 20 - February 18),,NA,None,None,1.0.0,StarpieceAquarius,5986,sHWduQNusYLWRjhzb
arched tile path permit,No,1,NFS,,2000,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerStonePattern,8776,yDajuWo93WGgTR4bJ
Aries fragment,No,10,NFS,500,NA,Wishing on shooting stars (March 21 - April 19),,NA,None,None,1.0.0,StarpieceAries,5988,D5JE2Ypt5vZ3C4EM6
bamboo piece,No,30,NFS,80,NA,Chopping a bamboo tree,,NA,None,None,1.0.0,DIYBamboo,2501,RJpF9Apqi52AqPP25
bamboo shoot,No,10,NFS,250,NA,Dig spot near a bamboo tree,,NA,None,None,1.0.0,BambooShoot,2295,kTmS9FFMxJFuCS7vr
bamboo tree,No,1,NFS,1500,NA,Planting a bamboo shoot,,Plants,None,None,1.0.0,PltBamboo4,2815,m6And8qdTfySMh9kR
Bell bag,No,99,NFS,NA,NA,Glowing dig spot,,NA,None,None,1.0.0,PhotoStudioBellBag,7731,MwHcZBfqcJ5vJzRqZ
Bell voucher,No,1,NFS,,500,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,BellExchangeTicket,9964,Ekx2qXMQw3nrBxbwC
birthday cupcake,No,10,NFS,200,NA,Birthday,,Seasonal Decor,None,None,1.0.0,BirthdayCupcake,2779,Q5HRfFvkBvPw8TFPR
black cosmos,No,10,NFS,240,NA,Picking flowers,,Plants,Black,Green,1.0.0,FlwCosmosBlack,2875,QveR5KriJ63ZvAmQs
black lilies,No,10,NFS,80,NA,Picking flowers,,Plants,Black,Green,1.0.0,FlwYuriBlack,2999,GJEkbwJexHSSq3Kvp
black roses,No,10,NFS,240,NA,Picking flowers,,Plants,Black,Green,1.0.0,FlwRoseBlack,2955,RAxXqgdwa6Jb3fKFX
black tulips,No,10,NFS,80,NA,Picking flowers,,Plants,Black,Green,1.0.0,FlwTulipBlack,2903,WGvGEjXRYjucLHity
black wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperBlack,7698,e726AGFuzKwPdeNZu
black-cosmos plant,No,1,NFS,240,NA,Red/red cosmos,,Plants,None,None,1.0.0,PltCosmosBlack3,3834,o54h94yBpGiSSfKkr
black-lily plant,No,1,NFS,80,NA,Red/red lilies,,Plants,None,None,1.0.0,PltYuriBlack3,3896,RgsTH72gphGY6AHsK
black-rose plant,No,1,NFS,240,NA,Red/red roses,,Plants,None,None,1.0.0,PltRoseBlack3,3874,suqNAcWRFj6JJZKuk
black-tulip plant,No,1,NFS,80,NA,Red/red tulips,,Plants,None,None,1.0.0,PltTulipBlack3,3848,2aiEhGHeGqQG725zX
Blathers's tent marker,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,MuseumTent,2755,57HSnpzwFHuTfBiyf
blue hyacinths,No,10,NFS,80,NA,Picking flowers,,Plants,Blue,Green,1.0.0,FlwHyacinthBlue,3748,K6yui8FLmJvwNcfL4
blue ornament,No,10,NFS,50,NA,Shaking a cedar tree (Festive Season),,NA,None,None,1.0.0,DIYOrnamentBlue,5731,s38Tms3PpjpWGnFtn
blue pansies,No,10,NFS,80,NA,Picking flowers,,Plants,Blue,Green,1.0.0,FlwPansyBlue,2927,mNBAQ7xCjndP63TW8
blue roses,No,10,NFS,1000,NA,Picking flowers,,Plants,Blue,Green,1.0.0,FlwRoseBlue,2959,C39ncDcJ44My6qoQm
blue windflowers,No,10,NFS,80,NA,Picking flowers,,Plants,Blue,Green,1.0.0,FlwAnemonesBlue,3717,JmHWXFZvvgpJYrg8Z
blue wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperBlue,7692,FK3PwoipGayPzS4SW
blue-hyacinth plant,No,1,NFS,80,NA,White/white hyacinths,,Plants,None,None,1.0.0,PltHyacinthBlue3,3920,MNT54SyQWEWfaQAc6
blue-hydrangea bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltHydrangeaBlue2,3800,trgrtapDMZkkyDfiz
blue-hydrangea nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltHydrangeaBlue0,12749,dGy5iDQkBijsuNMLM
