Name,Source,Source Notes,Internal ID,Unique Entry ID
Aggravation,Peppy,,,6suhKYAAhh5QMKt64
Agreement,Cranky,,,7smqwK9J7eFBxta28
Amazed,Snooty,,,vosig4bbr4kPq57AT
Apologetic,Big Sister,,,jBKsQYCAd7PtymQeB
Bashfulness,Lazy,,,wzvKbFrEJCseTohoz
Bewilderment,Cranky,,,WRSSRZMtM6rXfXBrR
Cold Chill,Big Sister,,,K62u2owKFDLmPCB3Q
Confident,Big Sister,Requires a high level of friendship,,TGifHTbyLBh4f3gDQ
Curiosity,Peppy,,,SskgipgnKzm5TsK7d
Daydreaming,Normal,Requires a high level of friendship,,JFrTBJCEaX5R4kABT
Delight,All,,,F9DpGeqZzDeSTh2bq
Disagreement,Big Sister,,,Bw5YBM6iuWgMzutWq
Distress,Jock,,,vsSjQBZXPeSK6uDTK
Dozing,Smug,,,2vvgAacGjthcFW5Qa
Encouraging,Jock,,,fomfML4NWdY8x6adv
Fearful,Normal,,,noKrWYCMSWcH4jwvi
Flourish,Jock,Requires a high level of friendship,,5QDD3DcwdPhbGoJAf
Glee,Normal,,,8nAwdhzZfotqpLC9R
Greetings,All,,,oE6uqhZYjYfuqb55n
Happiness,Peppy,,,TWENXBbBENgnFiGq3
Heartbreak,Smug,,,ex6gKZu6zsyd6MgDr
Inspiration,Cranky,Requires a high level of friendship,,8ux4ddfibJQR2EuWW
Intense,Snooty,,,X2kzqTaPwtG6SGNT8
Joy,All,,,fSNyHJHgLKac5mSLT
Laughter,Big Sister,,,EBenMHMpwnkMgS6eg
Love,Snooty,Requires a high level of friendship,,GvAsErCFuGAcMAeXM
Mischief,Peppy,Requires a high level of friendship,,E7it7yLfFaddFvEhQ
Mistaken,Lazy,,,DPR7WWkmR36Bsf2LG
Pleased,Normal,,,Z3MuKfQMaH3D8vkPA
Pride,Lazy,Requires a high level of friendship,,xKoQpdJMtocNFRckm
Resignation,Smug,,,7YdF3ZMr95XP3FaoW
Sadness,Normal,,,Wo8q6KhPtL2CYwat4
Sheepishness,Cranky,,,
Shocked,Jock,,,bn29da8SNdMYYyWAa
Showmanship,Smug,Requires a high level of friendship,,Bj5iG7kc6tLND9bjn
Shyness,Lazy,,,9H7jt7AGKbh6mW4y8
Sighing,Snooty,,,ntjLqg82EQNsgnzYA
Sleepy,Peppy,,,9e5BhxmqtMurNWqW4
Smirking,Smug,,,KDAWT9zDKpufEWgaW
Sneezing,Jock,,,F6Dkk4PGtjDMCgry3
Sorrow,Lazy,,,W8nngMS98uwpHHW4m
Surprise,All,,,7jmkZiSxrYT7MMm4P
Thought,Snooty,,,HEFCeCGtJ7Bkb5PXG
Worry,Cranky,,,TygKeKxvotLEzWqvY
