Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Filename,Internal ID,Unique Entry ID
aluminum rug,No,1500,375,Gray,Gray,3x2,NA,Saharah,Medium rug,1.0.0,garden,outdoors,None,Slender Rugs,For sale,RugRectAluminumM00,7356,vFkuGbx8Sh2MDLEsq
apple rug,Yes,NFS,1200,Red,Red,3x3,NA,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherAppleM00,7327,5GsjYsaz9NDtQ6QFB
Bell-bag rug,No,NFS,6000,None,None,3x3,1200,Nook Miles Shop,Medium rug,1.2.0,expensive,None,None,Park Rugs,Not for sale,RugOtherBellM00,12214,KfRapmYKpizqQWzCg
black blocks rug,No,1500,375,Black,Gray,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM03,11104,4kj8FXzMTqvZvqEra
black wooden-deck rug,No,1500,375,Black,Black,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM03,7382,kQDKkEGfdAjqPxd4w
black-design kitchen mat,No,1000,250,Black,Orange,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS03,7594,G7CAPiAEpYv6QKbsL
blue argyle rug,No,2000,500,Blue,Green,4x3,NA,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL02,8467,uw8DvCwwBia7ozA72
blue blocks rug,No,1500,375,Blue,Blue,3x3,NA,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM01,11102,Mjxd8kenDFZgTFXcm
blue dotted rug,No,2000,500,Blue,Blue,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL03,7467,JAAx9zSMrjXKKw2ij
blue kilim-style carpet,No,2000,500,Blue,Black,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL01,9316,MhvdxvmyKtddid2G2
blue kitchen mat,No,1000,250,Blue,Blue,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS02,8394,SLBDbK365pHRnKE5k
blue medium round mat,No,1500,375,Blue,Blue,3x3,NA,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM02,9546,JfLKCbWRz4CozZYpH
blue message mat,No,1000,250,Blue,Blue,2x1,NA,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS01,9310,5grLuDzGkNL4DYk4r
blue Persian rug,No,2000,500,Blue,Beige,5x5,NA,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL01,8035,CDY97qjWg4xG6egyS
blue shaggy rug,No,2000,500,Blue,Blue,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL02,9564,v4ZJPY2ToZPHXp6KH
blue small round mat,No,1000,250,Blue,Blue,2x2,NA,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS02,9549,BxaqCsC7TqwGdHpib
blue stripes rug,No,2000,500,Blue,White,4x3,NA,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL02,7533,dAHzKeTqwA9wD2yfa
blue vinyl sheet,No,1500,375,Blue,Colorful,3x2,NA,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM01,7404,b8xZjiyqLPWJsgt73
blue wavy rug,No,2000,500,Blue,Light blue,4x3,NA,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL02,7458,SbRQxAyR7EZSRBb4j
blue wedding rug,No,1500,375,None,None,3x2,NA,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,RugRectJuneBrideM00,12462,ghEfAZG8Lt5sb8nt3
blue-design kitchen mat,No,1000,250,Blue,Black,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS01,7595,DiEHu3wPobZXzhhp8
botanical rug,No,2000,500,Green,Green,4x3,NA,Saharah,Large rug,1.0.0,living room,None,None,Slender Pattern Rugs,For sale,RugRectBotanicalL00,7353,nEqsaya7wt6FsWwDC
brown argyle rug,No,2000,500,Brown,Yellow,4x3,NA,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL03,8468,yrQTuyQr2m6axKkr2
brown kitchen mat,No,1000,250,Brown,Brown,2x1,NA,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS00,7341,2ya9gAeftrSe4YSmE
brown shaggy rug,No,2000,500,Brown,Brown,5x5,NA,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL01,9563,cAFej6s3C7T3DYykj
brown wooden-deck rug,No,1500,375,Brown,Brown,3x2,NA,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM00,7323,MSPQjkRRMRGNRTeEt
