Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
antique boots,Brown,No,2640,660,Brown,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique0,5523,jQ9MMJXSCde9q8NPP
antique boots,Black,No,2640,660,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique1,11689,hpTunJzb4CJPueMW7
antique boots,Greige,No,2640,660,Beige,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique2,11690,ngk8sGuhSHQoBmwqv
armor shoes,Gray,Yes,NFS,3000,Gray,Gray,1x1,NA,Crafting,,All Year,No,1.0.0,Cool,fairy tale; goth,No,Not for sale,ShoesKneeKnightIron,5472,osBLFxSiCDnRf8eXR
babouches,Blue,No,560,140,Light blue,White,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush0,6043,AvkHgWmEW5vTs4Ckc
babouches,Orange,No,560,140,Orange,White,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush1,10109,hzHj4PYSRpa8fkQey
babouches,Pink,No,560,140,Pink,White,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush2,10110,KrfcX2z6gFKZziGwx
babouches,Yellow,No,560,140,Yellow,White,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush3,10111,BRTZYzjci4T3qodP8
babouches,Gray,No,560,140,Gray,Yellow,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush4,10112,N9jHqLCE8WsfZxJHo
babouches,Purple,No,560,140,Purple,Yellow,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush5,10113,sth7EXmjdbwzk439A
babouches,Mint,No,560,140,Green,Yellow,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush6,10114,okW9rusWLMPm4bcDz
babouches,Red,No,560,140,Red,Yellow,1x1,NA,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush7,10115,EZKKTpCAN4CEvJJwC
ballet slippers,Pink,No,2200,550,Pink,Pink,1x1,NA,Kicks,,All Year,No,1.0.0,Elegant,fairy tale; sporty; theatrical; work,No,For sale,ShoesLowcutBallet0,5608,uABG45ozFPCwrBXuS
ballet slippers,Mint,No,2200,550,Light blue,Light blue,1x1,NA,Kicks,,All Year,No,1.0.0,Elegant,fairy tale; sporty; theatrical; work,No,For sale,ShoesLowcutBallet1,10155,bE4c36LYqcRmkajHL
ballet slippers,Blue,No,2200,550,Blue,Blue,1x1,NA,Kicks,,All Year,No,1.0.0,Elegant,fairy tale; sporty; theatrical; work,No,For sale,ShoesLowcutBallet2,10156,jJ565rnrzozyhRNYP
ballet slippers,Purple,No,2200,550,Purple,Purple,1x1,NA,Kicks,,All Year,No,1.0.0,Elegant,fairy tale; sporty; theatrical; work,No,For sale,ShoesLowcutBallet3,10157,kuEQdTi7ZXLw5AZgR
ballet slippers,Black,No,2200,550,Black,Black,1x1,NA,Kicks,,All Year,No,1.0.0,Elegant,fairy tale; sporty; theatrical; work,No,For sale,ShoesLowcutBallet4,10158,oQNLiop5Do6CH5eTu
