Name,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Color 1,Color 2,Size,Set,Miles Price,Source,Source Notes,Version,Filename,Variant ID,Internal ID,Unique Entry ID
axe,NA,NA,Yes,No,NA,100,1,2500,625,None,None,1x1,None,NA,Nook's Cranny; Crafting,,1.0.0,ToolAxe,NA,2100,iR9zzEhzpbXTGdkR4
bamboo wand,NA,NA,Yes,No,NA,Unlimited,1,NFS,3900,None,None,1x1,None,NA,Crafting,,1.0.0,ToolStickBamboo,NA,7590,YLjDYt9NhwTgoXhLD
bug wand,NA,NA,No,No,NA,Unlimited,1,NFS,1500,None,None,1x1,None,NA,Bug-Off,,1.0.0,ToolStcikInsect,NA,8769,vqp4KBeWgZjYbFj7Z
Bunny Day wand,NA,NA,Yes,No,NA,Unlimited,1,NFS,11100,None,None,1x1,None,NA,Crafting,,1.1.0a,ToolStickEgg,NA,12578,26wk773sY75rKY2P4
cherry-blossom wand,NA,NA,Yes,No,NA,Unlimited,1,NFS,2700,None,None,1x1,None,NA,Crafting,,1.0.0,ToolStickCherryblossom,NA,7589,WHHbg5ZqTMu4J2wm5
colorful fishing rod,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_0_0,0_0,8472,ZTf6fzMoETiRSgYyv
colorful fishing rod,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_1_0,1_0,8472,9RuY2ZBRztSNDRrfy
colorful fishing rod,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_2_0,2_0,8472,8PASMoPi9YgSBQ2LK
colorful fishing rod,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_3_0,3_0,8472,sfSivSgSps27Jaz5M
colorful fishing rod,Green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_4_0,4_0,8472,vnSiERDKYDcddtuv6
