Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
apple umbrella,Yes,NFS,1400,Yellow,Red,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaApple0,9948,FPxdw28z9s2gYgjmr
bat umbrella,No,840,210,Black,Black,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBat0,6919,EZnRx49foq3M36yQ4
beach umbrella,No,770,192,Blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaBeach0,9957,3SSFuv6LiH63jych3
bear umbrella,No,1570,392,Brown,Beige,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaBear0,7167,s7KoPpysn27AeC5zi
black chic umbrella,No,1620,405,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace5,12137,p8yg9xiFwPscNDJNg
black lace umbrella,No,750,187,Black,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaRace0,6915,7vuSb5AutpNQA573q
blue dot parasol,No,750,187,Blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadot2,9956,SwKuBi2vT7K365A3p
blue shiny-bows parasol,No,1620,405,Blue,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace2,12134,BxZ4XdtfJEyWyBPFe
blue umbrella,No,770,192,Blue,Blue,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStandard2,9959,XyJaqSLnBjh5J6vLp
busted umbrella,No,1570,392,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaBroken0,7182,gkHD9GKJT9eAekxWQ
camo umbrella,No,650,162,Green,Beige,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaOutdoor0,6923,RJYB5itM7mDdtWHpv
candy umbrella,No,770,192,Pink,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaGingham0,6926,F6KFg5Yhzgf78pudR
cherry umbrella,Yes,NFS,1400,Red,Red,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaCherry0,9949,YwHY3LQXsDeM2iosy
cherry-blossom umbrella,Yes,NFS,2800,Pink,Green,1x1,NA,Crafting,,1.0.0,Yes,Not for sale,UmbrellaCherryblossom0,9945,vTu5kLPipRb69vJA3
DAL umbrella,No,NFS,1010,Blue,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Yes,Not for sale,UmbrellaDoc0,9560,vTdEjywjFjr8AkePD
eggy parasol,No,750,187,Yellow,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadot1,9955,qf7Hn5CKMDMBpge9r
exquisite parasol,No,1670,417,Yellow,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaChina0,7171,tFFuizXunsrHcMbEj
fairy-tale umbrella,No,820,205,Green,Yellow,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaFairytale0,7175,xKBGNFJd2qpWeDWjo
fish umbrella,No,NFS,80,Blue,Light blue,1x1,NA,Fishing Tourney,,1.0.0,Yes,Not for sale,UmbrellaFish0,8768,bvwaqJav8wmjPj2RC
frog umbrella,No,1570,392,Green,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaFrog0,6925,nDBiFvLtf5KeStQNv
gelato umbrella,No,750,187,Colorful,Colorful,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaTricolor0,7180,tupHZa6zDdFvobTEt
ghost umbrella,No,1670,417,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaTeruteru0,6924,83zEbSL3S3dty4YjN
grape umbrella,No,1550,387,Purple,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaGrape0,6911,TJ9cw4XSj64u3uEsx
green chic umbrella,No,1620,405,Green,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace4,12136,u2YWae8oz23XcT4u9
green umbrella,No,770,192,Green,Green,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStandard3,9960,8Hf4oRy3cQdundDJK
hydrangea umbrella,No,750,187,Light blue,White,1x1,NA,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaHydrangea0,6906,dmFbrs5ALCJG4KpzB
kabuki umbrella,No,1670,417,Purple,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaKabuki0,7177,QenZWqPCSZr9ZCrRh
kiwi umbrella,No,1550,387,Green,Brown,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaKiwi0,6908,R9WBMjgoqLwiR3h76
lacy parasol,No,1550,387,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaLace0,9946,8ND7Jkfb2fxLJaR7n
