Table S3. Ecological and life history traits for the 551 species include in the CBC trend analyses.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Order,Family,Common Name,Scientific Name,Diet,Life Expectancy,Habitat,Urban Affiliate,Migratory Strategy,log10(mass),Mean Eggs per Clutch,Mean Age at Sexual Maturity,Population Size,Winter Range Area,Range in CBC,Strata,Circles,Feeder Bird,Median Trend,Lower 95% CI,Upper 95% CI
Anseriformes,Anatidae,American Black Duck,Anas rubripes,Vegetation,Long,Wetland,No,Short,3.09,9,1,NA,3212473,99.1,82,1453,No,1.014,0.971,1.055
Anseriformes,Anatidae,American Wigeon,Anas americana,Vegetation,Middle,Wetland,No,Short,2.88,7.5,1,NA,7145842,61.7,124,1951,No,0.996,0.964,1.009
Anseriformes,Anatidae,Barrow's Goldeneye,Bucephala islandica,Invertebrates,Middle,Wetland,No,Moderate,2.96,10.5,3,NA,1812841,69.8,37,502,No,1.039,1.016,1.104
Anseriformes,Anatidae,Black Brant,Branta bernicla,Vegetation,Long,Wetland,No,Moderate,3.11,3.5,2.5,NA,360134,53.7,19,247,No,0.998,0.956,1.041
Anseriformes,Anatidae,Black Scoter,Melanitta americana,Invertebrates,Middle,Wetland,No,Moderate,3.02,9.5,2,NA,854350,5.3,36,470,No,1.004,0.975,1.036
Anseriformes,Anatidae,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Vegetation,Short,Wetland,No,Withdrawal,2.88,13.5,1,NA,9204678,0.5,5,97,No,1.196,1.152,1.243
Anseriformes,Anatidae,Blue-winged Teal,Anas discors,Vegetation,Middle,Wetland,No,Moderate,2.56,10,0.6,NA,5466645,17.9,26,479,No,1.030,1.022,1.038
Anseriformes,Anatidae,Bufflehead,Bucephala albeola,Invertebrates,Middle,Wetland,No,Short,2.60,8.5,2,NA,8055421,72.4,134,2189,No,1.004,0.982,1.017
Anseriformes,Anatidae,Cackling and Canada Goose †,Branta hutchinsii and B. canadensis,Vegetation,Middle,Wetland,Yes,Short,3.45,5,1,NA,8124299,93.8,145,2581,Occassionally,1.035,1.008,1.060
Anseriformes,Anatidae,Canvasback,Aythya valisineria,Vegetation,Middle,Wetland,No,Short,3.08,8,1,NA,5781869,73.4,103,1613,No,0.983,0.965,0.998
Anseriformes,Anatidae,Cinnamon Teal,Anas cyanoptera,Vegetation,Middle,Wetland,No,Short,2.58,10,1,NA,6279681,8.5,16,315,No,1.008,0.990,1.020
Anseriformes,Anatidae,Common Eider,Somateria mollissima,Invertebrates,Middle,Ocean,No,Short,3.31,5,2.5,NA,803235,1.6,16,177,No,1.005,0.956,1.034
Anseriformes,Anatidae,Common Goldeneye,Bucephala clangula,Invertebrates,Middle,Wetland,No,Short,2.96,8,2,NA,9346116,92.4,142,2366,No,0.987,0.964,1.006
Anseriformes,Anatidae,Common Merganser,Mergus merganser,Vertebrates,Middle,Wetland,No,Short,3.16,10.5,2,NA,6845969,91.5,123,2055,No,1.023,1.006,1.052
Anseriformes,Anatidae,Emperor Goose,Chen canagica,Omnivore,Middle,Wetland,No,Moderate,3.33,5.5,3.5,NA,249044,0,2,11,No,1.040,1.000,1.079
Anseriformes,Anatidae,Eurasian Wigeon,Anas penelope,Vegetation,Long,Wetland,No,Long,2.89,8.5,1,NA,12883658,6.1,13,260,No,1.043,1.027,1.051
Anseriformes,Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,Vegetation,Short,Wetland,No,Withdrawal,2.88,13,1,NA,4220203,1.2,2,12,No,1.020,0.968,1.078
Anseriformes,Anatidae,Gadwall,Anas strepera,Vegetation,Middle,Wetland,No,Short,2.96,9.5,1.5,NA,6452371,72.1,124,1980,No,1.049,1.038,1.063
Anseriformes,Anatidae,Greater Scaup,Aythya marila,Invertebrates,Middle,Wetland,No,Moderate,3.00,9.5,1,NA,2079974,58.2,75,1077,No,0.912,0.850,0.969
Anseriformes,Anatidae,Greater White-fronted Goose,Anser albifrons,Vegetation,Long,Wetland,No,Moderate,3.40,5,3,NA,1595716,46.3,34,557,No,1.128,1.089,1.169
Anseriformes,Anatidae,Green-winged Teal,Anas crecca,Vegetation,Long,Wetland,No,Short,2.53,8,0.4,NA,7368712,70,125,1995,No,1.014,1.006,1.023
Anseriformes,Anatidae,Harlequin Duck,Histrionicus histrionicus,Invertebrates,Middle,Wetland,No,Moderate,2.75,6.5,1,NA,517664,4.5,18,238,No,1.026,1.001,1.054
Anseriformes,Anatidae,Hooded Merganser,Lophodytes cucullatus,Invertebrates,Middle,Wetland,No,Short,2.79,11,2,NA,5592391,97.6,131,2191,No,1.051,1.040,1.058
Anseriformes,Anatidae,King Eider,Somateria spectabilis,Invertebrates,Middle,Wetland,No,Moderate,3.21,5,2,NA,1375519,9,8,63,No,0.963,0.913,1.020
Anseriformes,Anatidae,Lesser Scaup,Aythya affinis,Vegetation,Middle,Wetland,No,Short,2.91,10,1,NA,6047381,51.5,126,2078,No,1.014,0.997,1.024
Anseriformes,Anatidae,Long-tailed Duck,Clangula hyemalis,Invertebrates,Middle,Wetland,No,Moderate,2.94,8,2,NA,752255,13.4,42,650,No,0.945,0.821,1.005
Anseriformes,Anatidae,Mallard,Anas platyrhynchos,Omnivore,Long,Wetland,Yes,Short,2.93,9.5,1,NA,8625762,80,156,3006,Occassionally,1.021,1.008,1.034
Anseriformes,Anatidae,Mottled Duck,Anas fulvigula,Omnivore,Short,Wetland,No,Withdrawal,2.99,9,1,NA,214673,82.6,10,192,No,1.032,1.023,1.043
Anseriformes,Anatidae,Mute Swan,Cygnus olor,Vegetation,Middle,Wetland,Yes,Resident,4.03,5,2.5,NA,212068,95.2,34,549,No,1.055,1.028,1.072
Anseriformes,Anatidae,Northern Pintail,Anas acuta,Omnivore,Long,Wetland,No,Short,2.98,8,1,NA,7795723,62.1,122,1951,No,0.975,0.966,0.985
Anseriformes,Anatidae,Northern Shoveler,Anas clypeata,Invertebrates,Middle,Wetland,No,Short,2.79,10,0.6,NA,5171693,47.5,95,1508,No,1.032,1.016,1.046
Anseriformes,Anatidae,Red-breasted Merganser,Mergus serrator,Vertebrates,Short,Wetland,No,Moderate,3.01,14.5,2.5,NA,1028971,7.8,82,1360,No,0.993,0.964,1.015
Anseriformes,Anatidae,Redhead,Aythya americana,Vegetation,Middle,Wetland,No,Short,3.03,10,1,NA,4997611,65,99,1490,No,1.020,0.991,1.043
Anseriformes,Anatidae,Ring-necked Duck,Aythya collaris,Vegetation,Middle,Wetland,No,Short,2.85,10,1,NA,6622932,69.9,119,2031,No,1.035,1.021,1.047
Anseriformes,Anatidae,Ross's Goose,Chen rossii,Vegetation,Middle,Wetland,No,Moderate,3.16,4,2.5,NA,696175,75.7,27,313,No,1.130,1.081,1.229
Anseriformes,Anatidae,Ruddy Duck,Oxyura jamaicensis,Invertebrates,Short,Wetland,No,Short,2.78,7.5,1,NA,4718281,56.1,103,1638,No,1.018,1.000,1.036
Anseriformes,Anatidae,Snow Goose,Chen caerulescens,Vegetation,Middle,Wetland,No,Moderate,3.42,4,2,NA,1767331,84.7,83,1302,No,0.986,0.880,1.082
Anseriformes,Anatidae,Steller's Eider,Polysticta stelleri,Invertebrates,Middle,Wetland,No,Moderate,2.91,7.5,2.5,NA,376143,2.6,2,12,No,0.988,0.955,1.022
Anseriformes,Anatidae,Surf Scoter,Melanitta perspicillata,Invertebrates,Short,Wetland,No,Moderate,3.00,6.5,2.5,NA,816102,3.4,29,476,No,1.006,0.994,1.016
Anseriformes,Anatidae,Trumpeter Swan,Cygnus buccinator,Vegetation,Middle,Wetland,No,Short,4.04,4.5,5.5,NA,360967,90.6,16,256,No,1.077,1.042,1.104
Anseriformes,Anatidae,Tufted Duck,Aythya fuligula,Vegetation,Middle,Wetland,Yes,Long,2.85,10,1,NA,14379684,0,6,46,No,1.004,0.944,1.046
Anseriformes,Anatidae,Tundra Swan,Cygnus columbianus,Vegetation,Middle,Wetland,No,Moderate,3.81,4.5,3,NA,674315,78.1,40,691,No,0.988,0.958,1.012
