"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038573,"Telemidae","Usofila","USA","California","Humboldt","18 mi S Klamath","13/8/1953","GA Marsh, RO Schuster"
9038574,"Telemidae","Usofila","USA","California","Humboldt","18 mi S Klamath","13/8/1953","GA Marsh, RO Schuster"
9038575,"Telemidae","Usofila","USA","California","Humboldt","Orick","16/9/1961","W Ivie, WJ Gertsch"
9038576,"Telemidae","Usofila","USA","California","Humboldt","14 mi. E. of Blue Lake","19/9/1953","R Schuster"
9038577,"Telemidae","Usofila","USA","California","Humboldt","Carlotta","15/9/1961","W Ivie, WJ Gertsch"
9038578,"Telemidae","Usofila","USA","California","Humboldt","E of Calrotta","1/10/1959","VD Roth"
9038579,"Telemidae","Usofila","USA","California","Humboldt","Big Lagoon","13/4/1953","GA Marsh, R Schuster"
9038580,"Telemidae","Usofila","USA","California","Humboldt","Hoopa Vlly. Indian Resort, Tish-Tang-a-Tang Cmpgd.","30/6/2006","J Ledford, S Synhorst"
9038769,"Telemidae","Usofila","USA","California","Humboldt","Eureka","13/7/1937","RVC"
9038773,"Telemidae","Usofila","USA","California","Humboldt","Hwy 299 W of Willow Creek","21/4/1994","LJ Boutin"
