"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038630,"Telemidae","Usofila","USA","California","Sonoma","Sonoma Mtn., Carriger Ck. At Canyon Dr.","11/2/1983","TS Briggs, D Ubick, V F Lee"
9038631,"Telemidae","Usofila","USA","California","Sonoma","2.5 mi E. Healdsburg","07/12/1980","D Ubick"
9038632,"Telemidae","Usofila","USA","California","Sonoma","Canyon Drive, Deer Park Drive, 3.5 mi W. of El Verano","11/2/1983","TS Briggs, D Ubick, V F Lee"
9038633,"Telemidae","Usofila","USA","California","Sonoma","nr. El Verano Jct. Spring and Prospect Rds. at Diamond Estates Rec. Area","18/1/1988","T Briggs"
9038634,"Telemidae","Usofila","USA","California","Sonoma","Mark West","14/3/1954","J Helfer"
9038636,"Telemidae","Usofila","USA","California","Sonoma","Mark West Resort","22/1/1958","F Raney, RO Schuster"
9038637,"Telemidae","Usofila","USA","California","Sonoma","Mark West Springs","31/12/1953","Marsh, Roth, Schuster"
9038638,"Telemidae","Usofila","USA","California","Sonoma","Mark West Springs","31/12/1953","GA Marsh, RO Schuster, VD Roth"
9038639,"Telemidae","Usofila","USA","California","Sonoma","Petrified Forest","21/11/1953","J Helfer"
9038640,"Telemidae","Usofila","USA","California","Sonoma","3 mi W of Glen Ellen","31/12/1953","Marsh, Roth, Schuster"
9038793,"Telemidae","Usofila","USA","California","Sonoma","SE of Monte Rio, Bohemian Hwy","9/1/2007","D Ubick, T Briggs"
