SpecID	PassNonPass	IOCOrder	BLFamilyLatin	BLFamilyEnglish	BLFamSequID	Taxo	Scientific	English	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Diet-5Cat	Diet-Source	Diet-Certainty	Diet-EnteredBy	ForStrat-watbelowsurf	ForStrat-wataroundsurf	ForStrat-ground	ForStrat-understory	ForStrat-midhigh	ForStrat-canopy	ForStrat-aerial	PelagicSpecialist	ForStrat-Source	ForStrat-SpecLevel	ForStrat-EnteredBy	Nocturnal	BodyMass-Value	BodyMass-Source	BodyMass-SpecLevel	BodyMass-Comment	Record-Comment
28	Nonpasseriformes	Struthioniformes	Struthionidae	Ostriches	2	BL3	Struthio camelus	Ostrich	10	0	0	0	10	0	0	0	30	50	PlantSeed	Ref_1	A	Jennifer	0	0	100	0	0	0	0	0	Ref_1	1	Jessica	0	111000	Dunning08	1		
37	Nonpasseriformes	Rheiformes	Rheidae	Rheas	3	BL3	Rhea americana	Greater Rhea	20	10	10	0	0	0	20	0	20	20	Omnivore	Ref_1	A	Jennifer	0	0	100	0	0	0	0	0	Ref_1	1	Jessica	0	23000	Dunning08	1		
38	Nonpasseriformes	Rheiformes	Rheidae	Rheas	3	BL3	Rhea pennata	Lesser Rhea	20	0	0	0	10	0	0	0	30	40	PlantSeed	Ref_1	A	Jennifer	0	0	100	0	0	0	0	0	Ref_1	1	Jessica	0	23900	Dunning08	1		
45	Nonpasseriformes	Casuariiformes	Casuariidae	Cassowaries	4	BL3	Casuarius casuarius	Southern Cassowary	10	0	0	0	10	0	80	0	0	0	FruiNect	Ref_1	A	Jennifer	0	0	80	20	0	0	0	0	Ref_1	1	Jessica	0	44000	Dunning08	1		
46	Nonpasseriformes	Casuariiformes	Casuariidae	Cassowaries	4	BL3	Casuarius bennetti	Dwarf Cassowary	10	0	0	0	10	0	80	0	0	0	FruiNect	Ref_1	B	Jennifer	0	0	80	20	0	0	0	0	Ref_1	1	Jessica	0	34999.99	Dunning08	1		
47	Nonpasseriformes	Casuariiformes	Casuariidae	Cassowaries	4	BL3	Casuarius unappendiculatus	Northern Cassowary	20	0	0	0	10	0	60	0	0	10	FruiNect	Ref_1	A	Jennifer	0	0	80	20	0	0	0	0	Ref_1	1	Jessica	0	46073.85	Dunning08	1		
48	Nonpasseriformes	Casuariiformes	Dromaiidae	Emus	5	BL3	Dromaius novaehollandiae	Emu	20	0	0	0	0	0	30	0	30	20	Omnivore	Ref_1	A	Jennifer	0	0	20	80	0	0	0	0	Ref_1	1	Jessica	0	34093.25	Dunning08	1		
55	Nonpasseriformes	Apterygiformes	Apterygidae	Kiwis	6	BL3	Apteryx australis	Southern Brown Kiwi	80	0	0	0	0	0	10	0	0	10	Invertebrate	Ref_1	A	Jennifer	0	0	100	0	0	0	0	0	Ref_1	1	Jessica	1	2320.51	Dunning08	1		
57	Nonpasseriformes	Apterygiformes	Apterygidae	Kiwis	6	BL3	Apteryx owenii	Little Spotted Kiwi	80	0	0	0	0	0	10	0	0	10	Invertebrate	Ref_1	A	Jennifer	0	0	80	20	0	0	0	0	Ref_1	1	Jessica	1	1238.29	Dunning08	1		
58	Nonpasseriformes	Apterygiformes	Apterygidae	Kiwis	6	BL3	Apteryx haastii	Great Spotted Kiwi	100	0	0	0	0	0	0	0	0	0	Invertebrate	Ref_1	A	Jennifer	0	0	80	20	0	0	0	0	Ref_1	1	Jessica	1	2022.68	Dunning08	1		
