MSW3_ID	Scientific	MSWFamilyLatin	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Diet-Source	Diet-Certainty	ForStrat-Value	ForStrat-Certainty	ForStrat-Comment	Activity-Nocturnal	Activity-Crepuscular	Activity-Diurnal	Activity-Source	Activity-Certainty	BodyMass-Value	BodyMass-Source	BodyMass-SpecLevel
1	Tachyglossus aculeatus	Tachyglossidae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	3025	Ref_117	1
2	Zaglossus attenboroughi	Tachyglossidae	100	0	0	0	0	0	0	0	0	0	Ref_65	ABC	G	A		1	0	0	Ref_1	ABC	8532.39	"Ref_2, Ref_3"	0
3	Zaglossus bartoni	Tachyglossidae	100	0	0	0	0	0	0	0	0	0	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	7180	Ref_131	1
4	Zaglossus bruijni	Tachyglossidae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10139.5	Ref_117	1
5	Ornithorhynchus anatinus	Ornithorhynchidae	80	0	0	20	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	1484.25	Ref_117	1
6	Caluromys philander	Didelphidae	20	0	0	0	10	0	20	0	10	40	Ref_1	ABC	Ar	A		1	1	0	Ref_1	ABC	229.25	Ref_117	1
7	Caluromys derbianus	Didelphidae	20	0	0	0	10	0	20	0	10	40	Ref_1	ABC	Ar	A		1	1	0	Ref_1	ABC	297	Ref_117	1
8	Caluromys lanatus	Didelphidae	20	0	0	0	10	0	20	0	10	40	Ref_1	ABC	Ar	A		1	1	0	Ref_1	ABC	325	Ref_117	1
9	Caluromysiops irrupta	Didelphidae	20	0	0	0	0	0	20	40	0	20	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	250	Ref_117	1
10	Glironia venusta	Didelphidae	40	0	0	0	20	0	20	0	20	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	114	Ref_117	1
11	Chironectes minimus	Didelphidae	50	0	0	30	0	0	0	0	0	20	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	946	Ref_117	1
12	Didelphis aurita	Didelphidae	20	0	0	0	30	30	0	0	0	20	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	1163.99	Ref_117	1
13	Didelphis imperfecta	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	1260.04	"Ref_2, Ref_3"	0
14	Didelphis marsupialis	Didelphidae	20	0	0	0	30	30	0	0	0	20	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	1091.16	Ref_117	1
15	Didelphis pernigra	Didelphidae	20	0	0	0	30	30	0	0	0	20	Ref_2	D1	S	A		1	0	0	Ref_1	ABC	1260.04	"Ref_2, Ref_3"	0
16	Didelphis virginiana	Didelphidae	20	0	0	0	30	30	0	0	0	20	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	2195.48	Ref_117	1
17	Didelphis albiventris	Didelphidae	20	0	0	0	30	30	0	0	0	20	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	904	Ref_117	1
18	Gracilinanus formosus	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_2	D1	S	A		1	1	0	Ref_2	D1	18.9	"Ref_2, Ref_3"	0
19	Gracilinanus emiliae	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	7.6	Ref_117	1
20	Gracilinanus microtarsus	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	31	Ref_117	1
21	Gracilinanus marica	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	23.8	Ref_117	1
22	Gracilinanus dryas	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	18	Ref_117	1
23	Gracilinanus aceramarcae	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	20.5	Ref_117	1
24	Gracilinanus agricolai	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_2	D1	S	A		1	1	0	Ref_2	D1	18.9	"Ref_2, Ref_3"	0
25	Gracilinanus agilis	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	22	Ref_117	1
26	Gracilinanus ignitus	Didelphidae	50	0	0	0	0	0	30	20	0	0	Ref_2	D1	S	A		1	1	0	Ref_2	D1	18.9	"Ref_2, Ref_3"	0
27	Hyladelphys kalinowskii	Didelphidae	60	10	0	0	0	10	20	0	0	0	Ref_3	D2	Ar	A		1	0	0	Ref_3	D2	16.75	Ref_155	1
28	Lestodelphys halli	Didelphidae	0	100	0	0	0	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	76	Ref_117	1
29	Lutreolina crassicaudata	Didelphidae	20	40	20	20	0	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	537.3	Ref_117	1
30	Marmosa murina	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	26	Ref_117	1
31	Marmosa xerophila	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	46.2	Ref_117	1
32	Marmosa tyleriana	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	32.4	Ref_117	1
33	Marmosa rubra	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	63	Ref_117	1
34	Marmosa quichua	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	38.23	"Ref_2, Ref_3"	0
35	Marmosa mexicana	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	49.45	Ref_117	1
36	Marmosa lepida	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	14	Ref_117	1
37	Marmosa andersoni	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	47.4	Ref_117	1
38	Marmosa robinsoni	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	56.67	Ref_117	1
39	Marmosops handleyi	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	30.7	Ref_117	1
40	Marmosops juninensis	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	31.57	"Ref_2, Ref_3"	0
41	Marmosops pinheiroi	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_23	ABC	Ar	A		1	0	0	Ref_2	D1	31.57	"Ref_2, Ref_3"	0
42	Marmosops paulensis	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	38.89	Ref_58	1
43	Marmosops parvidens	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	15	Ref_117	1
44	Marmosops noctivagus	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	21	Ref_117	1
45	Marmosops neblina	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	31.57	"Ref_2, Ref_3"	0
46	Marmosops bishopi	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	19.5	Ref_132	1
47	Marmosops impavidus	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	40.5	Ref_117	1
48	Marmosops incanus	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	62.3	Ref_117	1
49	Marmosops fuscatus	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	60	Ref_117	1
50	Marmosops dorothea	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	37.5	Ref_117	1
51	Marmosops cracens	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	25.5	Ref_117	1
52	Marmosops invictus	Didelphidae	50	0	0	0	0	0	50	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	29.2	Ref_117	1
53	Metachirus nudicaudatus	Didelphidae	30	20	20	0	10	0	20	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	375	Ref_117	1
54	Micoureus demerarae	Didelphidae	90	0	0	0	0	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	75.75	Ref_117	1
55	Micoureus regina	Didelphidae	90	0	0	0	0	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	118.6	Ref_117	1
56	Micoureus paraguayanus	Didelphidae	30	0	0	0	30	0	20	20	0	0	Ref_21	ABC	S	A		1	0	0	Ref_1	ABC	112.43	Ref_58	1
