location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 1,2020-08-11,2020-08-12,North,Spring,11,12,23,46,1
Facility 2,2020-08-11,2020-08-12,North,Bolo,11,10,5,26,2
Facility 3,2020-08-11,2020-08-12,North,Dingo,8,5,5,18,3
Facility 4,2020-08-11,2020-08-12,North,Bolo,16,16,17,49,4
Facility 5,2020-08-11,2020-08-12,North,Bolo,9,2,6,17,5
Facility 6,2020-08-11,2020-08-12,North,Dingo,3,1,4,8,6
Facility 6,2020-08-10,2020-08-12,North,Dingo,4,0,3,7,6
Facility 5,2020-08-10,2020-08-12,North,Bolo,15,14,13,42,5
Facility 5,2020-08-09,2020-08-12,North,Bolo,11,11,13,35,5
Facility 5,2020-08-08,2020-08-12,North,Bolo,19,15,15,49,5
Facility 7,2020-08-11,2020-08-12,North,Spring,12,7,13,32,7
Facility 8,2020-08-11,2020-08-12,North,Bolo,7,1,20,28,8
Facility 9,2020-08-11,2020-08-12,North,Spring,27,8,18,53,9
Facility 10,2020-08-11,2020-08-12,North,Bolo,0,10,24,34,10
Facility 11,2020-08-11,2020-08-12,North,Spring,17,15,28,60,11
Facility 12,2020-08-11,2020-08-12,North,Dingo,36,36,62,134,12
Facility 13,2020-08-11,2020-08-12,North,Bolo,0,0,0,0,13
Facility 14,2020-08-11,2020-08-12,North,Dingo,5,1,10,16,14
Facility 15,2020-08-11,2020-08-12,North,Barnard,6,3,2,11,15
Facility 16,2020-08-11,2020-08-12,North,Barnard,9,9,16,34,16
Facility 17,2020-08-11,2020-08-12,North,Barnard,4,4,1,9,17
Facility 18,2020-08-11,2020-08-12,North,Bolo,7,0,6,13,18
Facility 19,2020-08-11,2020-08-12,North,Bolo,12,2,18,32,19
Facility 19,2020-08-10,2020-08-12,North,Bolo,4,7,41,52,19
Facility 20,2020-08-11,2020-08-12,North,Barnard,14,9,14,37,20
Facility 21,2020-08-11,2020-08-12,North,Bolo,28,18,5,51,21
Facility 19,2020-08-09,2020-08-12,North,Bolo,5,3,24,32,19
Facility 22,2020-08-11,2020-08-12,North,Bolo,11,4,13,28,22
Facility 23,2020-08-11,2020-08-12,North,Dingo,8,7,16,31,23
Facility 23,2020-08-12,2020-08-12,North,Dingo,8,7,16,31,23
Facility 24,2020-08-11,2020-08-12,North,Bolo,21,0,41,62,24
Facility 25,2020-08-11,2020-08-12,North,Bolo,7,3,13,23,25
Facility 26,2020-08-11,2020-08-12,North,Bolo,3,2,5,10,26
Facility 27,2020-08-11,2020-08-12,North,Spring,7,4,11,22,27
Facility 28,2020-08-11,2020-08-12,North,Spring,9,7,33,49,28
Facility 29,2020-08-11,2020-08-11,North,Dingo,19,4,23,46,29
Facility 30,2020-08-06,2020-08-08,North,Bolo,28,14,54,96,30
Facility 30,2020-08-04,2020-08-05,North,Bolo,9,8,10,27,30
Facility 31,2020-08-11,2020-08-11,North,Dingo,11,2,11,24,31
Facility 31,2020-08-10,2020-08-11,North,Dingo,7,10,16,33,31
Facility 32,2020-08-11,2020-08-11,North,Spring,26,35,30,91,32
Facility 33,2020-08-11,2020-08-11,North,Barnard,0,2,8,10,33
Facility 33,2020-08-10,2020-08-11,North,Barnard,4,4,2,10,33
Facility 7,2020-08-10,2020-08-11,North,Spring,8,9,11,28,7
Facility 30,2020-08-07,2020-08-08,North,Bolo,5,9,29,43,30
Facility 30,2020-08-09,2020-08-09,North,Bolo,25,14,31,70,30
Facility 30,2020-08-10,2020-08-10,North,Bolo,21,25,38,84,30
Facility 30,2020-08-11,2020-08-11,North,Bolo,9,20,26,55,30
Facility 34,2020-08-11,2020-08-11,North,Dingo,4,9,17,30,34
Facility 35,2020-08-10,2020-08-11,North,Spring,81,56,96,233,35
Facility 35,2020-08-09,2020-08-11,North,Spring,96,50,83,229,35
Facility 1,2020-08-10,2020-08-11,North,Spring,11,4,5,20,1
Facility 1,2020-08-09,2020-08-11,North,Spring,18,4,84,106,1
Facility 36,2020-08-11,2020-08-11,North,Dingo,0,0,0,0,36
Facility 37,2020-08-10,2020-08-11,North,Bolo,33,26,53,112,37
Facility 37,2020-08-09,2020-08-11,North,Bolo,5,1,31,37,37
Facility 21,2020-08-10,2020-08-11,North,Bolo,18,13,1,32,21
Facility 38,2020-08-10,2020-08-11,North,Bolo,7,3,8,18,38
Facility 38,2020-08-09,2020-08-11,North,Bolo,8,5,6,19,38
Facility 15,2020-08-10,2020-08-11,North,Barnard,11,7,5,23,15
Facility 10,2020-08-10,2020-08-11,North,Bolo,0,18,23,41,10
Facility 39,2020-08-04,2020-08-11,North,Spring,4,6,12,22,39
Facility 39,2020-08-03,2020-08-11,North,Spring,10,18,15,43,39
Facility 9,2020-08-10,2020-08-11,North,Spring,12,9,13,34,9
Facility 26,2020-08-10,2020-08-11,North,Bolo,7,9,8,24,26
Facility 3,2020-08-10,2020-08-11,North,Dingo,6,2,5,13,3
Facility 40,2020-08-10,2020-08-11,North,Barnard,5,2,5,12,40
Facility 13,2020-08-10,2020-08-11,North,Bolo,0,0,0,0,13
Facility 11,2020-08-10,2020-08-11,North,Spring,27,31,25,83,11
Facility 4,2020-08-10,2020-08-11,North,Bolo,21,9,18,48,4
Facility 41,2020-08-10,2020-08-11,North,Barnard,12,6,18,36,41
Facility 2,2020-08-10,2020-08-11,North,Bolo,12,10,19,41,2
Facility 16,2020-08-10,2020-08-11,North,Barnard,1,0,0,1,16
Facility 18,2020-08-10,2020-08-11,North,Bolo,4,2,5,11,18
Facility 12,2020-08-10,2020-08-11,North,Dingo,12,35,62,109,12
Facility 25,2020-08-10,2020-08-11,North,Bolo,3,1,4,8,25
Facility 8,2020-08-10,2020-08-11,North,Bolo,6,4,16,26,8
Facility 27,2020-08-10,2020-08-11,North,Spring,12,5,2,19,27
Facility 29,2020-08-10,2020-08-11,North,Dingo,19,10,27,56,29
Facility 24,2020-08-10,2020-08-11,North,Bolo,30,17,28,75,24
Facility 28,2020-08-10,2020-08-11,North,Spring,14,8,21,43,28
Facility 42,2020-08-10,2020-08-11,North,Dingo,21,3,26,50,42
Facility 20,2020-08-10,2020-08-11,North,Barnard,29,3,17,49,20
Facility 43,2020-08-02,2020-08-11,North,Dingo,4,3,6,13,43
Facility 43,2020-08-01,2020-08-11,North,Dingo,8,0,8,16,43
Facility 43,2020-07-31,2020-08-11,North,Dingo,11,3,7,21,43
Facility 43,2020-07-30,2020-08-11,North,Dingo,15,5,9,29,43
Facility 43,2020-07-29,2020-08-11,North,Dingo,9,4,11,24,43
Facility 43,2020-07-28,2020-08-11,North,Dingo,7,3,10,20,43
Facility 43,2020-07-27,2020-08-11,North,Dingo,3,2,4,9,43
Facility 44,2020-07-22,2020-08-11,North,Barnard,26,15,26,67,44
Facility 44,2020-07-21,2020-08-11,North,Barnard,10,8,22,40,44
Facility 44,2020-07-20,2020-08-11,North,Barnard,21,9,46,76,44
Facility 44,2020-07-19,2020-08-11,North,Barnard,6,5,52,63,44
Facility 44,2020-07-17,2020-08-11,North,Barnard,0,0,0,0,44
Facility 44,2020-07-16,2020-08-11,North,Barnard,6,4,6,16,44
Facility 44,2020-07-15,2020-08-11,North,Barnard,13,20,24,57,44
Facility 43,2020-07-26,2020-08-10,North,Dingo,8,3,7,18,43
Facility 43,2020-07-25,2020-08-10,North,Dingo,10,4,9,23,43
