Age,Height,Sex
1.4,120,M
17.5,227,M
12.75,235,M
11.17,210,M
12.67,220,M
12.67,189,M
12.25,225,M
12.17,204,M
28.17,265.85,M
11.67,233,M
16.33,241,M
12.58,212,M
25.42,251.51,M
12.42,201,M
26.5,257.7,M
12.58,249,M
11.58,206,M
12.25,212,M
11.58,238,M
11.58,217,M
26.67,268.56,M
25.67,237.19,M
15.25,257,M
28.75,302.35,M
11.33,201,M
12.08,238,M
12.5,200,M
24.17,253.05,M
11.75,202,M
9.75,224,M
9.25,206,M
9,180,M
9.5,210,M
9.5,208,M
23.92,281.56,M
9.08,195,M
26.08,304.06,M
8.83,212,M
8.17,193,M
18.83,251.39,M
25.42,294.15,M
18.75,219.29,M
8.25,181,M
8.33,188,M
24.17,287.13,M
8.17,193,M
21.25,272.91,M
18.67,271.31,M
8.33,199,M
21.33,228.69,M
8.5,194,M
18.75,258.11,M
8.42,162,M
6.83,161,M
17.25,296.84,M
7.17,199,M
18.75,221.37,M
7.42,181,M
7,183,M
0.75,84,M
4.67,170,M
4.67,167,M
0.67,99,M
4.67,155,M
0.67,115,M
11.08,206.64,M
0.01,91,M
10.25,200.03,M
0.17,86,M
0.25,85,M
17.25,266.75,M
10.75,227.57,M
0.17,96,M
3.67,163,M
10.58,233.09,M
10,209.92,M
9.5,212.96,M
12.17,217.57,M
11.5,234.92,M
9.83,174.97,M
7.33,151.31,M
5.75,171.58,M
11.33,225.93,M
7.67,205,M
10.08,232.77,M
4.83,167.97,M
7.25,188.25,M
4.75,176.93,M
6.75,205.48,M
9.42,218.38,M
4.58,136.39,M
9.33,199.73,M
7.42,199.87,M
9.5,178,M
9.5,227.49,M
8.75,204.35,M
7.42,205.53,M
8.5,210.27,M
6.33,165.85,M
8.58,223.16,M
7.33,171.07,M
1.58,119.15,M
7.08,162.57,M
6.58,165.88,M
3.83,152.26,M
5.92,171.59,M
6,164.57,M
5.67,197.51,M
0.08,108.08,M
3,136.4,M
0.25,85.18,M
11.08,217.87,F
3.08,176.84,M
5.25,163.99,M
2.33,132.89,F
2.42,144.83,F
26.5,206.07,F
11.75,207,F
0.33,85.59,F
2.42,126.96,M
26.75,227.34,F
1.25,114.05,M
13.42,203,F
28.42,228.32,F
2.08,131.28,F
7.5,182.52,F
5.5,150.57,F
27.25,226.22,F
6.58,178.61,F
0.67,103.95,M
0.01,83,F
0.33,84.07,M
3.33,156.12,F
11.17,217.05,F
0.17,96.22,M
14.58,214.3,F
0.58,99,M
12.42,214,F
8.42,178,F
16.5,217,F
25.42,240.41,F
1.5,132.75,F
23.33,238.1,F
1.83,115.21,M
26.75,235.43,F
0.08,84.21,F
6.75,166.17,F
11.42,213.35,F
16.5,222.19,F
17.67,215.02,F
1.3,125,F
8.33,200,F
27.8,265,F
1.33,137,F
28.25,215.88,F
26.08,215.97,F
0.5,97.31,F
8.75,207.71,F
26.67,220.51,F
20.17,232,F
21.5,227.09,F
19.58,223.83,F
27.33,225.58,F
8.67,193.4,F
2.42,160.79,F
0.1,82,M
8.25,175,F
17.5,200.08,F
0.33,122.39,M
25.25,218.02,F
15.5,217.58,F
21.25,227.21,F
5.17,181.5,F
16.5,228.47,F
0.67,105.28,F
11.25,205.04,F
12.25,225,F
2.33,144.13,M
7.33,173.72,F
15.25,220.31,F
2.25,106.3,F
7.33,162.36,F
30.25,277.8,F
27.42,207.02,F
3.25,155.58,F
3.83,157.95,F
29.25,226.1,F
3.33,160.63,M
7.67,205.2,F
0.25,102,F
9.67,197,F
8.25,187,F
26.42,210.3,F
6.75,167.78,F
12.33,217,F
16.42,221,F
11.33,196,F
0.67,117.73,F
16.75,232.03,F
2.08,143.76,F
8.42,168,F
15.75,232,F
21.42,249.42,F
1.58,146.79,F
24.67,192.54,F
4.58,131.34,F
18.75,216.34,F
10.92,194.76,F
8.67,174.97,F
1.08,140.24,F
0.75,99,F
8.25,204,F
15.42,214,F
17.58,190.33,F
21.92,226.21,F
22.17,210.3,F
9.75,200.21,F
10.08,215.28,F
0.5,75.46,M
21.67,232.25,F
0.25,90,F
9.42,205,F
11.42,203,F
1.42,119.13,F
1.5,117.78,F
0.5,116.93,M
9.33,229.47,F
17.5,234.74,F
25.25,241.94,F
28.58,234.84,F
0.33,84.27,M
16.67,220.43,F
1.5,114.91,F
11.5,190.03,F
25.83,243.74,F
9.33,193.9,F
1.5,104.83,F
23.92,253.36,F
0.25,110.37,M
0.2,94,M
0.1,91,F
21.83,258.94,F
18.58,215.21,F
1.83,150.22,M
12.83,199,F
18.75,216.91,F
7.42,187.58,F
1.58,145.35,M
12.5,178,F
10.08,208.45,F
3.33,169.94,M
8.75,207.52,F
8.42,176,F
12.25,214,F
0.5,94,F
16.75,198.45,F
10.67,198.45,F
3.92,163,F
30.5,227.03,F
2.08,132.36,M
0.01,79,F
0.33,105,M
11.33,215,F
8.17,186,F
2.2,140,M
15.33,213,F
11.42,208,F
8.08,169,F
9.58,192,F
8.25,175,F
26.58,250.79,F
0.42,117,M
0.04,91.5,M
15.58,206.08,F
32.17,261.02,F
28,232.31,F
0.08,75.57,F
5.42,173.32,M
25.58,221.61,F
5.92,162.08,F
7.58,193.27,F
10,204.77,F
25.08,259.25,F
4.75,122.83,F
10.5,209.23,F
19.92,190.25,F
21.25,225.53,F
13.17,221,F
