IncidentNum,Month,Day,Year,Time,County,Location,Mode,Injury,Depth,Species,Comment,Longitude,Latitude,Confirmed Source,WFL Case #
1,10,8,1950,12:00,San Diego,Imperial Beach,Swimming,major,surface,White,"Body Surfing, bit multiple times on leg, thigh and body",-117.1466667,32.58833333,"Miller/Collier, Coronado Paper, Oceanside Paper",
2,5,27,1952,14:00,San Diego,Imperial Beach,Swimming,minor,surface,White,Foot & swim fin bitten,-117.2466667,32.58833333,GSAF - with photos,
3,12,7,1952,14:00,Monterey,Lovers Point,Swimming,fatal,surface,White,"Attacked from below then second time from front, fatal",-122.05,36.62666667,"Miller/Collier, Coronado Paper",
4,2,6,1955,12:00,Monterey,Pacific Grove,Freediving,minor,surface,White,"Attacked from behind, lost swim fin",-122.15,36.62666667,"Miller/Collier, Santa Cruz Sentinel",
5,8,14,1956,16:30,San Luis Obispo,Pismo Beach,Swimming,major,surface,White,Large (9 ft) shark attacked side and hands in shallow water,-120.6466667,35.13833333,"Miller/Coliier, GSAF",
6,4,28,1957,13:30,San Luis Obispo,Morro Bay,Swimming,fatal,surface,White,"First hand accounts suggest a large white shark, bit swimmer's arm, victim never found",-120.875,35.40333333,"Miller/Collier, Madiera Tribune, San Beradino Sun",
7,10,12,1958,Unknown,San Diego,Coronado Strand,Swimming,major,surface,White,Shark bit swimmer multiple times on leg and torso,-117.2166667,32.685,"Miller/Collier, Coronado Paper",
8,5,7,1959,17:30,San Francisco,Baker Beach,Swimming,fatal,surface,White,Shark bit swimmer multiple times ,-122.4836,37.7936,"Miller/Collier, Santa Cruz Sentinel",
9,6,14,1959,17:00,San Diego,La Jolla,Freediving,fatal,surface,White,"Free diver bit, dragged to bottom and not recovered, eyewitness reports",-117.28,32.855,"Miller/Collier, Coronado Paper, San Diego Union",
10,7,28,1959,19:30,San Diego,La Jolla,Freediving,minor,surface,Hammerhead,Hammerhead bit thigh. Diver saw shark during and after attack,-117.38,32.855,"Miller/Collier, Desert Sun",
11,10,4,1959,15:00,Sonoma,Bodega Rock,Freediving,none,surface,White,"Large shark grabbed fin, no injury",-123.0466667,38.295,"Miller/Collier, Santa Cruz Sentinel, San Bernadino Sun",
12,11,10,1959,10:30,Los Angeles,"Malibu, Paradise Cove",Freediving,minor,surface,Blue,"Blue shark bit arm and released, minor injuries",-118.7833333,34.01833333,"Miller/Collier, San Bernadino Sun",
13,4,24,1960,14:00,Marin,Tomales Point,Freediving,minor,surface,White,Shark bit fin and diver's heel,-122.965,38.18166667,"Miller/Collier, Santa Cruz Sentinel",
14,5,19,1960,13:00,Santa Cruz,"Santa Cruz, Hidden Beach, Aptos",Swimming,major,surface,White,"Shark bit swimmer's leg, which was later amputated below the knee",-122.095,36.96,"Miller/Collier, Desert Sun",
15,5,21,1961,8:30,Marin,Tomales Point,Freediving,none,25,White,"Shark bit abalone diver's weight belt, no injuries",-123.065,38.18166667,"Miller/Collier, LA Times confirmed in report on SECOND attack in 1990",
16,8,20,1961,9:30,Sonoma,Salmon Creek Beach,Swimming,major,surface,White,Shark bit swimmer's groin and leg with major injuries to the foot and other lacerations,-123.0766667,38.35833333,"Miller/Collier, Santa Cruz Sentinel",
17,1,14,1962,10:30,Island - Farallones,Farallon Islands,Scuba Diving,major,surface,White,Spearfishing free diver bitten severely in Leg,-123.0316667,37.72,"Miller/Collier, Santa Cruz Sentinel",
18,11,11,1962,12:45,Island - Farallones,Farallon Islands,Scuba Diving,major,surface,White,SCUBA diver attacked at surface and bitten in multiple locations,-123.1316667,37.72,"Miller/Collier, Santa Cruz Sentinel",
19,1,11,1964,12:00,Island - Farallones,Farallon Islands,Scuba Diving,major,surface,White,Shark bit SCUBA diver on surface then circled and approached several times. Major injuries to legs,-123.2316667,37.72,"Miller/Collier, Santa Cruz Sentinel, San Bernadino Sun",
20,1,22,1966,11:00,Monterey,Cypress Point,Freediving,major,surface,White,Shark bit free diver at surface injuring thigh and arm,-122.0423722,36.58333333,"Miller/Collier, Santa Cruz Sentinel",
21,7,27,1968,11:00,Sonoma,Bodega Rock,Freediving,major,20,White,Shark bit free dive near bottom with major injuries to chest and back,-123.1466667,38.295,"Miller/Collier, AP article (unknown source)",
NOT COUNTED,7,20,1969,,San Mateo,Pigeon Point,Freediving,minor*,surface*,Killer Whale,"Free diver attacked at surface, dragged under with minor cuts to foot - News reports state this is a killer whale, with confirmation from Steinhardt",-122.4083333,37.19166667,Santa Cruz Sentinel and San Bernadino Sun ,
23,9,6,1969,11:20,Marin,Tomales Point,Freediving,major,surface,White,"Free diver near surface, major injuries to legs",-123.165,38.18166667,"Miller/Collier, San Bernadino Sun",
24,7,19,1971,Unknown,Santa Barbara,Purisma Point,Hookah Diving,major,20,White,"Shark attacked abalone Hookah Diving diver on bottom, major injuries to head, back and buttocks. Incorrectly reported in Miller/Collier as 1972",-120.6416667,34.75833333,"Miller/Collier, Santa Cruz Sentinel, LA Times",
25,10,2,1971,14:00,Sonoma,Sea Ranch,Scuba Diving,major,15,White,"SCUBA Diver near bottom, both legs with deep cuts",-123.43,38.66666667,Miller/Collier; GSAF,
26,5,28,1972,13:30,Marin,Tomales Point,Freediving,major,surface,White,"Free Diver at surface, Major injuries to thighs",-123.265,38.18166667,"Miller/Collier, San Bernadino Sun",
NOT COUNTED,9,9,1972,,Monterey,Point Sur,Surfing / Boarding,major*,surface*,Killer Whale,Surfer attacked with major injuries to legs - This is widely reported as a killer whale incident. Only Shark attack file says white shark,-121.8966667,36.31333333,Santa Cruz Sentinel and Desert Sun,
28,5,26,1974,11:30,Marin,Tomales Point,Freediving,major,surface,White,"Free diver at surface, injuries to legs",-123.365,38.18166667,"Miller/Collier, News Ledger",
29,7,26,1974,Unknown,Mendocino,Albion,Freediving,minor,25,White,"Shark grabbed free diver's foot on descent, minor injuries",-123.7766667,39.22833333,Miller/Collier,
30,8,5,1974,Unknown,San Mateo,San Gregorio State Beach,Surfing / Boarding,minor,surface,White,Shark bit surfer's board with minor laceration to hand,-122.4083333,37.32333333,Miller/Collier,
31,9,2,1974,17:30,San Mateo,Franklin Point,Scuba Diving,minor,surface,White,"2 SCUBA divers at surface, shark bit first diver on foot and second on hand, minor injuries",-122.3666667,37.15,Miller/Collier,
32,9,2,1974,17:30,San Mateo,Franklin Point,Scuba Diving,minor,surface,White,"2 SCUBA divers at surface, shark bit first diver on foot and second on hand, minor injuries",-122.4666667,37.15,Miller/Collier,
