geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3282935,3288817,3297661,3309479,3324285,3339157,3354095,3369101,3384173,3399313,3414520,3429796,3445140,3460553,3476034,3491585,3507205,3522896,3538656,3554487,3570389,3586362,3602406,3618522,3634711,3650971,3667305,3683711,3700191,3716745,3734342,3752993,3769994,3788039,3807137,3826330,3845617,3865000,3884478,3904052,3923723,3943490,3963356,3983319,4003381,4023542,4043802,4064162,4084622,4105183,4125851,4146626,4167509,4188501,4209601,4230806,4252115,4273529,4295049,4316674,4338407,4360246,4382193,4404248,4426411,4448684,4471066,4493558,4516162,4538876,4561702,4584640,4607691,4630856,4654134,4677527,4701035,4724659,4748398,4772254,4803896,4843455,4891067,4946868,5010996,5075953,5141750,5208396,5275903,5344282,5482676,5697189,5994398,6381387,6865792,7386963,7947691,8550978,9200053,9905878,10370737,10591626,10564504,10284244,9744601,9233274,8748779,8289705,7854721,7442562,7121951,6888085,6736411,6662618,6662618,6662618,6662618,6662618,6662618,6662618,6683048,6724220,6786454,6870072,6975401,7082346,7190930,7301178,7413117,7526773,7647720,7776176,7879339,7987783,8096698,8207950,8326979,8454301,8588335,8723401,8869270,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,43844111,45047069,46258906,47470575,48725717,50039402,51376001,52707848,54044254,55359464,56647232,57953661,59279044,60597838,61944472,63347870,64738843,66060220,67375163,68703958,70021200,71384693,72756311,74109735,75515602,76885135,78155052,79457286,80821896,82196810,83578886,84980652,86393649,87773542,89081741,90362736,91633723,92931629,94276121,95639081,97024251,98338760,99577253,100850614,102132889,103416642,104657106,105836162,107063245,108265518,109352869,110399880,111475822,112514314,113583427,114673795,115634326,116516232,117378535,118292973,119224273,120043239,120858257,121694041,122483519,123304496,124110001,124854162,125589411,126306889,126990147,127647762,128305496,128964762,129616118,130216739
ago,Angola,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1571640,1580933,1594974,1613834,1637584,1661683,1686138,1710952,1736131,1761680,1787606,1813913,1840608,1867695,1895181,1923071,1951372,1980089,2009229,2038798,2068802,2099247,2130141,2161489,2193299,2225576,2258329,2291563,2325287,2359507,2390443,2418020,2445672,2469872,2490526,2511347,2532337,2553497,2574829,2596334,2618055,2639996,2662158,2684543,2707154,2729949,2752931,2776102,2799461,2823012,2845635,2867312,2888028,2907765,2926507,2945363,2964335,2983423,3002629,3021953,3041381,3060916,3080556,3100303,3120158,3140134,3160231,3180452,3200795,3221263,3235340,3243000,3244216,3238963,3227213,3215499,3203823,3192182,3180579,3169012,3155581,3140304,3123196,3104276,3083560,3062976,3042524,3022203,3002013,2981952,2964371,2949249,2936568,2926307,2918448,2910605,2902777,2894966,2887171,2875622,2874960,2885302,2906771,2939489,2983582,3028335,3073761,3119867,3166665,3214165,3261716,3309308,3356933,3404583,3452247,3500578,3549586,3599280,3649670,3700766,3755620,3814340,3877037,3943822,4014811,4087077,4160645,4235536,4311776,4389388,4469398,4551869,4602561,4651688,4706359,4766717,4832764,4904270,4980642,5061134,5145102,5231654,5301583,5354310,5408320,5464187,5521981,5581386,5641807,5702699,5763685,5852788,5991102,6174262,6388528,6613367,6842947,7074664,7317829,7576734,7847207,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,39040039,40215179,41415124,42641676,43891851,45160458,46449965,47759510,49091474,50447455,51821718,53215939,54625871,56053780,57501916,58965321,60441179,61927914,63430878,64945298,66464329,68000598,69554170,71118784,72701385,74295394,75892826,77501966,79123458,80752716,82392220,84032204,85679410,87336039,88991591,90647914,92310988,93969991,95625117,97282779,98933230,100578469,102219413,103858186,105498663,107137076,108767796,110391405,112014399,113630808,115220841,116788430,118356154,119925102,121471112,123012399,124542887,126039002,127515736,128986053,130454011,131908573,133334695,134748103,136163364,137556711,138919849,140249378,141550054,142835147,144102524,145340832,146549586,147743369,148912810,150045574
alb,Albania,400000,401773,403554,405343,407140,408945,410758,412579,414408,416246,418099,419953,421814,423684,425563,427449,429344,431248,433159,435086,437026,438981,440950,442934,444927,446929,448940,450959,452988,455027,457074,459130,461196,463271,465356,467449,469552,471665,473787,475919,478060,480211,482372,484542,486722,488912,491112,493321,495541,498261,501490,505284,509601,514448,519342,524281,529268,534302,539384,544514,549693,554921,560199,565528,570907,576337,581818,587352,592939,598568,604241,609957,615717,621521,627380,633294,639263,645290,651372,657513,663711,669967,676283,682658,689093,695588,702145,708764,715445,722252,729186,736248,743442,750769,758168,765639,773185,780805,788499,796131,803696,811194,818623,825981,833404,840894,848452,856077,863771,871105,878073,884669,890886,896719,902590,908499,914447,920434,926367,932112,937666,943027,948193,953161,958156,963176,968222,973295,978395,984523,991694,999925,1009231,1019629,1030135,1040749,1051472,1062305,1073250,1084704,1096676,1109176,1122215,1135803,1149556,1163476,1177564,1191822,1206253,1224875,1247851,1276366,1308360,1343575,1381087,1418850,1456820,1497956,1543978,1595011,1649387,1698791,1743733,1791285,1841441,1894312,1950044,2008521,2068841,2126875,2181220,2234992,2289265,2344105,2399401,2454859,2510580,2566599,2624621,2681385,2735416,2790413,2846907,2905130,2964958,3026242,3087652,3148838,3212919,3260374,3277966,3282602,3282501,3277825,3269410,3258567,3245678,3229660,3210133,3188595,3166148,3147943,3134092,3118088,3098657,3076159,3050809,3022887,2992930,2961479,2928722,2911504,2910004,2907573,2903749,2898632,2897867,2898242,2894231,2885010,2871954,2849635,2827608,2811655,2791765,2771508,2751025,2731225,2711660,2691910,2671885,2651874,2632160,2612048,2591317,2570580,2549689,2528236,2506595,2484374,2461866,2439519,2417264,2395166,2373261,2351280,2328952,2306865,2284841,2262548,2240166,2218012,2195840,2173329,2150774,2128300,2106073,2083968,2061943,2039982,2017998,1996206,1974543,1952815,1931103,1909488,1888155,1866857,1845407,1824099,1802818,1781410,1759873,1738330,1716473,1694380,1672511,1650545,1628466,1606486,1584303,1561893,1539373,1516782,1494285,1471967,1449876,1428111,1406581,1385277,1364419,1344055,1324192,1304876,1286145,1268008,1250429,1233362,1216785,1200681,1184997
and,Andorra,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2658,2665,2677,2692,2711,2730,2749,2769,2788,2808,2828,2848,2868,2888,2908,2929,2950,2970,2991,3013,3034,3055,3077,3099,3120,3142,3165,3187,3210,3232,3255,3278,3299,3320,3342,3363,3385,3407,3429,3451,3473,3495,3518,3541,3563,3586,3609,3633,3656,3680,3703,3727,3751,3775,3799,3824,3848,3873,3898,3923,3948,3974,3999,4025,4051,4077,4103,4130,4156,4183,4210,4237,4264,4291,4319,4347,4375,4403,4431,4460,4488,4517,4546,4575,4605,4634,4664,4694,4724,4754,4796,4849,4913,4990,5078,5168,5260,5353,5448,5549,5609,5629,5609,5549,5448,5350,5253,5158,5065,4974,4911,4878,4873,4897,4949,5001,5054,5108,5162,5217,5273,5329,5385,5442,5500,5558,5617,5677,5737,5798,5884,5996,5819,5455,5323,5602,6165,6765,7399,8068,8771,9510,10283,11086,11915,12764,13634,14626,15837,17176,18555,19977,21442,22957,24523,26130,27773,29436,31097,32735,34306,35782,37169,38764,40565,42273,43825,45734,47653,49416,50620,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938,82904,83753,84463,84958,85344,85681,85883,85984,86055,86106,86174,86121,86007,85941,85844,85668,85478,85284,85013,84678,84294,83917,83515,83087,82641,82195,81668,81075,80457,79766,79056,78331,77576,76811,76028,75222,74406,73586,72761,71932,71099,70341,69594,68779,67979,67212,66497,65789,65062,64367,63670,62969,62257,61512,60787,60086,59388,58678,57964,57295,56664,56017,55358,54712,54060,53416,52781,52134,51484,50843,50211,49586,48973,48373,47791,47222
are,UAE,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40167,40182,40196,40210,40224,40239,40253,40267,40282,40296,40310,40325,40339,40353,40367,40382,40396,40410,40473,40585,40745,40956,41216,41477,41741,42006,42272,42541,42811,43083,43356,43631,43908,44187,44467,44750,45034,45320,45607,45897,46188,46481,46776,47073,47372,47672,47975,48279,48586,48894,49204,49516,49831,50147,50465,50785,51107,51432,51784,52165,52575,53014,53482,53955,54433,54914,55400,55870,56344,56823,57305,57792,58283,58778,59277,59780,60288,60800,61316,61837,62362,62892,63426,63964,64508,65055,65608,66165,66727,67294,67865,68441,69023,69609,70200,70796,71397,72004,73035,74512,79540,84761,90147,95653,101258,106963,112784,118762,124937,131334,137989,144946,152211,159692,167103,173976,179700,199416,239660,286536,335027,385014,436399,489087,542856,615866,710209,809274,912010,1015700,1099855,1166370,1235305,1305996,1377911,1467383,1574244,1681788,1789851,1898220,2006626,2114730,2222093,2328188,2434662,2597564,2817410,3040421,3266009,3493575,3723590,3956826,4192457,4428967,4664790,5009100,5624635,6302664,6707058,6938363,7199423,7497118,7831847,8236874,8674633,9030873,9234327,9346870,9377847,9448524,9789048,10242086,10642081,11027129,11346000,11574682,11755595,11912256,12054640,12190605,12327111,12467816,12612265,12760076,12910702,13063716,13218798,13375742,13534189,13693776,13854524,14016332,14179095,14342811,14507366,14673759,14843817,15016877,15191614,15367392,15543672,15720976,15900020,16081439,16264889,16450041,16637528,16827635,17020197,17214830,17412137,17613168,17817880,18026058,18237403,18451478,18668363,18888000,19110154,19334289,19560135,19787409,20015900,20245058,20474288,20703707,20933012,21161825,21389975,21617417,21844113,22070029,22295061,22519025,22741916,22964204,23186347,23408452,23630654,23852867,24075187,24298127,24521988,24747048,24973506,25201603,25431504,25663508,25897696,26134299
arg,Argentina,534000,519565,505520,491855,478559,465622,453035,440789,428873,417280,419661,422044,429196,441120,453376,465972,478918,492224,505900,518837,530996,542336,552814,562385,572122,582027,592104,602355,612784,623653,634974,646761,659027,671785,684790,698047,711561,725336,739378,756337,776366,799625,826281,856507,887839,920317,953983,988880,1025054,1058278,1088372,1115018,1138141,1157537,1177264,1197327,1217732,1238484,1259590,1285061,1315100,1349919,1389737,1434782,1481287,1529299,1578867,1630042,1682875,1737252,1793218,1850817,1910099,1971110,2034070,2099041,2166088,2235276,2306674,2380352,2456384,2534844,2615811,2699363,2785585,2874560,2966377,3061127,3158904,3260762,3366865,3477381,3592485,3712359,3836233,3964239,4096518,4233210,4374463,4524949,4685149,4855566,5036726,5229179,5428987,5636429,5851797,6075395,6307536,6532191,6748648,6956157,7153927,7341125,7533221,7730344,7932625,8140198,8354165,8580100,8818506,9069908,9334847,9613888,9901269,10197241,10502060,10815991,11139307,11443357,11727056,11989276,12228847,12444554,12664066,12887450,13114774,13346108,13581523,13825703,14078892,14341341,14613304,14895043,15182214,15474922,15773273,16077376,16387342,16700887,17018036,17356467,17698877,18041302,18381213,18716029,19049964,19383035,19714253,20049609,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159,45851378,46003734,46153342,46299946,46443764,46585022,46723736,46859877,46993516,47124535,47251994,47375365,47494512,47608787,47716823,47817645,47910498,47994507,48069561,48135529,48191841,48237678,48272492,48296026,48308274,48308944,48297098,48272369,48234737,48184613,48122229,48047358,47960610,47862863,47755326,47638688,47513476,47380747,47241188,47095293,46943412,46786073,46623480,46455030,46280512,46100474,45914883,45723826,45527203,45324185,45115122,44900128,44679067,44451502,44217094,43976228,43728853,43474938,43214645,42948621,42677134,42400661,42120018,41835486,41547115,41255037,40959933,40662490,40363219,40062943,39761859,39460124,39158399,38857022,38556118,38255990
arm,Armenia,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,414085,415609,417905,420982,424845,428744,432678,436649,440655,444699,448780,452898,457054,461249,465481,469753,474064,478414,482804,487235,491706,496218,500772,505367,510004,514685,519408,524174,528984,533838,538737,543681,548719,553803,558935,564114,569341,574616,579941,585314,590738,596211,601736,607312,612939,618618,624350,630135,635974,641867,647814,653817,659875,665989,672160,678388,684674,691018,697421,703883,710405,716987,723631,730336,737103,743933,750826,757783,764804,771890,779043,786261,793546,800899,808320,815809,823368,830997,838697,846468,854311,862227,870216,878279,886416,894630,902919,911285,919728,928250,936851,945531,954292,963134,972058,981064,990155,999329,1008588,1017843,1027184,1036610,1046122,1055722,1065410,1075187,1085054,1095011,1105059,1115200,1125434,1135761,1146184,1156702,1167316,1178028,1188839,1199748,1210758,1221868,1233081,1244397,1255816,1267340,1278970,1290707,1302551,1314504,1326567,1338740,1357426,1382895,1417284,1454107,1493578,1535978,1581508,1630819,1684134,1740884,1801008,1863705,1927484,1991689,2056023,2120135,2183635,2246159,2307492,2367319,2424030,2475633,2525345,2577079,2630860,2686445,2743660,2818165,2912827,3012807,3078501,3107415,3135349,3163144,3191539,3224547,3260432,3294847,3328520,3355125,3443100,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3125628,3084349,3055630,3038968,3022541,3006351,2990377,2974819,2959990,2945517,2931078,2923271,2922528,2922518,2922422,2921177,2918793,2914963,2909965,2903972,2890892,2870349,2880874,2943393,2973840,2952365,2930915,2910495,2890816,2871013,2851291,2831832,2812787,2794033,2775367,2756725,2738165,2719927,2701970,2683821,2665523,2647711,2630115,2612703,2595825,2579220,2562512,2545697,2528833,2511980,2495207,2478352,2461256,2444630,2428066,2411271,2394610,2377610,2360627,2343622,2326386,2309097,2291874,2274519,2256816,2238873,2220726,2202465,2184010,2165468,2146964,2128443,2109841,2091133,2072510,2054124,2036143,2018466,2000862,1983524,1966512,1949737,1933253,1917262,1901746,1886568,1871671,1857165,1843170,1829561,1816236,1803138,1790311,1777677,1765143,1752811,1740658,1728533,1716394,1704282,1692198
atg,Antigua and Barbuda,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,36993,36985,36978,36970,36963,36955,36948,36941,36892,36803,36674,36504,36295,36086,35879,35673,35468,35265,35101,34976,34891,34846,34839,34832,34825,34818,34811,34804,34835,34906,35016,35165,35354,35544,35735,35927,36119,36313,36427,36460,36412,36284,36076,35869,35663,35458,35254,35052,34827,34580,34312,34023,33712,33405,33100,32798,32499,32202,31924,31665,31423,31198,30991,30786,30581,30378,30177,29983,29847,29771,29752,29792,29890,29988,30087,30185,30285,30384,30652,31095,31719,32529,33532,34566,35631,36730,37863,39030,40050,40917,41625,42166,42534,42906,43281,43659,44040,44425,44892,45444,46420,47397,48383,49371,50374,51382,52404,53457,54526,55603,56540,57336,58138,59020,59970,60900,61837,62809,63819,64528,64729,64615,64342,64058,63839,63762,63862,64038,64274,64513,64665,64785,64934,64882,64591,64276,63946,63623,63325,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772,94209,94626,95010,95368,95704,96000,96254,96484,96682,96856,97007,97109,97159,97181,97177,97133,97054,96942,96797,96621,96419,96191,95942,95674,95380,95055,94710,94349,93963,93553,93130,92719,92302,91856,91414,90969,90504,90034,89550,89055,88552,88039,87511,86966,86417,85865,85300,84716,84135,83553,82976,82395,81788,81171,80543,79913,79296,78680,78055,77429,76819,76201,75567,74948,74341,73735,73126,72517,71924,71343,70761,70184,69612,69058,68516,67975
aus,Australia,200000,205195,210524,215992,221602,227357,233263,239321,245537,251914,258627,265344,272236,279307,286561,294004,301640,309474,317512,323943,328728,331827,333197,332795,332395,331994,331595,331195,330797,332089,335111,339904,346508,354966,363631,372507,381599,390914,400456,411303,423526,437202,452407,469223,486665,504755,523518,542978,563161,589474,622584,663067,711847,769780,832429,900175,973436,1052659,1138329,1217199,1288314,1350631,1403008,1444198,1486597,1530242,1575167,1621411,1669013,1715173,1759787,1802751,1843952,1883275,1923436,1964454,2006347,2049133,2092831,2143443,2201326,2266849,2340399,2422377,2507226,2595048,2685945,2780027,2877403,2968015,3051439,3127235,3194941,3254079,3314310,3375657,3438139,3501777,3566593,3630415,3693191,3754868,3815391,3874703,3934936,3996106,4058226,4121312,4185378,4254495,4328821,4408521,4493763,4584719,4677515,4772190,4868780,4967325,5069032,5171288,5274074,5377372,5481162,5585424,5691668,5799933,5910258,6022682,6137243,6240608,6332448,6412429,6480210,6535442,6591145,6647323,6703979,6761118,6818745,6887470,6967561,7059288,7162928,7278763,7396470,7516081,7637627,7761138,7886646,8025032,8176750,8418610,8630704,8816081,8999383,9205181,9424662,9638775,9847637,10060036,10280813,10500443,10707236,10913265,11128251,11357477,11592485,11810519,12030013,12272380,12599411,12997964,13304896,13518685,13719495,13893989,14046755,14203508,14367098,14533035,14721347,14949202,15192485,15414893,15620653,15835747,16069633,16322269,16594099,16869362,17126298,17353193,17549288,17722911,17897433,18095344,18305307,18504912,18701717,18909981,19132471,19365433,19595355,19819454,20046677,20294490,20590559,20954549,21370589,21783011,22141581,22479775,22852644,23236270,23595601,23948002,24329963,24731038,25119706,25482714,25743791,25956417,26200984,26451124,26713205,26974026,27227096,27474271,27718838,27956571,28188539,28417794,28641922,28861602,29078992,29296168,29513613,29726637,29938042,30148427,30357450,30570272,30786334,31002214,31216093,31431123,31650488,31866219,32081621,32297180,32506969,32716087,32921908,33125573,33331249,33539309,33745342,33949054,34156815,34362634,34562683,34764692,34969212,35175465,35377580,35577439,35784852,35997266,36211023,36424702,36635122,36839673,37041408,37245058,37451853,37659585,37865664,38073800,38284007,38492857,38700844,38913382,39127226,39341144,39552738,39759318,39970333,40188433,40416300,40646491,40876704,41111420,41344709,41574723,41797144,42016474,42243353,42477126,42706735,42926634,43143685
aut,Austria,3000000,3017451,3035004,3052658,3070416,3088277,3106241,3124310,3142485,3160765,3179258,3197752,3216353,3235063,3253881,3272809,3291847,3310996,3330256,3349015,3367266,3385004,3402223,3418916,3435691,3452549,3469489,3486512,3503619,3520820,3538115,3555505,3572991,3590572,3608240,3625995,3643838,3661768,3679786,3698789,3718786,3739787,3761804,3784847,3808031,3831357,3854826,3878438,3902195,3926782,3952208,3978557,4005767,4033846,4062123,4090598,4119273,4148148,4177226,4206121,4234829,4263345,4291667,4319790,4348097,4376589,4405269,4434136,4463192,4494619,4528453,4564728,4603480,4644746,4686383,4728392,4770778,4813544,4856693,4900096,4943754,4987667,5031837,5076264,5121085,5166300,5211915,5257933,5304357,5352743,5403125,5455536,5510010,5566582,5623735,5681475,5739808,5798740,5858277,5918422,5979182,6040563,6102571,6165213,6228499,6292433,6357025,6422279,6488203,6538016,6571595,6588811,6589538,6573645,6557790,6541974,6526196,6510456,6494633,6486504,6486077,6493361,6508363,6531092,6553900,6576788,6599756,6622804,6645932,6664887,6679652,6690212,6696551,6698652,6700753,6702856,6704959,6707062,6709166,6715388,6725743,6740245,6758911,6781755,6804677,6827676,6850753,6873908,6897141,6917992,6936449,6930484,6927252,6932082,6939891,6946655,6952264,6965834,6987338,7014265,7047274,7086057,7129579,7175493,7223395,7270415,7321519,7376289,7414623,7440301,7466319,7499635,7543259,7585105,7597967,7577830,7564457,7567336,7561204,7548341,7548406,7567556,7573078,7561163,7560715,7564309,7569395,7574315,7585342,7620407,7679624,7757140,7842712,7907495,7938155,7950322,7960914,7969803,7978466,7993892,8012928,8042233,8081636,8122602,8173491,8229204,8269898,8296952,8323253,8345066,8365092,8393270,8431601,8481406,8547817,8644039,8737915,8798778,8841650,8880876,8921405,8967057,9064677,9130429,9120813,9113574,9107266,9101493,9096265,9089763,9080346,9069088,9056510,9043486,9029409,9014208,8999246,8982695,8966400,8950790,8934061,8917559,8900674,8883178,8864497,8844730,8824199,8801903,8777846,8751755,8724332,8696685,8667922,8636710,8603886,8570635,8537012,8501897,8465818,8430060,8394695,8360105,8325620,8291173,8258211,8225772,8193049,8161533,8131306,8101555,8072756,8045284,8017717,7990447,7963623,7937308,7911662,7884737,7857206,7830807,7805761,7781119,7755989,7730759,7705346,7680365,7656850,7634721,7612694,7590341,7569186,7549429,7530928,7513401,7496581,7479874,7462943,7446092,7429819,7414451,7399328
