"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038521,"Telemidae","Usofila","USA","California","Alameda","Berkeley","2/3/1958","LM Smith"
9038522,"Telemidae","Usofila","USA","California","Alameda","Castro Valley","24/3/1941","WM Pearce"
9038523,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn. on Palomares Rd.","2/1/1964","V Roth"
9038524,"Telemidae","Usofila","USA","California","Alameda","Oakland","18/2/1953","WG Bentinck"
9038525,"Telemidae","Usofila","USA","California","Alameda","Oakland","25/1/1953","R Schuster"
9038526,"Telemidae","Usofila","USA","California","Alameda","Oakland","18/2/1953","WC Bentinck"
9038527,"Telemidae","Usofila","USA","California","Alameda","Oakland","10/12/1953","J Helfer"
90386281,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park","17/10/1953","Roth, Schuster"
9038529,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park","17/10/1953","Roth, Schuster"
90387441,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Claremont Hotel","17/2/1962","PR Craig, DL Dailey"
9038779,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Woolsey Canyon, at end of LeConte St","21/12/1983","TS Briggs, VF Lee, D Ubick"
9038780,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn.","1/1/1964","V Roth"
