"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038679,"Telemidae","Usofila","USA","California","Calaveras","Porcupine Cave, 3 mi N of Columbia","28/2/1979","DC Rudolph, S Winterath, B Martin"
9038725,"Telemidae","Usofila","USA","California","Calaveras","Fox Gulch, Lower von Trump Mine","23/9/1975","T Briggs, R Lem"
9038726,"Telemidae","Usofila","USA","California","Calaveras","Buckeye Cave, WSI #C-6, Murphys, twilight zone","11/6/1994","D Ubick"
9038727,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave","22/12/1990","Dave Cowan"
9038728,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139","1/9/1961","RE Graham"
9038730,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave","24/8/1991","T Briggs, D Cowan, G Malliet, D Ubick"
9038732,"Telemidae","Usofila","USA","California","Calaveras","Music Hall Cave, WSI #C-2, 4.5 mi ESE Angels Camp","14/5/1977","AG Grubbs, S Winterath, M McEachern, N Boice"
9038733,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215","11/8/1962","RE Graham"
9038734,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","21/8/1963","R Graham"
9038735,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Bat Cavern, Carlos', 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs, D Broussard, S Winterath"
9038736,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038737,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","31/3/1961","RE Graham"
9038738,"Telemidae","Usofila","USA","California","Calaveras","Carlito's Cave, 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs"
9038739,"Telemidae","Usofila","USA","California","Calaveras","Dirty Fissure 4 mi ESE Angels Camp","25/5/1977","AG Grubbs"
9038740,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","M Ivie"
9038741,"Telemidae","Usofila","USA","California","Calaveras","Mercers Cave","13/8/1962","RE Graham"
9038742,"Telemidae","Usofila","USA","California","Calaveras","Eagle View Cave #2, 2/1/2 mi NW Columbia","29/3/1979","DC Rudolph"
9038743,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","15/8/1962","RE Graham"
9038744,"Telemidae","Usofila","USA","California","Calaveras","Striped Cave, 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs, O Broussard, S Winterath"
9038745,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","31/8/1961","RE Graham"
9038747,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave","22/13/1963","R Graham"
9038749,"Telemidae","Usofila","USA","California","Calaveras","Williams Cave","19/8/1963","R Graham"
9038750,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139","1/9/1961","R Graham"
9038751,"Telemidae","Usofila","USA","California","Calaveras","Cave of Skulls, Frenchmen's Cave, Limestone Cave, Stanford Grotto #133, 3 mi N Columbia","29/3/1979","Rudolph, Martin, Winterath, Elliot, Reddell"
9038752,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","R Graham"
9038753,"Telemidae","Usofila","USA","California","Calaveras","Linda's Cave, 4.5 mi SE Angels Camp","16/5/1977","AG Grubbs, D Broussard, N Boice"
9038754,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","21/13/1963","R Graham"
9038755,"Telemidae","Usofila","USA","California","Calaveras","Deer Cave, Brown Deer Cave, 7 mi ESE Angels Camp","27/4/1977","AG Grubbs"
9038756,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Cave, Carlos', 4.5 mi SE Angela Camp","16/5/1977","AG Grubbs, N Boice, D Broussard"
9038758,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","R Graham"
9038759,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave","4/9/1961","R Graham"
9038760,"Telemidae","Usofila","USA","California","Calaveras","Pseudoscorpion Cave","17/8/1963","R Graham"
9038763,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","M. Ivie"
9038764,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038765,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038766,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215","11/8/1972","R Graham"
9038767,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","R Graham"
