"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038602,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","30/5/1949","EI Schlinger"
9038603,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","31/12/1953","G Marsh, R Schuster, V Roth"
9038604,"Telemidae","Usofila","USA","California","Napa","9 mi S of Monticello","19/1/1958","RO Schuster"
9038605,"Telemidae","Usofila","USA","California","Napa","5 mi S of Monticello","6/1/1957","RO Schuster"
9038606,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","22/1/1958","F Raney, RO Schuster"
9039607,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","19/1/1958","RO Schuster"
9038608,"Telemidae","Usofila","USA","California","Napa","7mW Oakville","13/12/1957","LM Smith, RO Schuster"
9038609,"Telemidae","Usofila","USA","California","Napa","7 mi. E Rutherford","6/1/1957","RO Schuster"
9038610,"Telemidae","Usofila","USA","California","Napa","3 mi NNE St. Helena","15/12/1958","F Raney"
9038611,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","22/1/1958","F Raney, RO Schuster"
9038612,"Telemidae","Usofila","USA","California","Napa","7 mi W Oakville","15/2/1954","VD Roth, R Schuster"
9038613,"Telemidae","Usofila","USA","California","Napa","3 mi N of Calistoga","31/12/1953","GA Marsh, RO Schuster, V Roth"
9038614,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","6/1/1957","RO Schuster"
9038615,"Telemidae","Usofila","USA","California","Napa","Wooden Valley","29/4/1962","SF Bailey"
9038616,"Telemidae","Usofila","USA","California","Napa","10 mi S Monticello","17/3/1957","RO Schuster"
9038618,"Telemidae","Usofila","USA","California","Napa","Bale Mill","22/5/1962","SF Bailey"
9038619,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","12/5/1957","LM Smith, RO Schuster"
9038620,"Telemidae","Usofila","USA","California","Napa","4 mi N of St. Helena","31/12/1953","GA Marsh, RO Schuster, VD Roth"
9038621,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","14/3/1954","R Schuster"
9038622,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","16/3/1957","RO Schuster"
9038623,"Telemidae","Usofila","USA","California","Napa","Rutherford, I-3-58 F Raney","3/1/1958","RO Schuster"
