"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038655,"Telemidae","Usofila","USA","California","Tuolumne","Pinnacle Point Cave, 16.7 km N Sonora","20/1/1978","WR Elliott, AG Grubbs, SA Winterath"
9038664,"Telemidae","Usofila","USA","California","Tuolumne","Pinnacle Point Cave, 10 mi NE Angels Camp","1/5/1977","AG Grubbs, J Davis, N Boice, McEachprn"
9038665,"Telemidae","Usofila","USA","California","Tuolumne","Stanislaus Canyon","28/3/1979","J Reddell"
9038666,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave,WSI #C-146, 4.6 km NNW Columbia","18/12/1977","AG Grubbs, SA Winterath"
9038667,"Telemidae","Usofila","USA","California","Tuolumne","Transplant Mine, 3.7 km N Columbia","10/1/1978","WR Elliott, AG Grubbs, SA Winterath"
9038668,"Telemidae","Usofila","USA","California","Tuolumne","Mine Cave, 2 mi NW Columbia","1/4/1979","Rudolph, Martin, S Winterath"
9038670,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave, WSI #C-146","2/1/1978","WR Elliott, AG Grubbs, SA Winterath"
9038672,"Telemidae","Usofila","USA","California","Tuolumne","Crystal Palace Cave, WSI #C-60 and C-64, 5 km N of Columbia","21/2/1977","WR Elliott, AG Grubbs, SA Winterath"
9038673,"Telemidae","Usofila","USA","California","Tuolumne","T3N R14E, 2.5 mi NW Columbia","12/2/1979","DC Rudolph, S Winterath"
9038674,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave, WSI #C-146, 3 mi N Columbia","25/3/1979","Rudolph, Martin, Winterath, Elliot, Reddell"
9038675,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave, WSI #C-146, 4.6 km NNW Columbia","14/12/1977","WR Elliott, AG Grubbs, SA Winterath"
9038676,"Telemidae","Usofila","USA","California","Tuolumne","Crystal Palace Cave, WSI #C-60 and C-64, 3 mi N of Columbia","25/3/1979","Rudolph, Martin"
9038677,"Telemidae","Usofila","USA","California","Tuolumne","Mine, 2 mi N of Columbia","17/4/1979","DC Rudolph, S Winterath"
9038678,"Telemidae","Usofila","USA","California","Tuolumne","Transplant Mine, 3.7 km N Columbia","10/1/1978","WR Elliott, AG Grubbs, SA Winterath"
9038680,"Telemidae","Usofila","USA","California","Tuolumne","Crystal Palace Cave, WSI #C-60 and C-64, 3 mi N of Columbia","4/2/1979","DC Rudolph, S Winterath"
9038681,"Telemidae","Usofila","USA","California","Tuolumne","McLeans Cave, WSI #C-146, 7 mi E Angels Camp","12/5/1977","AG Grubbs, S Winterrath, D Broussard"
9038731,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave","15/3/1977","T Brigg"
9038999,"Telemidae","Usofila","USA","California","Tuolumne","2.5 mi N of Columbia, Mclean's Cave","5/3/1981","DH Kavanaugh, GC Hunter, D Ubick"
