Campus,Academic_Yr,Category,Ethnicity,Perc FR,FilteredCountFR
Davis,2019,Applicants,International,21.16%,16522
Davis,2019,Applicants,Unknown,2.51%,1959
Davis,2019,Applicants,White,18.39%,14360
Davis,2019,Applicants,Asian,30.76%,24024
Davis,2019,Applicants,Chicano/Latino,22.44%,17526
Davis,2019,Applicants,American Indian,0.35%,277
Davis,2019,Applicants,African American,4.39%,3425
Davis,2019,Applicants,All,100.00%,78093
Davis,2018,Applicants,International,19.87%,15507
Davis,2018,Applicants,Unknown,2.83%,2208
Davis,2018,Applicants,White,18.96%,14797
Davis,2018,Applicants,Asian,30.63%,23902
Davis,2018,Applicants,Chicano/Latino,22.74%,17741
Davis,2018,Applicants,American Indian,0.43%,334
Davis,2018,Applicants,African American,4.53%,3535
Davis,2018,Applicants,All,100.00%,78024
Davis,2017,Applicants,International,19.63%,13926
Davis,2017,Applicants,Unknown,2.57%,1824
Davis,2017,Applicants,White,20.29%,14399
Davis,2017,Applicants,Asian,29.97%,21262
Davis,2017,Applicants,Chicano/Latino,22.51%,15972
Davis,2017,Applicants,American Indian,0.47%,332
Davis,2017,Applicants,African American,4.57%,3240
Davis,2017,Applicants,All,100.00%,70955
Davis,2016,Applicants,International,19.75%,13536
Davis,2016,Applicants,Unknown,2.72%,1865
Davis,2016,Applicants,White,20.85%,14295
Davis,2016,Applicants,Asian,29.91%,20503
Davis,2016,Applicants,Chicano/Latino,21.70%,14876
Davis,2016,Applicants,American Indian,0.46%,313
Davis,2016,Applicants,African American,4.61%,3162
Davis,2016,Applicants,All,100.00%,68550
Davis,2015,Applicants,International,17.40%,11240
Davis,2015,Applicants,Unknown,2.91%,1880
Davis,2015,Applicants,White,21.68%,14005
Davis,2015,Applicants,Asian,31.99%,20666
Davis,2015,Applicants,Chicano/Latino,21.17%,13675
Davis,2015,Applicants,American Indian,0.49%,319
Davis,2015,Applicants,African American,4.36%,2817
Davis,2015,Applicants,All,100.00%,64602
Davis,2014,Applicants,International,15.55%,9413
Davis,2014,Applicants,Unknown,2.60%,1575
Davis,2014,Applicants,White,23.22%,14061
Davis,2014,Applicants,Asian,33.25%,20130
Davis,2014,Applicants,Chicano/Latino,20.54%,12438
Davis,2014,Applicants,American Indian,0.62%,376
Davis,2014,Applicants,African American,4.21%,2550
Davis,2014,Applicants,All,100.00%,60543
Davis,2013,Applicants,International,11.99%,6699
Davis,2013,Applicants,Unknown,2.92%,1630
Davis,2013,Applicants,White,25.03%,13989
Davis,2013,Applicants,Asian,34.50%,19281
Davis,2013,Applicants,Chicano/Latino,20.63%,11529
Davis,2013,Applicants,American Indian,0.57%,317
Davis,2013,Applicants,African American,4.38%,2449
Davis,2013,Applicants,All,100.00%,55894
Davis,2012,Applicants,International,8.31%,4138
Davis,2012,Applicants,Unknown,2.64%,1317
Davis,2012,Applicants,White,26.58%,13242
Davis,2012,Applicants,Asian,36.75%,18310
Davis,2012,Applicants,Chicano/Latino,20.51%,10216
Davis,2012,Applicants,American Indian,0.64%,319
Davis,2012,Applicants,African American,4.57%,2278
Davis,2012,Applicants,All,100.00%,49820
Davis,2011,Applicants,International,4.47%,2066
Davis,2011,Applicants,Unknown,2.43%,1125
Davis,2011,Applicants,White,30.31%,14010
Davis,2011,Applicants,Asian,37.47%,17317
Davis,2011,Applicants,Chicano/Latino,20.26%,9363
Davis,2011,Applicants,American Indian,0.66%,303
Davis,2011,Applicants,African American,4.39%,2031
Davis,2011,Applicants,All,100.00%,46215
Davis,2010,Applicants,International,3.77%,1634
Davis,2010,Applicants,Unknown,5.44%,2356
Davis,2010,Applicants,White,31.24%,13533
Davis,2010,Applicants,Asian,36.41%,15772
Davis,2010,Applicants,Chicano/Latino,17.88%,7746
Davis,2010,Applicants,American Indian,0.82%,355
Davis,2010,Applicants,African American,4.43%,1917
Davis,2010,Applicants,All,100.00%,43313
Davis,2019,Admits,International,22.69%,6888
Davis,2019,Admits,Unknown,2.77%,842
Davis,2019,Admits,White,20.51%,6225
Davis,2019,Admits,Asian,32.01%,9717
Davis,2019,Admits,Chicano/Latino,18.46%,5604
Davis,2019,Admits,American Indian,0.40%,120
Davis,2019,Admits,African American,3.17%,962
Davis,2019,Admits,All,100.00%,30358
Davis,2018,Admits,International,26.98%,8646
Davis,2018,Admits,Unknown,3.01%,966
Davis,2018,Admits,White,19.77%,6335
Davis,2018,Admits,Asian,29.26%,9378
Davis,2018,Admits,Chicano/Latino,17.52%,5616
Davis,2018,Admits,American Indian,0.42%,134
Davis,2018,Admits,African American,3.03%,971
Davis,2018,Admits,All,100.00%,32046
Davis,2017,Admits,International,26.97%,8295
Davis,2017,Admits,Unknown,2.81%,863
Davis,2017,Admits,White,20.86%,6417
Davis,2017,Admits,Asian,28.98%,8915
Davis,2017,Admits,Chicano/Latino,17.01%,5234
Davis,2017,Admits,American Indian,0.46%,143
Davis,2017,Admits,African American,2.91%,895
Davis,2017,Admits,All,100.00%,30762
Davis,2016,Admits,International,23.05%,6680
Davis,2016,Admits,Unknown,3.14%,911
Davis,2016,Admits,White,22.94%,6647
Davis,2016,Admits,Asian,30.53%,8847
Davis,2016,Admits,Chicano/Latino,16.91%,4902
Davis,2016,Admits,American Indian,0.46%,133
Davis,2016,Admits,African American,2.97%,861
Davis,2016,Admits,All,100.00%,28981
Davis,2015,Admits,International,23.11%,5666
Davis,2015,Admits,Unknown,3.12%,764
Davis,2015,Admits,White,22.97%,5632
Davis,2015,Admits,Asian,32.07%,7864
Davis,2015,Admits,Chicano/Latino,15.55%,3812
Davis,2015,Admits,American Indian,0.50%,123
Davis,2015,Admits,African American,2.68%,657
Davis,2015,Admits,All,100.00%,24518
Davis,2014,Admits,International,17.23%,4210
Davis,2014,Admits,Unknown,3.17%,774
Davis,2014,Admits,White,25.35%,6196
Davis,2014,Admits,Asian,34.92%,8534
Davis,2014,Admits,Chicano/Latino,16.25%,3972
Davis,2014,Admits,American Indian,0.61%,150
Davis,2014,Admits,African American,2.47%,604
Davis,2014,Admits,All,100.00%,24440
Davis,2013,Admits,International,13.84%,3193
Davis,2013,Admits,Unknown,3.51%,809
Davis,2013,Admits,White,28.26%,6518
Davis,2013,Admits,Asian,35.88%,8275
Davis,2013,Admits,Chicano/Latino,15.41%,3555
Davis,2013,Admits,American Indian,0.55%,128
Davis,2013,Admits,African American,2.54%,587
Davis,2013,Admits,All,100.00%,23065
Davis,2012,Admits,International,9.53%,2146
Davis,2012,Admits,Unknown,3.15%,709
Davis,2012,Admits,White,29.81%,6715
Davis,2012,Admits,Asian,38.88%,8757
Davis,2012,Admits,Chicano/Latino,15.51%,3493
Davis,2012,Admits,American Indian,0.54%,122
Davis,2012,Admits,African American,2.59%,584
Davis,2012,Admits,All,100.00%,22526
Davis,2011,Admits,International,6.62%,1477
Davis,2011,Admits,Unknown,2.66%,593
Davis,2011,Admits,White,30.50%,6803
Davis,2011,Admits,Asian,39.38%,8782
Davis,2011,Admits,Chicano/Latino,17.35%,3869
Davis,2011,Admits,American Indian,0.64%,143
Davis,2011,Admits,African American,2.85%,636
Davis,2011,Admits,All,100.00%,22303
Davis,2010,Admits,International,3.82%,765
Davis,2010,Admits,Unknown,5.92%,1186
Davis,2010,Admits,White,32.12%,6437
Davis,2010,Admits,Asian,38.02%,7621
Davis,2010,Admits,Chicano/Latino,16.45%,3298
Davis,2010,Admits,American Indian,0.86%,173
Davis,2010,Admits,African American,2.81%,563
Davis,2010,Admits,All,100.00%,20043
Davis,2019,Enrollees,International,13.08%,779
Davis,2019,Enrollees,Unknown,2.13%,127
Davis,2019,Enrollees,White,20.65%,1230
Davis,2019,Enrollees,Asian,35.67%,2125
Davis,2019,Enrollees,Chicano/Latino,24.59%,1465
Davis,2019,Enrollees,American Indian,0.37%,22
Davis,2019,Enrollees,African American,3.51%,209
Davis,2019,Enrollees,All,100.00%,5957
Davis,2018,Enrollees,International,19.24%,1230
Davis,2018,Enrollees,Unknown,2.17%,139
Davis,2018,Enrollees,White,19.26%,1231
Davis,2018,Enrollees,Asian,31.21%,1995
Davis,2018,Enrollees,Chicano/Latino,24.23%,1549
Davis,2018,Enrollees,American Indian,0.44%,28
Davis,2018,Enrollees,African American,3.46%,221
Davis,2018,Enrollees,All,100.00%,6393
Davis,2017,Enrollees,International,22.03%,1293
Davis,2017,Enrollees,Unknown,2.01%,118
Davis,2017,Enrollees,White,19.90%,1168
Davis,2017,Enrollees,Asian,28.29%,1660
Davis,2017,Enrollees,Chicano/Latino,24.11%,1415
Davis,2017,Enrollees,American Indian,0.41%,24
Davis,2017,Enrollees,African American,3.24%,190
Davis,2017,Enrollees,All,100.00%,5868
Davis,2016,Enrollees,International,15.10%,870
Davis,2016,Enrollees,Unknown,2.40%,138
Davis,2016,Enrollees,White,23.50%,1354
Davis,2016,Enrollees,Asian,31.38%,1808
Davis,2016,Enrollees,Chicano/Latino,24.18%,1393
Davis,2016,Enrollees,American Indian,0.40%,23
Davis,2016,Enrollees,African American,3.05%,176
Davis,2016,Enrollees,All,100.00%,5762
Davis,2015,Enrollees,International,17.73%,952
Davis,2015,Enrollees,Unknown,2.61%,140
Davis,2015,Enrollees,White,22.95%,1232
Davis,2015,Enrollees,Asian,32.15%,1726
Davis,2015,Enrollees,Chicano/Latino,20.86%,1120
Davis,2015,Enrollees,American Indian,0.54%,29
Davis,2015,Enrollees,African American,3.17%,170
Davis,2015,Enrollees,All,100.00%,5369
Davis,2014,Enrollees,International,11.10%,597
Davis,2014,Enrollees,Unknown,2.68%,144
Davis,2014,Enrollees,White,24.62%,1324
Davis,2014,Enrollees,Asian,36.53%,1964
Davis,2014,Enrollees,Chicano/Latino,21.44%,1153
Davis,2014,Enrollees,American Indian,0.74%,40
Davis,2014,Enrollees,African American,2.88%,155
Davis,2014,Enrollees,All,100.00%,5377
Davis,2013,Enrollees,International,9.84%,503
Davis,2013,Enrollees,Unknown,2.93%,150
Davis,2013,Enrollees,White,27.58%,1410
Davis,2013,Enrollees,Asian,37.30%,1907
Davis,2013,Enrollees,Chicano/Latino,18.76%,959
Davis,2013,Enrollees,American Indian,0.70%,36
Davis,2013,Enrollees,African American,2.89%,148
Davis,2013,Enrollees,All,100.00%,5113
Davis,2012,Enrollees,International,5.40%,281
Davis,2012,Enrollees,Unknown,2.59%,135
Davis,2012,Enrollees,White,29.38%,1530
Davis,2012,Enrollees,Asian,41.53%,2163
Davis,2012,Enrollees,Chicano/Latino,17.40%,906
Davis,2012,Enrollees,American Indian,0.65%,34
Davis,2012,Enrollees,African American,3.05%,159
Davis,2012,Enrollees,All,100.00%,5208
Davis,2011,Enrollees,International,3.93%,185
Davis,2011,Enrollees,Unknown,1.89%,89
Davis,2011,Enrollees,White,28.31%,1332
Davis,2011,Enrollees,Asian,44.19%,2079
Davis,2011,Enrollees,Chicano/Latino,18.19%,856
Davis,2011,Enrollees,American Indian,0.72%,34
Davis,2011,Enrollees,African American,2.76%,130
Davis,2011,Enrollees,All,100.00%,4705
Davis,2010,Enrollees,International,1.42%,64
Davis,2010,Enrollees,Unknown,5.00%,225
Davis,2010,Enrollees,White,30.13%,1356
Davis,2010,Enrollees,Asian,41.06%,1848
Davis,2010,Enrollees,Chicano/Latino,18.24%,821
Davis,2010,Enrollees,American Indian,1.00%,45
Davis,2010,Enrollees,African American,3.15%,142
Davis,2010,Enrollees,All,100.00%,4501
Berkeley,2019,Applicants,International,19.49%,17035
Berkeley,2019,Applicants,Unknown,3.04%,2655
Berkeley,2019,Applicants,White,20.61%,18013
Berkeley,2019,Applicants,Asian,33.31%,29116
Berkeley,2019,Applicants,Chicano/Latino,18.17%,15877
Berkeley,2019,Applicants,American Indian,0.39%,338
Berkeley,2019,Applicants,African American,4.99%,4364
Berkeley,2019,Applicants,All,100.00%,87398
Berkeley,2018,Applicants,International,19.04%,17064
Berkeley,2018,Applicants,Unknown,3.40%,3046
Berkeley,2018,Applicants,White,21.10%,18911
Berkeley,2018,Applicants,Asian,32.55%,29170
Berkeley,2018,Applicants,Chicano/Latino,18.18%,16293
Berkeley,2018,Applicants,American Indian,0.43%,382
Berkeley,2018,Applicants,African American,5.29%,4743
Berkeley,2018,Applicants,All,100.00%,89609
Berkeley,2017,Applicants,International,18.15%,15434
Berkeley,2017,Applicants,Unknown,3.11%,2643
Berkeley,2017,Applicants,White,23.58%,20053
Berkeley,2017,Applicants,Asian,30.77%,26166
Berkeley,2017,Applicants,Chicano/Latino,18.68%,15883
Berkeley,2017,Applicants,American Indian,0.50%,427
Berkeley,2017,Applicants,African American,5.22%,4439
Berkeley,2017,Applicants,All,100.00%,85045
Berkeley,2016,Applicants,International,18.94%,15633
Berkeley,2016,Applicants,Unknown,3.30%,2728
Berkeley,2016,Applicants,White,24.11%,19905
Berkeley,2016,Applicants,Asian,30.19%,24928
Berkeley,2016,Applicants,Chicano/Latino,17.83%,14724
