order,family,Genus,species,mass,gestation,newborn,weaning,wean mass,AFR,max. life,litter size,litters/year
Artiodactyla,Antilocapridae,Antilocapra,americana,45375,8.13,3246.36,3,8900,13.53,142,1.85,1
Artiodactyla,Bovidae,Addax,nasomaculatus,182375,9.39,5480,6.5,-999,27.27,308,1,0.99
Artiodactyla,Bovidae,Aepyceros,melampus,41480,6.35,5093,5.63,15900,16.66,213,1,0.95
Artiodactyla,Bovidae,Alcelaphus,buselaphus,150000,7.9,10166.67,6.5,-999,23.02,240,1,
Artiodactyla,Bovidae,Ammodorcas,clarkei,28500,6.8,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Ammotragus,lervia,55500,5.08,3810,4,-999,14.89,251,1.37,2
Artiodactyla,Bovidae,Antidorcas,marsupialis,30000,5.72,3910,4.04,-999,10.23,228,1,
Artiodactyla,Bovidae,Antilope,cervicapra,37500,5.5,3846,2.13,-999,20.13,255,1,1.89
Artiodactyla,Bovidae,Bison,bison,497666.67,8.93,20000,10.71,157500,29.45,300,1,1
Artiodactyla,Bovidae,Bison,bonasus,500000,9.14,23000.08,6.6,-999,29.99,324,1,1
Artiodactyla,Bovidae,Bos,grunniens,333000,8.88,18000,7.33,-999,24.27,300,1,0.75
Artiodactyla,Bovidae,Bos,frontalis,800000,9.02,23033.33,4.5,-999,24.16,314,1.17,0.89
Artiodactyla,Bovidae,Bos,javanicus,666666.67,9.83,not measured,9.5,-999,25.54,319,1.33,1
Artiodactyla,Bovidae,Boselaphus,tragocamelus,169000,8.51,5875,-999,-999,29.97,260,1.51,1.13
Artiodactyla,Bovidae,Bubalus,depressicornis,-999,10,not measured,-999,-999,-999,433,1,
Artiodactyla,Bovidae,Bubalus,mindorensis,233333.33,9.85,not measured,-999,-999,-999,300,1,0.5
Artiodactyla,Bovidae,Bubalus,bubalis,950000,10.47,37500,7.5,-999,19.88,348,1.33,0.5
Artiodactyla,Bovidae,Budorcas,taxicolor,302000,8.29,6000,-999,-999,30,235,1.17,1
Artiodactyla,Bovidae,Capra,caucasica,55000,5.17,3850,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Capra,falconeri,41000,5.36,not measured,5.5,-999,24.5,144,2,
Artiodactyla,Bovidae,Capra,ibex,71500,5.6,2791.43,7.5,-999,29.24,0,1.25,0.75
Artiodactyla,Bovidae,Capra,cylindricornis,50000,5.29,3787.5,6,-999,33.5,264,1.1,1
Artiodactyla,Bovidae,Capra,hircus,60000,5.22,2200,5,-999,16,249,1.61,1
Artiodactyla,Bovidae,Cephalophus,niger,18100,4.2,not measured,-999,-999,-999,0,-999,
