"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038521,"Telemidae","Usofila","USA","California","Alameda","Berkeley","2/3/1958","LM Smith"
9038522,"Telemidae","Usofila","USA","California","Alameda","Castro Valley","24/3/1941","WM Pearce"
9038523,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn. on Palomares Rd.","2/1/1964","V Roth"
9038524,"Telemidae","Usofila","USA","California","Alameda","Oakland","18/2/1953","WG Bentinck"
9038525,"Telemidae","Usofila","USA","California","Alameda","Oakland","25/1/1953","R Schuster"
9038526,"Telemidae","Usofila","USA","California","Alameda","Oakland","18/2/1953","WC Bentinck"
9038527,"Telemidae","Usofila","USA","California","Alameda","Oakland","10/12/1953","J Helfer"
90386281,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park","17/10/1953","Roth, Schuster"
9038529,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park","17/10/1953","Roth, Schuster"
90387441,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Claremont Hotel","17/2/1962","PR Craig, DL Dailey"
9038779,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Woolsey Canyon, at end of LeConte St","21/12/1983","TS Briggs, VF Lee, D Ubick"
9038780,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn.","1/1/1964","V Roth"
9038530,"Telemidae","Usofila","USA","California","Amador","Connie's Cave, 0.5 mi NW Volcano","25/3/1995","D Ubick"
9038531,"Telemidae","Usofila","USA","California","Amador","Lulu Bell Cave, nr Volcano","17/10/1987","D Ubick"
9038532,"Telemidae","Usofila","USA","California","Amador","Moss Cave, nr. Volcano","17/10/1987","D Ubick"
9038533,"Telemidae","Usofila","USA","California","Amador","Pardee Res., Chrome Cave","24/1/1981","D Ubick"
9038534,"Telemidae","Usofila","USA","California","Amador","Pardee Res., Chrome Cave","21/9/1980","TS Briggs, D Ubick"
9038535,"Telemidae","Usofila","USA","California","Amador","Pearl Cave, 0.2 mi. NE Volcano","13/9/1980","TS Briggs, D Ubick"
9038536,"Telemidae","Usofila","USA","California","Amador","Sutter Creek Cave, WSI #C-61, 3 mi w Volcano","15/7/1995","D Ubick, T Briggs, W Rauscher"
9038537,"Telemidae","Usofila","USA","California","Amador","Connie's Cave, 0.5 mi N Volcano","15/4/1979","Rudolph, Winterath, VanIngen, Dowan"
9038509,"Telemidae","Usofila","USA","California","Butte","Dry Creek Rd, 14 mi N Oroville","2/3/1956","RO Schuster"
9038679,"Telemidae","Usofila","USA","California","Calaveras","Porcupine Cave, 3 mi N of Columbia","28/2/1979","DC Rudolph, S Winterath, B Martin"
9038725,"Telemidae","Usofila","USA","California","Calaveras","Fox Gulch, Lower von Trump Mine","23/9/1975","T Briggs, R Lem"
9038726,"Telemidae","Usofila","USA","California","Calaveras","Buckeye Cave, WSI #C-6, Murphys, twilight zone","11/6/1994","D Ubick"
9038727,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave","22/12/1990","Dave Cowan"
9038728,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139","1/9/1961","RE Graham"
9038730,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave","24/8/1991","T Briggs, D Cowan, G Malliet, D Ubick"
9038732,"Telemidae","Usofila","USA","California","Calaveras","Music Hall Cave, WSI #C-2, 4.5 mi ESE Angels Camp","14/5/1977","AG Grubbs, S Winterath, M McEachern, N Boice"
9038733,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215","11/8/1962","RE Graham"
9038734,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","21/8/1963","R Graham"
9038735,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Bat Cavern, Carlos', 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs, D Broussard, S Winterath"
9038736,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038737,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","31/3/1961","RE Graham"
9038738,"Telemidae","Usofila","USA","California","Calaveras","Carlito's Cave, 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs"
9038739,"Telemidae","Usofila","USA","California","Calaveras","Dirty Fissure 4 mi ESE Angels Camp","25/5/1977","AG Grubbs"
9038740,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","M Ivie"
9038741,"Telemidae","Usofila","USA","California","Calaveras","Mercers Cave","13/8/1962","RE Graham"
9038742,"Telemidae","Usofila","USA","California","Calaveras","Eagle View Cave #2, 2/1/2 mi NW Columbia","29/3/1979","DC Rudolph"
9038743,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","15/8/1962","RE Graham"
9038744,"Telemidae","Usofila","USA","California","Calaveras","Striped Cave, 4.5 mi SE Angels Camp","25/5/1977","AG Grubbs, O Broussard, S Winterath"
9038745,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","31/8/1961","RE Graham"
9038747,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave","22/13/1963","R Graham"
9038749,"Telemidae","Usofila","USA","California","Calaveras","Williams Cave","19/8/1963","R Graham"
