"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038586,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Dunlap Camp 400'","7/9/1992","D Ubick, J Boutin"
9038587,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Dunlap Camp 400'","25/7/1993","D Ubick"
9038588,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Big River, 0.5 mi E Big R. Camp","15/9/1990","D Ubick"
9038589,"Telemidae","Usofila","USA","California","Mendocino","Spyrock Road, 9.2 mi NE Hwy 101 (2100')","21/9/1990","D Ubick"
9038590,"Telemidae","Usofila","USA","California","Mendocino","Tranquility, Caspar, 1.5 mi S","18/9/1990","D Ubick"
9038591,"Telemidae","Usofila","USA","California","Mendocino","Caspar, 1.5 mi S, Tranquility","04/5/1991","D Ubick"
9038592,"Telemidae","Usofila","USA","California","Mendocino","Covington Gulch at logging road, 2.5 mi E Hwy 1","20/7/1990","D Ubick"
9038593,"Telemidae","Usofila","USA","California","Mendocino","Fort Bragg","5/1/1957","JR Helfer"
9038594,"Telemidae","Usofila","USA","California","Mendocino","Littleriver","3/5/1955","JR Helfer"
9038595,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","3/3/1957","JR Helfer"
9038596,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","15/11/1957","JR Helfer"
9038597,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","12/2/1955","J Helfer"
9038598,"Telemidae","Usofila","USA","California","Mendocino","Little River","3/8/1957","GA Marsh, JR Helfer"
9038599,"Telemidae","Usofila","USA","California","Mendocino","McKerricher Beach St. Pk., Cleone","17/3/1958","JR Helfer"
9038600,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","15/3/1958","JR Helfer"
9038778,"Telemidae","Usofila","USA","California","Mendocino","Noyo R. 14.5 air mi E Ft. Bragg","26/5/1996","CE Griswold"
