"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038915,"Telemidae","Usofila","USA","California","Tulare","Sequoia Nat'l Park, Clough Cave","22/6/2000","JM Ledford, J Despaine"
9038647,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, Ladder Room, Sequoia N. P.","5/4/1990","Tyson, Brigman, Jeffery"
9038648,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, Sequoia N.P.","5/4/1990","Tyson, Brigman, Jeffery"
9038649,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, 15 mi SE Three Rivers","18/4/1979","Rudolph, vanIngen"
9038650,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, 15 mi SE Three Rivers","18/4/1979","Rudolph, vanIngen"
9038651,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","27/7/1991","D Ubick"
9038652,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave (nr. Ash Mountain)","26/7/1991","D Ubick"
9038654,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave","28/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin, W. Savary"
9038656,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","27/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin"
9038657,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","04/5/2004","J Krejca, S Fryer, J Snow, P Sprouse"
9038658,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","27/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin"
9038659,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","19/11/2003","J Krejca, V Loftin"
9038660,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","27/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin"
9038661,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","27/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin"
9038662,"Telemidae","Usofila","USA","California","Tulare","Clough Cave","19/11/2003","J Krejca, V Loftin"
9038663,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave","28/4/2004","J Krejca, P Sprouse, S Fryer, D Ubick, P. Paquin, W. Savary"
9039487,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave","13/8/2003","J. Krejca, S. Taylor"
9039488,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave","17/11/2003","J. Krejca, V. Loftin"
9039489,"Telemidae","Usofila","USA","California","Tulare","Kaweah Cave","13/8/2003","J. Krejca, S. Taylor"
