"pop","year","age.cat","sex","color","lat","long","habitat","human","pop.density","pack.size","standard.habitat","standard.human","standard.pop","standard.packsize","standard.latitude","standard.longitude","cav.binary","cdv.binary","cpv.binary","chv.binary","neo.binary","toxo.binary"
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2006,"S","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,1,1,0,1
"AK.PEN",2006,"A","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,1,1,NA,NA
"AK.PEN",2006,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,1,1
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,0,1,0
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2006,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,1,0
"AK.PEN",2006,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2006,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2006,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,1,1
"AK.PEN",2006,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,NA,NA
"AK.PEN",2006,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,0,1
"AK.PEN",2007,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,NA,NA
"AK.PEN",2007,"A","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2007,"A","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2007,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,1,1,0,0
"AK.PEN",2007,"S","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,1,1,1,1
"AK.PEN",2007,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2007,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2007,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2007,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,1,1,0,1
"AK.PEN",2007,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,1,0
"AK.PEN",2007,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,1,1
"AK.PEN",2007,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2007,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,1,1
"AK.PEN",2007,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2008,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"A","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2008,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,0,NA,NA
"AK.PEN",2008,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,0,NA,NA
"AK.PEN",2008,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2008,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2009,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2009,"P","F","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,0,1,NA,NA
"AK.PEN",2009,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,1,1,NA,NA
"AK.PEN",2009,"A","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2009,"S","F","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,1,1,NA,NA
"AK.PEN",2009,"S","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2009,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,NA,NA
"AK.PEN",2009,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,0,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,0,NA,NA
"AK.PEN",2009,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2009,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2009,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,1,1,0,1
"AK.PEN",2009,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,0,1,NA,NA
"AK.PEN",2009,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,0,1,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2009,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,NA,NA
"AK.PEN",2009,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2009,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,NA,NA
"AK.PEN",2010,NA,"F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,0,1
"AK.PEN",2010,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
