"","date","collar","time","lat","long"
"1","2016-02-26","G7",2016-02-26 00:00:00,28.28880605745,-36.5399827786306
"2","2016-02-26","G7",2016-02-26 01:00:00,28.8731334117199,-36.2136258670661
"3","2016-02-26","G7",2016-02-26 02:00:00,28.9281066801869,-37.7031649295538
"4","2016-02-26","G7",2016-02-26 03:00:00,29.3728673969448,-37.3960971784753
"5","2016-02-26","G7",2016-02-26 04:00:00,31.5551933555783,-37.0054134169474
"6","2016-02-26","G7",2016-02-26 05:00:00,31.0014796664757,-36.4054328006739
"7","2016-02-26","G7",2016-02-26 06:00:00,31.2415200115847,-37.2092526658994
"8","2016-02-26","G7",2016-02-26 07:00:00,31.130207350297,-39.2065570472411
"9","2016-02-26","G7",2016-02-26 08:00:00,30.8125779491614,-39.1664800115102
"10","2016-02-26","G7",2016-02-26 09:00:00,29.5545749717403,-38.6509041992594
"11","2016-02-26","G7",2016-02-26 10:00:00,29.6445510729628,-40.0713217970052
"12","2016-02-26","G7",2016-02-26 11:00:00,28.0373519676492,-40.2636631941332
"13","2016-02-26","G7",2016-02-26 12:00:00,27.8325375934841,-41.9821026253715
"14","2016-02-26","G7",2016-02-26 13:00:00,27.6712010825317,-40.5445288756419
"15","2016-02-26","G7",2016-02-26 14:00:00,29.6486585415047,-41.6223478071633
"16","2016-02-26","G7",2016-02-26 15:00:00,31.6327175081197,-42.7997930884427
"17","2016-02-26","G7",2016-02-26 16:00:00,31.3183005457368,-41.8933148988571
"18","2016-02-26","G7",2016-02-26 17:00:00,30.2091060328621,-41.4496891216808
"19","2016-02-26","G7",2016-02-26 18:00:00,28.9702880028199,-42.479058726899
"20","2016-02-26","G7",2016-02-26 19:00:00,28.6990181681305,-42.0407251267185
"21","2016-02-26","G7",2016-02-26 20:00:00,29.0623123263708,-44.0235648571044
"22","2016-02-26","G7",2016-02-26 21:00:00,31.2247394751232,-44.059994455999
"23","2016-02-26","G7",2016-02-26 22:00:00,29.3897720492318,-44.8608749058536
"24","2016-02-26","G7",2016-02-26 23:00:00,29.2953336558026,-45.1707642401723
