Species,Order,Bodymass,Longevity,Gestationength
Erethizon dorsatum,Rodentia,7419.46,18,210.99
Coendou prehensilis,Rodentia,4116.2,27,203
Dinomys branickii,Rodentia,12500,13,253
Lagidium peruanum,Rodentia,1220,19.5,140
Lagidium viscacia,Rodentia,1539.99,19.5,134
Chinchilla chinchilla,Rodentia,499.99,17.5,111
Chinchilla lanigera,Rodentia,480.28,10,111
Lagostomus maximus,Rodentia,4660.94,9.4,154
Octodontomys gliroides,Rodentia,155.77,7.33,104
Spalacopus cyanus,Rodentia,100.86,6,80
Octodon degus,Rodentia,203.27,8,90
Ctenomys talarum,Rodentia,140.84,1.75,102
Hoplomys gymnurus,Rodentia,281.42,7,60
Myocastor coypus,Rodentia,6361.55,6,131
Plagiodontia aedium,Rodentia,1268.86,9.92,119
Geocapromys ingrahami,Rodentia,733.52,6,117
Geocapromys brownii,Rodentia,1497.48,8.3,123
Capromys pilorides,Rodentia,5200,11.3,125
Cuniculus paca,Rodentia,8172.55,12.5,116
Cuniculus taczanowskii,Rodentia,8999.95,12.5,130
Myoprocta acouchy,Rodentia,954.87,10,99
Dasyprocta fuliginosa,Rodentia,3500.02,18,120
Dasyprocta leporina,Rodentia,3009.99,17.8,112
Dasyprocta punctata,Rodentia,2309.12,10,112
Dolichotis patagonum,Rodentia,8000,14,85
Kerodon rupestris,Rodentia,799.15,11,75
Hydrochoerus hydrochaeris,Rodentia,49144.91,12,150
Microcavia australis,Rodentia,261.49,8,54.91
Cavia aperea,Rodentia,524.38,10,63
Cavia porcellus,Rodentia,727.99,14,68
Galea musteloides,Rodentia,386.64,3.3,54
Galea spixii,Rodentia,360.61,4.5,53
Thryonomys swinderianus,Rodentia,3750.85,4.3,155
Heterocephalus glaber,Rodentia,39.36,31,70
Georychus capensis,Rodentia,188.36,3,44
Cryptomys hottentotus,Rodentia,75.13,11,81
Atherurus macrourus,Rodentia,2000,20,110
Hystrix brachyura,Rodentia,8000,27,112
Hystrix indica,Rodentia,14298.6,27.1,113
Hystrix africaeaustralis,Rodentia,14936.02,15,94
Hystrix cristata,Rodentia,13406.27,28,66
Atherurus africanus,Rodentia,2875.65,22.9,106
Ctenodactylus gundi,Rodentia,288.41,5.8,74
Glirulus japonicus,Rodentia,62.99,6,30
Glis glis,Rodentia,128.09,8.7,25
Muscardinus avellanarius,Rodentia,29.19,6,23
Dryomys nitedula,Rodentia,29.5,5.5,28
Eliomys quercinus,Rodentia,114.61,5.5,23
Graphiurus murinus,Rodentia,20.07,5.9,24
Aplodontia rufa,Rodentia,806.21,6,29
Glaucomys sabrinus,Rodentia,137.53,13,40
Glaucomys volans,Rodentia,71.9,19,40
Petaurista leucogenys,Rodentia,1150,19.2,74
Petaurista petaurista,Rodentia,1533.84,16,45
Pteromys volans,Rodentia,143.09,3.8,30
Trogopterus xanthipes,Rodentia,744.94,12,80
Tamiasciurus hudsonicus,Rodentia,200.24,9,37
Sciurus griseus,Rodentia,703.85,10,44
Sciurus aberti,Rodentia,622.95,7,43
Sciurus granatensis,Rodentia,318.44,11.5,60
Sciurus variegatoides,Rodentia,485,23,46
Sciurus carolinensis,Rodentia,545.4,23.5,44
Sciurus niger,Rodentia,761.9,18,44
Sciurus vulgaris,Rodentia,333,12,38
Tamias sibiricus,Rodentia,94.16,10,35
Tamias minimus,Rodentia,42.87,10,30
Tamias merriami,Rodentia,74.77,5,33.37
Tamias amoenus,Rodentia,50.63,5,30
Tamias townsendii,Rodentia,79.12,7,28
Tamias dorsalis,Rodentia,63.66,12.6,30
Tamias palmeri,Rodentia,60.74,4,33.21
Tamias ruficaudus,Rodentia,60.06,8,31
Tamias striatus,Rodentia,111.91,8,31
Marmota caudata,Rodentia,4350,15,30.74
Marmota bobak,Rodentia,5500,15,40
Marmota flaviventris,Rodentia,3709.73,15,30
Marmota vancouverensis,Rodentia,5232.43,12.1,30
Marmota caligata,Rodentia,2253.71,12.1,29
Marmota broweri,Rodentia,3405,15,42
Marmota marmota,Rodentia,4059.15,18,35
Marmota monax,Rodentia,3880.93,10,32
Spermophilus citellus,Rodentia,395.97,6.7,27
Cynomys ludovicianus,Rodentia,797.05,8.5,30
Ammospermophilus harrisii,Rodentia,126.57,11,30
Ammospermophilus leucurus,Rodentia,103.92,5.8,29
Xerus erythropus,Rodentia,602.23,6,71
Xerus inauris,Rodentia,572.6,11.5,45
Callosciurus prevostii,Rodentia,400,21.1,48
Geomys pinetis,Rodentia,201.15,2,50
Geomys bursarius,Rodentia,203.75,7.2,51
Orthogeomys cavator,Rodentia,650,6,20
Pappogeomys bulleri,Rodentia,150,5,20
Thomomys talpoides,Rodentia,104.64,6,28
Thomomys bottae,Rodentia,122.7,4.8,19
Chaetodipus fallax,Rodentia,19.19,6,25
Chaetodipus nelsoni,Rodentia,15.53,2.5,30
Chaetodipus formosus,Rodentia,20.02,5,28
Perognathus fasciatus,Rodentia,11.29,1.17,29.8
Perognathus flavus,Rodentia,7.97,5,26
Perognathus flavescens,Rodentia,9.21,2,26
Perognathus amplus,Rodentia,11.97,10,28
Perognathus longimembris,Rodentia,8.07,8.33,22
Perognathus parvus,Rodentia,21.56,5.8,24
Dipodomys merriami,Rodentia,37.91,9.7,28
Dipodomys ordii,Rodentia,50.4,9.8,29
Dipodomys heermanni,Rodentia,63.08,8.3,31
Dipodomys deserti,Rodentia,107.63,8,30
Dipodomys spectabilis,Rodentia,124.61,12.7,23
Castor fiber,Rodentia,19000,13.7,105
Castor canadensis,Rodentia,18124.41,20,128
Pedetes capensis,Rodentia,2549.25,13,80
Sicista betulina,Rodentia,8.92,3.33,31
Jaculus orientalis,Rodentia,138.26,6,35
Jaculus jaculus,Rodentia,59.8,6.4,38
Allactodipus bobrinskii,Rodentia,65.3,3,35
Allactaga elater,Rodentia,59,5.2,30
Napaeozapus insignis,Rodentia,22.25,4,29
Zapus princeps,Rodentia,27.2,6,19
Zapus hudsonius,Rodentia,18.43,5,19
Calomyscus bailwardi,Rodentia,21.38,9.75,35
Hypogeomys antimena,Rodentia,1175.93,12.6,120
Mystromys albicaudatus,Rodentia,86.85,6,38
Cricetomys gambianus,Rodentia,1267.52,7,34
Saccostomus campestris,Rodentia,50.33,2.8,21
Dendromus melanotis,Rodentia,9.1,4.2,25
Acomys russatus,Rodentia,42.35,5,34
Acomys cahirinus,Rodentia,41.16,4,38
Pachyuromys duprasi,Rodentia,47.5,7,20
Psammomys obesus,Rodentia,102.15,3.5,24
Meriones crassus,Rodentia,69.94,5.58,22
Meriones libycus,Rodentia,91.33,5.2,26
Meriones unguiculatus,Rodentia,57.75,2,25
Rhombomys opimus,Rodentia,144,4,28
Sekeetamys calurus,Rodentia,56.61,5,24
Gerbillus pyramidum,Rodentia,42.8,8,21
