Compound	Compound.Original.ID	m.z	RT..min.	High.Confidence.Annotation	HMDB	KEGG
1-methylhistamine	9196	126.1026	9.72	TRUE	HMDB0000898	C05127
1-methylnicotinamide	TF19	137.0709	8.37	TRUE	HMDB0000699	C02918
12-HETE	12241	319.2283	9.77	TRUE	HMDB0006111	C14777
15-HETE	12086	319.2285	9.64	TRUE	HMDB0003876	C04742
2-deoxyadenosine	4760	252.1089	5.32	TRUE	HMDB0000101	C00559
2-deoxycytidine	TF18	228.0979	6.1	TRUE	NA	NA
2-hydroxyglutarate	12325	147.028584593016	7.01	TRUE	HMDB0059655	C02630
3-hydroxyanthranilic acid	1319	154.0497	1.9	TRUE	HMDB0001476	C00632
3-methyladipate/pimelate	12148	159.064999087762	6.9	FALSE	NA	NA
4-hydroxybenzaldehyde	3389	121.028103287018	2.49	TRUE	HMDB0011718	C00633
4-pyridoxate	6990	182.044785817588	3.73	TRUE	HMDB0000017	C00847
5-HETE	12568	319.2284	10.06	TRUE	HMDB0011134	C04805
5-HIAA	1725	192.0654	2.04	TRUE	HMDB0000763	C05635
5-hydroxytryptophan	TF8	221.0921	6.74	TRUE	HMDB0000472	C00643
8.11.14-Eicosatrienoic acid	15227	305.2493	12.35	TRUE	HMDB0002925	C03242
9-HETE	12381	319.2284	9.89	TRUE	HMDB0010222	NA
acetylcholine	TF14	146.1176	9.02	TRUE	HMDB0000895	C01996
aconitate	13958	173.00759264246	9.4	TRUE	HMDB0000072	C00417
adenosine	4624	268.1037	5.12	TRUE	HMDB0000050	C00212
adipate	12354	145.049384990926	7.03	TRUE	HMDB0000448	C06104
ADMA	TF10	203.1503	9.92	TRUE	HMDB0001539	C03626
Adrenic acid	15537	331.265	12.61	TRUE	HMDB0002226	C16527
alanine	TF2	90.055	7.98	TRUE	NA	C01401
alpha-glycerophosphocholine	9439	258.1095	10.65	TRUE	HMDB0000086	C00670
alpha-hydroxybutyrate	7196	103.038556148228	3.79	TRUE	HMDB0000008	C05984
alpha-ketoglutarate	13001	145.01294476768	7.59	TRUE	HMDB0000208	C00026
aminoisobutyric acid	8144	104.071	8.19	TRUE	NA	NA
anserine	9446	241.1293	10.72	TRUE	HMDB0000194	C01262
anthranilic acid	1424	138.0548	1.93	TRUE	HMDB0001123	C00108
Arachidonic acid	14707	303.2339	11.92	TRUE	HMDB0001043	C00219
arginine	9000	175.1189	9.37	TRUE	HMDB0000517	C00062
asparagine	TF4	133.0608	8.13	TRUE	HMDB0000168	C00152
aspartate	8415	134.0448	8.52	TRUE	HMDB0000191	C00049
beta-alanine	TF22	90.055	8.21	TRUE	HMDB0000056	C00099
beta-hydroxybutyrate	7656	103.038567656301	3.91	TRUE	HMDB0000357	C01089
betaine	8875	118.0865	9.15	TRUE	HMDB0000043	C00719
bilirubin	14591	583.255995667911	14.64	TRUE	HMDB0000054	C00486
butyrobetaine	TF20	146.1176	9.02	TRUE	HMDB0001161	C01181
C10:2 carnitine	TF29	312.2169	7.36	TRUE	NA	NA
C12 carnitine	6642	344.279	7.06	TRUE	HMDB0002250	NA
C12:1 carnitine	TF30	342.2639	7.09	TRUE	NA	NA
C14 carnitine	6482	372.3105	6.92	TRUE	HMDB0005066	NA
C14:1 carnitine	6506	370.2948	6.95	TRUE	NA	NA
C14:2 carnitine	TF31	368.2795	6.55	TRUE	NA	NA
C16-OH carnitine	TF32	416.3371	7.24	TRUE	NA	NA
C16 carnitine	6357	400.3418	6.79	TRUE	HMDB0000222	C02990
C18 carnitine	6250	428.3733	6.69	TRUE	NA	NA
C18:1-OH carnitine	6759	442.3522	7.17	TRUE	NA	NA
C18:1 carnitine	6274	426.3573	6.71	TRUE	NA	NA
C18:2 carnitine	6316	424.3416	6.76	TRUE	HMDB0006469	NA
C2 carnitine	8773	204.1229	8.93	TRUE	HMDB0000201	C02571
C20 carnitine	6141	456.4045	6.59	TRUE	NA	NA
C20:4 carnitine	TF33	448.3421	5.24	TRUE	NA	NA
C22:6 carnitine	6184	472.3421	6.63	TRUE	NA	NA
C24:4 carnitine	TF34	504.4047	7.21	TRUE	NA	NA
C26 carnitine	TF35	540.4986	6.37	TRUE	NA	NA
C3-DC-CH3 carnitine	8745	262.1282	8.89	TRUE	NA	NA
C3 carnitine	TF23	218.1387	8.54	TRUE	NA	NA
C4-OH carnitine	TF24	248.1498	9.08	TRUE	NA	NA
C4 carnitine	8179	232.154	8.24	TRUE	NA	NA
C5-DC carnitine	TF26	276.1442	8.57	TRUE	NA	NA
C5 carnitine	7881	246.1697	7.99	TRUE	NA	NA
C5:1 carnitine	TF25	244.1543	8.04	TRUE	NA	NA
C6 carnitine	TF27	260.1856	7.71	TRUE	HMDB0000756	NA
C7 carnitine	TF28	274.2013	7.57	TRUE	NA	NA
C9 carnitine	6954	302.2317	7.34	TRUE	NA	NA
carnitine	8856	162.1123	9.11	TRUE	HMDB0000062	C00318
carnosine	9087	227.1134	9.52	TRUE	HMDB0000033	C00386
chenodeoxycholate/deoxycholate	7804	391.285342871677	3.95	FALSE	NA	NA
cholate	8362	407.280406271295	4.12	FALSE	HMDB0000619	C00695
Cholic acid	8445	407.2809	6.64	FALSE	HMDB0000619	C00695
choline	8338	105.1136	8.42	TRUE	HMDB0000097	C00114
cis-trans-hydroxyproline	7987	132.0655	8.09	TRUE	NA	NA
citrulline	8443	176.1028	8.55	TRUE	HMDB0000904	C00327
cotinine	4584	177.1019	5.09	TRUE	HMDB0001046	NA
creatine	8407	132.0767	8.52	TRUE	HMDB0000064	C00300
creatinine	6144	114.0664	6.59	TRUE	HMDB0000562	C00791
cystathionine	10483	221.060011057782	5.43	TRUE	HMDB0000099	C02291
cytosine	5779	112.0509	6.3	TRUE	HMDB0000630	C00380
Deoxycholic acid/Chenodeoxycholic acid	11051	391.2861	8.74	FALSE	NA	NA
dimethylglycine	8596	104.071	8.72	TRUE	HMDB0000092	C01026
Docosahexaenoic acid	14499	327.235	11.75	TRUE	HMDB0002183	C06429
Docosapentaenoic acid	14943	329.2492	12.07	TRUE	HMDB0001976	C16513
Eicosapentaenoic acid	14011	301.2178	11.33	TRUE	HMDB0001999	C06428
fructose/glucose/galactose	2917	179.054986269836	2.11	FALSE	NA	NA
fumarate/maleate	12701	115.00229421735	7.27	FALSE	NA	NA
GABA	TF9	104.0706	7.75	TRUE	HMDB0000112	C00334
Gamma-Linolenic acid	14109	277.2177	11.41	TRUE	HMDB0003073	C06426
gentisate	9539	153.01813672622	4.64	TRUE	HMDB0000152	C00628
glucuronate	9849	193.034441700502	4.86	TRUE	HMDB0000127	C00191
glutamate	7718	148.0603	7.86	TRUE	HMDB0000148	C00302
glutamine	8178	147.0763	8.24	TRUE	HMDB0000641	C00064
glycine	TF1	76.0393	8.1	TRUE	HMDB0000123	C00037
Glycochenodeoxycholic acid	8650	448.3079	6.85	TRUE	HMDB0000637	C05466
glycocholate	7779	464.301716532813	3.94	FALSE	HMDB0000138	C01921
glycocholate-d4 (IS)	7739	468.326803193299	3.93	TRUE	NA	NA
Glycocholic acid	6963	464.3028	3.81	FALSE	HMDB0000138	C01921
glycodeoxycholate/glycochenodeoxycholate	7296	448.307150612964	3.82	FALSE	NA	NA
