Sample	PGE2-d4 (IS)	12-HETE	15-HETE	5-HETE	8.11.14-Eicosatrienoic acid	9-HETE	Adrenic acid	Arachidonic acid	Cholic acid	Deoxycholic acid/Chenodeoxycholic acid	Docosahexaenoic acid	Docosapentaenoic acid	Eicosapentaenoic acid	Gamma-Linolenic acid	Glycochenodeoxycholic acid	Glycocholic acid	Glycolithocholic acid	Glycoursodeoxycholic acid	Linoleic acid	Lithocholic acid	Myristic acid	Oleic acid	Palmitic acid	Palmitoleic acid	Sphingosine 1-Phosphate	Stearic acid	Taurochenodesoxycholic acid	Taurocholic acid	Taurodeoxycholic acid	Taurohyodeoxycholic acid/Tauroursodeoxycholic acid	Taurolithocholic acid	Hyodeoxycholic acid	Myristoleic acid	PGE2	Ursodeoxycholic acid	Glycodeoxycholic acid	glycocholate-d4 (IS)	thymine-d4 (IS)	inosine-15N4 (IS)	2-hydroxyglutarate	3-methyladipate/pimelate	4-hydroxybenzaldehyde	4-pyridoxate	aconitate	adipate	alpha-hydroxybutyrate	alpha-ketoglutarate	beta-hydroxybutyrate	bilirubin	chenodeoxycholate/deoxycholate	cholate	cystathionine	fructose/glucose/galactose	fumarate/maleate	gentisate	glucuronate	glycocholate	glycodeoxycholate/glycochenodeoxycholate	guanine	guanosine	homogentisate	homovanillate	hydroxyphenylacetate	hypoxanthine	indole-3-propionate	indolelactate	indoxylsulfate	inosine	isocitrate	lactate	lactose	lithocholate	malate	nicotinate	orotate	pantothenate	pyruvate	quinolinate	sebacate	sorbitol	suberate	succinate	taurocholate	taurodeoxycholate/taurochenodeoxycholate	thymine	uracil	urate	uridine	VMA	xanthine	phenylalanine-d8 (IS)	valine-d8 (IS)	1-methylhistamine	1-methylnicotinamide	2-deoxyadenosine	2-deoxycytidine	3-hydroxyanthranilic acid	5-HIAA	5-hydroxytryptophan	acetylcholine	adenosine	ADMA	alanine	alpha-glycerophosphocholine	aminoisobutyric acid	anserine	anthranilic acid	arginine	asparagine	aspartate	beta-alanine	betaine	butyrobetaine	carnitine	C2 carnitine	C3 carnitine	C3-DC-CH3 carnitine	C4 carnitine	C4-OH carnitine	C5 carnitine	C5:1 carnitine	C5-DC carnitine	C6 carnitine	C7 carnitine	C9 carnitine	C10:2 carnitine	C12 carnitine	C12:1 carnitine	C14 carnitine	C14:1 carnitine	C14:2 carnitine	C16 carnitine	C16-OH carnitine	C18 carnitine	C18:1 carnitine	C18:1-OH carnitine	C18:2 carnitine	C20 carnitine	C20:4 carnitine	C22:6 carnitine	C24:4 carnitine	C26 carnitine	carnosine	choline	cis-trans-hydroxyproline	citrulline	cotinine	creatine	creatinine	cytosine	dimethylglycine	GABA	glutamate	glutamine	glycine	histamine	histidine	isoleucine	kynurenic acid	leucine	lysine	methionine	methionine sulfoxide	N-carbamoyl-beta-alanine	niacinamide	NMMA	ornithine	phenylalanine	pipecolic acid	proline	putrescine	pyroglutamic acid	SDMA	serine	serotonin	spermidine	taurine	thiamine	threonine	thymidine	trimethylamine-N-oxide	tryptophan	tyrosine	valine
G36448	480071	10151	28934	49150	76775	18629	93121	747517	24626347	226233	1183031	1287206	756822	1144496	533792	583778	4064	690408	4869524	26884	1981	1243791	150537	10845	839	80885	842637	5021605	27239	782155	124187	3995114	NA	6267	139955414	NA	331939	125690	66934	1045745	20182	722599	1368933	NA	209116	209449	444319	405479	NA	14821066	9281632	9328	8540523	342904	7409	2652171	17357	30944	116524	82965	3799	153600	15658	330964	109271	144016	NA	92376	59797	595424	2520031	2359374	2862007	410377	273442	1843746	5933	4171	21653	389574	20222	45883657	132737	14449	1546403	4360635	1449626	3380364	17129	3389687	17616400	13632350	14277	2131830	104255	6074141	1596	1668	202762	14886685024	283426	21083146	138907326	366	4625	21453	91	1186029	13710753	13707	58427940	345410	14886685024	887331	13725	49660	277933	13	108988	NA	9254	35016	NA	236967	NA	22251	NA	NA	698	NA	NA	144245	28342	166597	68971	2915	10382	21039	2089551	NA	579039	21671	12850	3705	65386	1269532	11371	347487	8129379	186481	4342	39513658	1899617	981236	19042111	193115	420428	457162234	238668	601464825	6199690	202412478	31704388	174532	637192	83781	57323	5436450	302963	5728398	411213	398445	65952526	162105	94	1845026743	25372069	71754454	238019	8452618	1921301	1348523	1360971	4559076
G35412	497464	2730	10555	5570	89773	5769	149369	763441	9331620	17166054	256928	413625	94669	80342	86304	101287	12407	47069	1102126	920612	2098	936812	100669	7215	244	68818	35570	98698	20398	5909	134911	882203	NA	224560	38003464	2322358	380923	119221	52452	371391	48191	277469	3974122	NA	361988	107268	521057	317605	NA	18650762	66778309	114	34350313	237851	223755	1879521	140132	213191	123518	97428	18928	59629	14926	926424	3980	10398	NA	53775	173386	289312	3706589	50268	2085309	418536	808295	1102174	7231	2797	31275	589908	50950	27538867	942680	254286	1491870	4338860	339280	949301	200956	3924835	19436920	14488096	25707	6361116	45848	3943409	2352	117803	705838	13214150556	318092	7421663	124693429	62731	8541	5713	2433	374677	4379949	10476	57813877	731792	13214150556	2151026	73239	174360	6167	22874	361286	5801	41758	18346	NA	36407	NA	42336	NA	NA	4928	NA	7072	28307	NA	66840	21397	1646	10788	33475	3338171	1366	255628	52598	2167	28789	13302	1257394	13541	439923	939847	246452	6627	43820798	1380141	982539	17236890	1890893	274168	511185872	14628	635804694	3974079	227674247	20504915	98650	356599	106549	46867	6468434	377507	4807549	505512	297310	116387849	167475	7501	319024378	1220441545	129355414	274478	4292651	11732618	1973161	1469036	4515868
G36025	491337	580	4091	2264	110699	976	50227	329959	22009969	63562	741796	2991805	159546	498333	261783	1009003	5459	248538	3658054	12961	3530	2391388	163088	5955	63	31066	79926	1253242	20807	146882	155739	NA	18436	181762	99965753	NA	311637	110959	64389	2812330	44041	311313	4979700	1680	108836	308441	842539	453978	NA	6795737	52250145	NA	7499247	943512	1764036	3785317	246625	57937	121962	336188	29854	867584	75270	1877060	1275	504374	NA	343069	63993	973598	1791265	70898	4907340	505328	261593	1926122	2150	4024	46382	2597843	26761	42300988	537508	119445	2876953	5504202	60426	4253027	109123	5485903	18055733	13974064	2394	24105001	210359	7476018	2324	138699	707027	11753238326	547589	63782730	185074725	37891	7339	36427	2886	11076111	70128	6256	16810968	385815	11753238326	2552778	16913	8226	148642	5798	14734777	339444	367573	1920850	983773	53615	701571	2170248	58449	1901507	88904	88754	1638038	472135	1209744	290723	118430	41831	48778	3021	1598129	87379	389042	24631	9839	20075	55195	373900	5209	91311	16981334	72367	252	9185985	1478150	935203	25867253	860449	363568	837519213	374358	1022310786	6608354	379724207	22798157	37543	414889	129847	10350	10163645	135161	8827446	423223	308012	131130712	236608	1511	1787400870	535924561	115736464	467978	19294790	1936978	2647438	2003567	5065331
G36451	525071	1214	4837	2899	242669	NA	174895	410172	20917319	66490	372248	4912333	156870	446583	61174	154271	14477	21571	8349938	1458	3683	7981438	731247	11551	331	326578	184458	320524	44259	6231	38974	1194494	55446	11547	8495845	NA	323907	116209	37967	12823033	72225	57882	7796767	739	549669	110365	122904	405674	NA	11663619	24784713	67940	33847577	297726	439600	5750374	27245	56216	24412	28448	32251	163601	16464	2637605	3309	15599	NA	81196	239568	175742	2381980	23702	5410346	635265	332071	4459515	9611	8282	42183	2291718	78544	921618	370707	290435	5930522	7173164	26912	1373428	70546	5640885	19869177	14817078	29935	NA	97006	7971263	22356	197330	584626	16368627915	183448	12440463	178486713	105802	42175	52243	2813	1047789	1716047	24264	30961694	373508	16368627915	2712175	27030	37058	269919	7295	21065491	86220	11933	3681102	793387	405803	766855	1192180	249290	7296076	226242	519120	14008479	935640	1896123	505690	584762	207394	442028	80559	1889577	133791	202122	33363	29916	19015	55691	2382162	11654	307738	4806402	69303	21924	889598178	1695345	74230	12438934	109634	340389	470280640	982931	690784822	2290325	285106329	29921326	1266214	674872	82322	64273	7106120	175936	2829225	550999	378730	118831358	172402	8088	84329607	542660699	190124885	249177	6163500	2205789	1697754	1593468	4123348
G35422	507887	2173	10404	4931	61103	3956	62701	543775	20724037	205517	371157	429287	61510	170060	1071312	549845	7130	169022	1912039	38978	2197	497070	99555	9448	331	92602	1341191	277422	26864	86445	79118	NA	NA	124483	93643581	NA	283873	74753	51345	2074156	59934	705138	2708265	6150	304171	143029	811508	262503	NA	25595158	42296339	21	28819206	834085	425809	5747502	333518	733872	103948	68825	27689	92893	20864	2916632	61012	39812	NA	108245	792426	187382	3708080	101163	14914223	845341	355091	2751169	25249	10570	79783	504599	122108	4055994	353662	817496	3131539	6337223	110569	3496069	48314	7672715	20085615	14839100	12492	180201	9830	3707124	1027	79815	710546	8758331998	249306	41147902	173555601	59027	9639	3626	1943	6706565	5366283	29567	30614690	1142659	8758331998	3989345	13340	70069	2393	NA	2024356	NA	154245	219825	NA	1537121	NA	104492	465	NA	17579	194	12174	567239	67188	701670	250851	1070	20976	111184	1986143	NA	228206	22084	3798	16994	132284	1059123	6667	465234	210370	72219	12190	60804641	3323876	812913	24790346	188662	606774	607928174	715042	738070464	4949153	262431211	50021232	23546	491336	121377	85027	7308104	533270	7577895	95514	709237	65938796	211370	NA	237240209	116823106	156299262	319885	6855953	2051590	2042555	1708298	4281575
G36445	495449	1608	8659	3572	54772	2902	74915	329709	16927473	74108	195257	293565	108655	263303	907082	413384	5899	244991	8159673	14905	2638	8801356	519585	16517	259	808061	413425	126483	9234	46229	89163	2191046	NA	256709	54367327	NA	428665	109241	43506	4434429	50085	391191	2347167	26081	330042	129461	543721	349424	NA	5182372	25453616	404	20955882	453219	212098	2065161	100398	230873	60448	123811	35224	170715	35180	2900758	141002	39421	17814	52388	2710443	123524	4269234	124931	8901238	1037504	790502	4516016	9192	20197	61374	80735804	93387	6715682	190776	239376	4470163	9171807	309352	1624295	59816	8873986	18117015	13605419	12007	33506	51714	7472374	994	22667	1191267	6105451200	205818	73071646	195122535	26408	6099	11388	489	7207468	1461051	24509	32998645	2278238	6105451200	1885240	20863	94107	17395	135	5058728	178	26328	7941	NA	1099389	NA	604095	NA	NA	4866	NA	NA	635351	124146	537687	97509	NA	5207	26761	740456	NA	214915	37541	708	41719	110185	840924	10611	840774	185464	435498	75284	23877178	3396503	1129049	21509557	161684	544305	563358076	738010	710899676	3811367	242377473	51028194	142618	246577	191452	63428	6706386	855145	6067021	146503	718541	80212427	203469	1385	152577601	39679022	320940861	389918	6479785	3266308	2074044	1377803	4303554
G36032	541267	7525	14445	8495	155138	15588	355610	1049768	13362586	45182	255905	721929	90854	32922	884111	933757	4186	764708	144988	4129	131584	3059589	2202411	13418	1109	2141284	63985	42042	1458	7761	8178	NA	NA	178802	80758340	5797	284795	117649	21872	2626962	62449	2926849	1080570	6652	1679863	165782	1891472	202241	NA	30716184	11778117	10046	12799136	693036	134384	1635737	176697	314205	27553	40625	14094	570604	10118	2051104	270627	44713	NA	5435	509776	136825	3602763	9176772	14635049	611047	3348381	5343502	7214	15276	139733	581126	107301	12642729	476856	255339	8477507	13189800	697510	151932	27910	10607249	21193724	15209098	4343	NA	270014	7912604	665	48701	1313175	11274891735	506368	30773503	238396855	13584	15619	861	NA	3502123	565714	14390	54147728	570491	11274891735	761121	8875	2703153	4414	NA	835831	NA	48396	10126	NA	133435	NA	31344	NA	NA	11012	NA	NA	1107095	563631	586668	527471	16414	52870	28618	530276	NA	506719	227946	NA	11952	65224	2381999	17740	13773	7200	1370282	23504	84734171	3171753	1180847	36008296	235492	912942	992832158	365357	1163767324	4664731	411822056	54411948	391823	86026	52757	116847	11421702	1011090	10168092	401811	654968	144957676	256598	1268	277440854	10505283	130354196	456647	3622659	2077322	3058182	2363230	5956272
G36446	524191	7229	27601	11181	30823	15638	52836	663801	24319532	82347	471916	187921	78408	745824	3383758	12290102	2568	1864976	892336	14687	2523	772296	82341	9846	247	76382	141028	7359362	8225	36006	66446	1254199	3740	208291	87723211	72326	296240	123375	57560	1523984	63714	290167	1653802	3813	152078	113138	203026	698968	NA	13333777	43760022	3	44323456	467182	224513	4003171	1385431	481736	52154	78778	8480	40208	20726	2343147	126083	71375	NA	132688	238971	188989	3789513	32449	5793537	742263	140754	2803326	12116	11322	24374	2035308	40529	56309404	660543	43574	4210339	7851683	43948	2457978	4098	7173454	21810730	16376015	5808	7630	149607	5437009	2371	6744	1052021	5419263328	797667	48623861	153097010	13109	3621	NA	228	7863407	5365874	14168	10860498	3657757	5419263328	2308615	90468	2019044	205327	7808	38790	3524	NA	6763	3694916	1083456	NA	1860576	NA	NA	38866	10667	5763	352331	455523	310268	256995	22713	57425	49230	1330399	1159	204516	39808	NA	12613	237337	321009	2068	1018154	496488	371408	4908	12197244	2391390	866667	26366425	62090	768729	609558597	569451	722932677	4497488	255095408	34318372	92117	234140	127406	70017	6761566	435993	23923469	123581	483662	47995836	220093	7075	126952638	139083907	130229922	376512	6729536	1559473	1869483	1446847	2452897
G35421	542357	2130	5641	3790	48205	10799	98605	407966	22698172	133717	248064	494953	31458	444823	296770	349126	3263	134347	1612749	28252	2858	198653	100429	4287	272	133298	45239	48447	9967	17396	154775	1394215	NA	157868	111429618	NA	281264	123853	46552	4317615	61771	227383	2354954	5196	836681	216205	673398	362437	712	22308583	41463798	12121	30474940	790581	393856	2752198	57352	52396	110409	34053	8421	139349	22644	3068391	154551	43464	2396	49373	455378	1101226	3729484	66068	16177900	787171	710335	5108025	27983	18602	70434	1956473	138593	2708904	324970	61135	5535833	10754063	103611	2153762	6396	6795894	22000927	14108822	6534	NA	159542	6652219	1192	260391	1356886	8046861977	438806	11037832	294940200	136757	11043	185554	1807	5222636	4059872	33687	76764037	12559548	8046861977	1136015	31227	658616	131574	NA	387010	NA	196828	40360	15147	1019684	49733	1231611	1313	NA	22856	NA	44571	314250	213996	224369	79975	8113	10581	56166	636446	NA	295382	NA	11009	40689	114999	1493106	17553	572652	189551	299153	10946	68421673	4377143	1648342	61092397	259630	1240220	974088430	959600	1181858637	7207722	462700835	68105077	647335	323222	370588	223342	11764678	1480211	28686730	438452	953399	122573266	336571	NA	528025233	18617898	141600625	598853	7917146	1383267	3685509	2920883	11212370
G36443	529106	4736	12815	6689	70233	11180	77639	424403	19067825	34604	158109	668202	78326	3718504	281185	494980	7693	163379	5012116	1196	3986	1336552	98207	6979	65	54869	161203	351108	7011	46777	15366	524807	55480	225143	33057220	NA	282120	112143	51232	5662773	34886	343646	1918849	20354	245702	269354	375105	998645	NA	4601068	18509421	727	31040709	676865	294468	6276581	56043	42936	72174	4132	4795	772642	11069	2054402	553880	410336	13440	NA	935079	564651	2652656	NA	10274981	456600	1354004	1405519	44277	6800	25038	4843063	37201	2105989	293401	96950	3614733	5992907	62974	55858	12944	4122052	19647474	13017250	7808	NA	46887	12234120	2502	22587	1313144	8649508840	167026	158123727	315233572	35555	8004	33444	815	12619237	3566736	12621	24950255	8262617	8649508840	4535973	182028	1208662	412156	566540	6879025	922612	54019	33027	547352	641394	754839	1590643	168295	1205412	287400	111296	1668740	784657	2027579	336772	136483	64370	38204	16814	1125937	8749	152515	30436	3731	33012	1294349	112596	10493	10445269	6738973	5431630	5391	83354195	2355632	1230108	81214361	905702	1788904	505076398	1147700	684736867	8634643	209798867	32881996	220742	29870829	440990	10508	6107343	492405	31810684	588653	524762	108886537	240212	6209	665749007	621355912	113633677	497616	3421447	1427523	2427191	1429769	11287474
