lakeid,fish_id,annnumber,length,radii_length_mm ,scalelength
AL,299,EDGE,167,2.697442983,2.697442983
AL,299,2,167,2.037517911,2.697442983
AL,299,1,167,1.311794662,2.697442983
AL,300,EDGE,175,3.015477385,3.015477385
AL,300,3,175,2.670732694,3.015477385
AL,300,2,175,2.137094258,3.015477385
AL,300,1,175,1.229940197,3.015477385
AL,301,EDGE,194,3.343855565,3.343855565
AL,301,3,194,2.970384634,3.343855565
AL,301,2,194,2.292492343,3.343855565
AL,301,1,194,1.55255574,3.343855565
AL,302,EDGE,324,6.066157832,6.066157832
AL,302,9,324,5.733341472,6.066157832
AL,302,8,324,5.414561215,6.066157832
AL,302,7,324,5.009321412,6.066157832
AL,302,6,324,4.561664935,6.066157832
AL,302,5,324,4.197361719,6.066157832
AL,302,4,324,3.720894527,6.066157832
AL,302,3,324,3.230345672,6.066157832
AL,302,2,324,2.189539115,6.066157832
AL,302,1,324,1.27081021,6.066157832
AL,303,EDGE,325,6.788956478,6.788956478
AL,303,10,325,6.385224082,6.788956478
AL,303,9,325,6.040705351,6.788956478
AL,303,8,325,5.441262831,6.788956478
AL,303,7,325,4.944742753,6.788956478
AL,303,6,325,4.394627402,6.788956478
AL,303,5,325,3.883583773,6.788956478
AL,303,4,325,3.304666186,6.788956478
AL,303,3,325,2.825434377,6.788956478
AL,303,2,325,2.04393497,6.788956478
AL,303,1,325,1.347124785,6.788956478
AL,304,EDGE,340,6.182458053,6.182458053
AL,304,12,340,5.945186158,6.182458053
AL,304,11,340,5.664008237,6.182458053
AL,304,10,340,5.338914886,6.182458053
AL,304,9,340,4.882491017,6.182458053
AL,304,8,340,4.498628755,6.182458053
AL,304,7,340,4.128788698,6.182458053
AL,304,6,340,3.883514271,6.182458053
AL,304,5,340,3.60965995,6.182458053
AL,304,4,340,3.235449401,6.182458053
AL,304,3,340,2.851851963,6.182458053
AL,304,2,340,2.258543752,6.182458053
AL,304,1,340,1.230508311,6.182458053
AL,305,EDGE,342,6.311789763,6.311789763
AL,305,12,342,6.048916828,6.311789763
AL,305,11,342,5.78373457,6.311789763
AL,305,10,342,5.482997877,6.311789763
AL,305,9,342,5.026574008,6.311789763
AL,305,8,342,4.587397076,6.311789763
AL,305,7,342,4.262303725,6.311789763
AL,305,6,342,3.872921763,6.311789763
AL,305,5,342,3.43374483,6.311789763
AL,305,4,342,3.069441614,6.311789763
AL,305,3,342,2.724333458,6.311789763
AL,305,2,342,2.265245614,6.311789763
AL,305,1,342,1.473026967,6.311789763
AL,306,EDGE,350,6.942168824,6.942168824
AL,306,10,350,6.463998438,6.942168824
AL,306,9,350,6.158900583,6.942168824
AL,306,8,350,5.875921376,6.942168824
AL,306,7,350,5.41616995,6.942168824
AL,306,6,350,4.90215223,6.942168824
AL,306,5,350,4.45814271,6.942168824
AL,306,4,350,3.753934104,6.942168824
AL,306,3,350,2.927069486,6.942168824
AL,306,2,350,2.138450682,6.942168824
AL,306,1,350,1.191828963,6.942168824
AL,307,EDGE,353,7.552002907,7.552002907
AL,307,13,353,7.279636935,7.552002907
AL,307,12,353,6.976544126,7.552002907
AL,307,11,353,6.734606922,7.552002907
AL,307,10,353,6.482387466,7.552002907
AL,307,9,353,6.220676835,7.552002907
AL,307,8,353,5.924022729,7.552002907
AL,307,7,353,5.438471107,7.552002907
AL,307,6,353,5.058868197,7.552002907
AL,307,5,353,4.370716198,7.552002907
AL,307,4,353,3.891696486,7.552002907
AL,307,3,353,3.37511507,7.552002907
AL,307,2,353,2.657611593,7.552002907
AL,307,1,353,1.502060641,7.552002907
AL,308,EDGE,355,6.66580044,6.66580044
AL,308,11,355,6.391575293,6.66580044
AL,308,10,355,6.018452568,6.66580044
AL,308,9,355,5.567629204,6.66580044
AL,308,8,355,5.15321487,6.66580044
AL,308,7,355,4.789749454,6.66580044
AL,308,6,355,4.432487938,6.66580044
AL,308,5,355,3.935967859,6.66580044
AL,308,4,355,3.211697992,6.66580044
AL,308,3,355,2.63700871,6.66580044
AL,308,2,355,1.860204601,6.66580044
AL,308,1,355,1.250008892,6.66580044
AL,309,EDGE,355,7.891747112,7.891747112
AL,309,13,355,7.555286669,7.891747112
AL,309,12,355,7.361380209,7.891747112
AL,309,11,355,7.159765871,7.891747112
AL,309,10,355,6.77195295,7.891747112
AL,309,9,355,6.388355512,7.891747112
AL,309,8,355,5.960666916,7.891747112
AL,309,7,355,5.438606454,7.891747112
AL,309,6,355,4.742379862,7.891747112
AL,309,5,355,4.056891115,7.891747112
AL,309,4,355,3.366674803,7.891747112
AL,309,3,355,2.868724123,7.891747112
AL,309,2,355,2.227191229,7.891747112
AL,309,1,355,1.423131615,7.891747112
AL,310,EDGE,363,7.470900442,7.470900442
AL,310,12,363,7.157910823,7.470900442
AL,310,11,363,6.786152353,7.470900442
AL,310,10,363,6.340771725,7.470900442
AL,310,9,363,5.787157697,7.470900442
AL,310,8,363,5.375943521,7.470900442
AL,310,7,363,4.993407212,7.470900442
AL,310,6,363,4.47447055,7.470900442
AL,310,5,363,4.111005134,7.470900442
AL,310,4,363,3.665624506,7.470900442
AL,310,3,363,3.217968029,7.470900442
AL,310,2,363,2.450243505,7.470900442
AL,310,1,363,1.266885846,7.470900442
AL,311,EDGE,366,6.695904636,6.695904636
AL,311,12,366,6.375534442,6.695904636
AL,311,11,366,6.15012276,6.695904636
AL,311,10,366,5.817611876,6.695904636
AL,311,9,366,5.512514022,6.695904636
AL,311,8,366,5.263130859,6.695904636
AL,311,7,366,4.974463058,6.695904636
AL,311,6,366,4.507474461,6.695904636
AL,311,5,366,4.033573539,6.695904636
AL,311,4,366,3.463322078,6.695904636
AL,311,3,366,3.106060562,6.695904636
AL,311,2,366,2.549334777,6.695904636
AL,311,1,366,1.368900479,6.695904636
AL,312,EDGE,367,6.812158315,6.812158315
AL,312,13,367,6.499493542,6.812158315
AL,312,12,367,6.225268396,6.812158315
AL,312,11,367,5.979993968,6.812158315
AL,312,10,367,5.57175605,6.812158315
AL,312,9,367,5.322372887,6.812158315
AL,312,8,367,5.022651627,6.812158315
AL,312,7,367,4.631187394,6.812158315
AL,312,6,367,4.306094043,6.812158315
