"Code","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Ocean_Group_En","Ocean_Group_Fr","Ocean_Group_Es","Ocean_Group_Ar","Ocean_Group_Cn","Ocean_Group_Ru","InlandMarine_Group_En","InlandMarine_Group_Fr","InlandMarine_Group_Es","InlandMarine_Group_Ar","InlandMarine_Group_Cn","InlandMarine_Group_Ru","FARegion_Group_En","FARegion_Group_Fr","FARegion_Group_Es","FARegion_Group_Ar","FARegion_Group_Cn","FARegion_Group_Ru"
"01","Africa - Inland waters","Afrique - Eaux continentales","África - Aguas continentales","أفريقيا – المياه الداخلية","非洲内陆水域","Африка – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"02","America, North - Inland waters","Amérique du Nord - Eaux continentales","América del Norte - Aguas continentales","مياه داخلية – أمريكا الشمالية","北美洲-内陆水域","Северная Америка – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"03","America, South - Inland waters","Amérique du Sud - Eaux continentales","América del Sur - Aguas continentales","مياه داخلية – أمريكا الجنوبية","南美洲-内陆水域","Южная Америка – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"04","Asia - Inland waters","Asie - Eaux continentales","Asia - Aguas continentales","آسيا – المياه الداخلية","亚洲-内陆水域","Азия – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"05","Europe - Inland waters","Europe - Eaux continentales","Europa - Aguas continentales","أوروبا – المياه الداخلية","欧洲-内陆水域","Европа – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"06","Oceania - Inland waters","Océanie - Eaux continentales","Oceanía - Aguas continentales","أوسيانيا- مياه داخلية","大洋州-内陆水域","Океания – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"07","Former USSR area - Inland waters","Zone de l'ex-URSS - Eaux continentales","Área de la ex URSS - Aguas continentales","منطقة الاتحاد السوفياتي السابق – المياه الداخلية","前苏联地区-内陆水域","территория бывшего СССР – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
"18","Arctic Sea","Mer Arctique","Mar Ártico","المحيط القطبي الشمالي","北冰洋","Северный Ледовитый океан","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"21","Atlantic, Northwest","Atlantique, nord-ouest","Atlántico, noroeste","شمال غربي المحيط الأطلسي","西北大西洋","Северо-Западная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"27","Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste","شمال شرق المحيط الأطلسي","东北大西洋","Северо-Восточная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Northern regions","Régions septentrionales","Regiones del Norte","","",""
