year,site,buglevels
2013,Bondi Beach,32.224137931034484
2013,Bronte Beach,26.75862068965517
2013,Clovelly Beach,9.275862068965518
2013,Coogee Beach,39.672413793103445
2013,Gordons Bay (East),24.772727272727273
2013,Little Bay Beach,121.53448275862068
2013,Malabar Beach,101.41379310344827
2013,Maroubra Beach,47.13793103448276
2013,South Maroubra Beach,39.3448275862069
2013,South Maroubra Rockpool,96.38888888888889
2013,Tamarama Beach,29.689655172413794
2014,Bondi Beach,11.075471698113208
2014,Bronte Beach,17.49056603773585
2014,Clovelly Beach,13.830188679245284
2014,Coogee Beach,52.61538461538461
2014,Gordons Bay (East),16.69811320754717
2014,Little Bay Beach,19.471698113207548
2014,Malabar Beach,54.490566037735846
2014,Maroubra Beach,9.226415094339623
2014,South Maroubra Beach,14.924528301886792
2014,South Maroubra Rockpool,40.62264150943396
2014,Tamarama Beach,39.58490566037736
2015,Bondi Beach,14.333333333333334
2015,Bronte Beach,23.589285714285715
2015,Clovelly Beach,8.824561403508772
2015,Coogee Beach,40.333333333333336
2015,Gordons Bay (East),36.19298245614035
2015,Little Bay Beach,25.49122807017544
2015,Malabar Beach,66.87719298245614
2015,Maroubra Beach,14.526315789473685
2015,South Maroubra Beach,8.24561403508772
2015,South Maroubra Rockpool,47.26315789473684
2015,Tamarama Beach,56.98245614035088
2016,Bondi Beach,19.35593220338983
2016,Bronte Beach,61.32203389830509
2016,Clovelly Beach,11.288135593220339
2016,Coogee Beach,59.54838709677419
2016,Gordons Bay (East),39.016949152542374
2016,Little Bay Beach,31.23728813559322
2016,Malabar Beach,91.01587301587301
2016,Maroubra Beach,26.593220338983052
2016,South Maroubra Beach,10.677966101694915
2016,South Maroubra Rockpool,59.32203389830509
2016,Tamarama Beach,50.258620689655174
2017,Bondi Beach,13.180327868852459
2017,Bronte Beach,16.78688524590164
2017,Clovelly Beach,7.934426229508197
2017,Coogee Beach,20.741935483870968
2017,Gordons Bay (East),13.655737704918034
2017,Little Bay Beach,18.24590163934426
2017,Malabar Beach,49.75806451612903
2017,Maroubra Beach,11.59016393442623
2017,South Maroubra Beach,8.262295081967213
2017,South Maroubra Rockpool,46.91803278688525
2017,Tamarama Beach,20.37704918032787
2018,Bondi Beach,22.869565217391305
2018,Bronte Beach,43.416666666666664
2018,Clovelly Beach,10.630434782608695
2018,Coogee Beach,21.5625
2018,Gordons Bay (East),17.604166666666668
2018,Little Bay Beach,59.0625
2018,Malabar Beach,38.041666666666664
2018,Maroubra Beach,9.212765957446809
2018,South Maroubra Beach,12.5
2018,South Maroubra Rockpool,112.1875
2018,Tamarama Beach,15.479166666666666
