Years of sample collection,Elephant ID,Sex,Estimated Age (years),shoulder Height in  cm,Tusk Length in cm,Tusk Circumference   in cm
1966-68,12,f,0.08,102,,
1966-68,34,f,0.08,89,,
1966-68,162,f,0.083,89,,
1966-68,292,f,0.083,92,,
1966-68,11,f,0.25,133,,
1966-68,152,f,0.25,100,,
1966-68,264,f,0.25,93,,
1966-68,263,f,0.5,108,,
1966-68,266,f,0.5,108,,
1966-68,217,f,1,124,,
1966-68,51,f,1.75,140,,
1966-68,175,f,2,135,,
1966-68,123,f,2.25,138,,
1966-68,230,f,2.25,151,,
1966-68,45,f,2.5,150,,
1966-68,58,f,2.5,149,30,10.5
1966-68,78,f,2.5,151,27,10.5
1966-68,86,f,2.5,127,27,10.5
1966-68,293,f,2.5,156,32,11
1966-68,29,f,3,146,28.5,9.5
1966-68,43,f,3,149,30.5,10
1966-68,186,f,3.5,,41,9
1966-68,221,f,3.5,166,43,11
1966-68,222,f,3.5,178,44,14
1966-68,241,f,3.5,177,45,12
1966-68,255,f,3.5,171,46,13
1966-68,153,f,3.75,175,47,13
1966-68,84,f,4,158,39.5,12
1966-68,87,f,4,157,42,13
1966-68,97,f,4,167,,
1966-68,112,f,4,180,,
1966-68,205,f,4,178,49,13
1966-68,238,f,4,176,45,12
1966-68,116,f,5,185,,
1966-68,256,f,5,177,50,13
1966-68,296,f,5,178,43,12
1966-68,33,f,6,184,48.5,11
1966-68,240,f,6,191,57,13
1966-68,298,f,6,190,66,15
1966-68,106,f,7,182,,
1966-68,126,f,7.5,197,,
1966-68,224,f,7.5,194,59,14
1966-68,290,f,7.5,183,65,14
1966-68,38,f,8,199,60,14.5
1966-68,157,f,8,193,65,14
1966-68,206,f,8,195,,
1966-68,155,f,8.5,201,67,15
1966-68,110,f,9,214,,
1966-68,59,f,10,231,79.5,17
1966-68,66,f,10,203,82,16.5
1966-68,80,f,10,205,76.5,15
1966-68,220,f,10,195,79,16
1966-68,253,f,10,224,83,19
1966-68,278,f,10,218,88,17
1966-68,32,f,11,212,71,14
1966-68,48,f,11,221,80,17.5
1966-68,49,f,11,221,,
1966-68,105,f,11,197,,
1966-68,114,f,11,222,,
1966-68,179,f,11,205,67,14
1966-68,297,f,11,190,83,17
1966-68,67,f,12,214,56,16
1966-68,7,f,13,213,91,17
1966-68,15,f,13,214,81.5,17.5
1966-68,164,f,13,218,82,17
1966-68,237,f,13,222,83,17
1966-68,194,f,13.5,219,70,14
1966-68,23,f,14,218,84,17.5
1966-68,148,f,14,233,94,19
1966-68,204,f,14,204,87,18
1966-68,219,f,14,220,73,16
1966-68,288,f,14,212,,
1966-68,199,f,14.5,230,75,19
1966-68,37,f,15,217,100,19
1966-68,70,f,15,210,79,16
1966-68,72,f,15,211,92.5,16.5
1966-68,74,f,15,226,91.5,20
1966-68,125,f,15,211,,
1966-68,275,f,15,233,111,18
1966-68,8,f,16,216,102,20.5
1966-68,168,f,16,241,98,18
1966-68,243,f,16.5,237,91,19
1966-68,132,f,17,231,,
1966-68,150,f,17,235,116,23
1966-68,167,f,17,237,105,19
1966-68,213,f,17,222,84,18
1966-68,226,f,17,243,106,21
1966-68,260,f,17.5,226,99,21
1966-68,17,f,18,194,112,21
1966-68,62,f,18,229,80.5,17
1966-68,81,f,18,229,86.5,17
1966-68,258,f,18,217,96,18
1966-68,28,f,20,220,91.5,18.5
1966-68,202,f,20,233,104,21
1966-68,39,f,21,223,99,18.5
1966-68,203,f,21,229,108,18
1966-68,259,f,21,247,109,21
1966-68,16,f,22,207,,
1966-68,30,f,22,225,99,19
1966-68,40,f,22,246,115,21.5
1966-68,64,f,22,201,116,22
1966-68,267,f,22,235,117,20
1966-68,88,f,23,221,93,19.5
1966-68,98,f,23,239,,
1966-68,118,f,23,242,,
1966-68,215,f,23,249,107,20
1966-68,20,f,24,246,93.5,17.5
1966-68,101,f,24,241,,
1966-68,119,f,24,252,,
1966-68,121,f,24,248,,
1966-68,149,f,24,241,124,22
1966-68,232,f,24,240,113,21
1966-68,294,f,24,245,114,22
1966-68,22,f,25,239,111,20
1966-68,71,f,25,237,112,22
1966-68,201,f,25,260,105,19
1966-68,227,f,25,245,118,23
1966-68,242,f,25,243,115,22
1966-68,284,f,25.5,238,,
1966-68,55,f,26,249,119,21
1966-68,83,f,26,230,108,19.4
1966-68,166,f,26,247,107,22
1966-68,211,f,26,239,143,25
1966-68,225,f,26,245,124,25
1966-68,19,f,27,244,135.5,24.5
1966-68,144,f,27,242,136,23
1966-68,233,f,27,244,116,24
1966-68,31,f,28,244,109.5,21.7
1966-68,128,f,28,251,,
1966-68,188,f,28,248,105,21
1966-68,1,f,30,243,139.5,22.5
1966-68,54,f,30,230,,
1966-68,76,f,30,236,105,23
1966-68,109,f,30,237,,
1966-68,209,f,31,232,102,24
1966-68,257,f,31,235,116,25
1966-68,14,f,32,251,140,25
1966-68,161,f,32,248,155,27
1966-68,178,f,32,261,143,23
1966-68,192,f,32,251,129,22
1966-68,216,f,34.5,239,101,20
1966-68,94,f,35,251,,
1966-68,177,f,37,234,127,23
1966-68,270,f,37,264,152,25
1966-68,140,f,39,254,167,29
1966-68,302,f,39,245.11,,
1966-68,4,f,40,242,106,23.5
1966-68,304,f,40,264.16,,
1966-68,89,f,41,243,125,24.5
1966-68,93,f,41,261,,
1966-68,42,f,43,247,116.5,27
1966-68,180,f,43,257,,
1966-68,108,f,48,244,,
1966-68,195,f,48,263,129,29
1966-68,299,f,48,251,125,24
1966-68,56,f,49,252,,
1966-68,46,m,0.08,92,,
1966-68,69,m,0.08,99,,
1966-68,73,m,0.08,93,,
1966-68,82,m,0.08,89,,
1966-68,165,m,0.083,89,,
1966-68,24,m,0.25,93,,
1966-68,239,m,0.25,96,,
1966-68,295,m,0.25,98,,
1966-68,218,m,0.5,105,,
1966-68,265,m,0.5,111,,
1966-68,276,m,0.5,114,,
1966-68,13,m,1,123,,
1966-68,107,m,1,135,,
1966-68,117,m,1,136,,
1966-68,151,m,1,132,,
1966-68,184,m,1,128,,
1966-68,170,m,1.5,136,,
1966-68,10,m,1.75,142,,
1966-68,35,m,2,147,22.5,10
1966-68,235,m,2,150,25,11
1966-68,120,m,2.25,149,,
1966-68,139,m,2.25,160,28,13
1966-68,208,m,2.5,148,33,13
1966-68,111,m,2.75,158,,
1966-68,173,m,2.75,156,32,13
1966-68,196,m,2.75,159,35,13
1966-68,6,m,3,180,56,19
1966-68,26,m,3,164,45,15
1966-68,75,m,3,169,43,15
1966-68,131,m,3,163,,
1966-68,189,m,3,165,39,13
1966-68,277,m,3,156,42,14
1966-68,193,m,3.25,166,42,14
1966-68,5,m,3.5,164,49,16
1966-68,9,m,3.5,169,48.5,15
1966-68,52,m,3.5,169,51.5,15.5
1966-68,60,m,3.5,169,43,14
1966-68,124,m,3.5,182,,
1966-68,163,m,3.5,173,61,18
1966-68,197,m,3.5,188,53,17
1966-68,279,m,3.5,161,47,15
1966-68,53,m,4,177,47.5,14.5
1966-68,63,m,4,172,50.5,16
1966-68,285,m,4,175,54,16
1966-68,207,m,5,172,57,16
1966-68,228,m,5,176,51,16
1966-68,262,m,5,195,62,18
1966-68,271,m,5.5,184,63,17
1966-68,21,m,6,172,59,15
1966-68,41,m,6,176,54.5,15
1966-68,44,m,6,192,66.5,16.5
1966-68,95,m,6,184,,
1966-68,122,m,6,198,,
1966-68,169,m,6,200,66,18
1966-68,182,m,6,185,64,19
1966-68,187,m,6,194,75,20
1966-68,236,m,6,188,58,15
1966-68,18,m,6.5,183,62,18
1966-68,25,m,7,195,69.5,17.5
1966-68,104,m,7,198,,
1966-68,214,m,7,184,69,19
1966-68,57,m,7.5,199,86.5,24.6
1966-68,231,m,7.5,176,71,17
1966-68,3,m,8,208,92.5,21.5
1966-68,68,m,8,197,80.5,18.5
1966-68,141,m,8,199,83,21
1966-68,147,m,8,205,69,19
1966-68,181,m,8,217,80,22
1966-68,191,m,8,195,68,17
1966-68,198,m,8,193,65,20
1966-68,210,m,8,191,83,20
1966-68,229,m,8,196,84,19
1966-68,2,m,9,209,83,20.5
1966-68,100,m,9,223,,
1966-68,286,m,9,215,83,20
1966-68,61,m,10,224,105,23.5
1966-68,77,m,10,202,76,21
1966-68,85,m,10,213,99,23.5
1966-68,92,m,10,233,119.5,28.5
1966-68,102,m,10,206,,
1966-68,156,m,10,213,99,22
1966-68,251,m,10,215,111,24
1966-68,273,m,10,219,78,20
1966-68,283,m,10,204,84,21
1966-68,287,m,10,227,96,23
1966-68,103,m,11,222,,
1966-68,172,m,11,222,112,25
1966-68,174,m,12,212,104,25
1966-68,185,m,12,237,106,26
1966-68,261,m,12,226,102,22
1966-68,305,m,17,284.48,,
1966-68,36,m,13,213,78,19
1966-68,91,m,13,240,123,25
1966-68,158,m,13,246,98,23
1966-68,183,m,13,232,88,21
1966-68,249,m,13,240,99,24
1966-68,254,m,13,229,109,26
1966-68,129,m,14,243,,
1966-68,130,m,14,229,,
1966-68,142,m,14,220,115,24
1966-68,146,m,14,249,130,29
1966-68,176,m,14,231,100,25
1966-68,200,m,14,234,103,22
1966-68,223,m,14,227,94,23
1966-68,252,m,14,254,107,26
1966-68,272,m,14,246,112,26
1966-68,282,m,14,236,106,22
1966-68,127,m,15,249,,
1966-68,289,m,15,231,123,21
1966-68,79,m,16,252,139,29
1966-68,159,m,16.5,255,119,25
1966-68,90,m,17,259,135,28.5
1966-68,160,m,17,245,122,25
1966-68,247,m,17,244,121,28
1966-68,248,m,17,252,122,29
1966-68,250,m,17,254,120,24
1966-68,27,m,18,240,119,26.5
1966-68,47,m,18,260,149.5,31
1966-68,50,m,18,257,98.5,26.5
1966-68,99,m,18,259,,
