INSTNM,CITY,STABBR,ZIP,ADM_RATE,SAT_AVG,PCIP26,COSTT4_A,C150_4_POOLED,PFTFTUG1_EF
Grossmont College,El Cajon,CA,92020-1799,,,0.0016,7956,,0.3546
College of the Sequoias,Visalia,CA,93277-2214,,,0.0066,8109,,0.5413
College of San Mateo,San Mateo,CA,94402-3784,,,0.0038,8278,,0.3567
Ventura College,Ventura,CA,93003-3872,,,0.0035,8407,,0.3824
Oxnard College,Oxnard,CA,93033-6699,,,0.0085,8516,,0.2753
Moorpark College,Moorpark,CA,93021-1695,,,0.0151,8577,,0.4286
Skyline College,San Bruno,CA,94066-1698,,,0,8580,0.2334,0.2307
Glendale Community College,Glendale,CA,91208-2894,,,0.002,9181,,0.4209
Citrus College,Glendora,CA,91741-1899,,,0.0021,9281,,0.4399
Fresno City College,Fresno,CA,93741,,,0.0324,9370,,0.3657
Canada College,Redwood City,CA,94061-1099,,,0.018,9432,,0.1658
Bakersfield College,Bakersfield,CA,93305-1299,,,0.0305,9472,0.1704,0.419
Foothill College,Los Altos Hills,CA,94022,,,0.008,9612,0.6175,0.2337
Reedley College,Reedley,CA,93654,,,0.1063,9655,,0.4029
Porterville College,Porterville,CA,93257,,,0,9734,,0.5386
Mt San Antonio College,Walnut,CA,91789-1399,,,0,9758,,0.4008
Allan Hancock College,Santa Maria,CA,93454-6399,,,0.0069,9932,,0.3977
Antelope Valley College,Lancaster,CA,93536-5426,,,0.0193,9973,0.2864,0.3841
Palomar College,San Marcos,CA,92069-1487,,,0.0012,10204,,0.347
City College of San Francisco,San Francisco,CA,94112-1898,,,0.0032,10333,,0.2489
Santa Ana College,Santa Ana,CA,92706-3398,,,0.0022,10446,0.2313,0.2572
Lake Tahoe Community College,South Lake Tahoe,CA,96150,,,0,10476,,0.2632
Long Beach City College,Long Beach,CA,90808-1706,,,0.0364,10568,,0.4245
College of the Redwoods,Eureka,CA,95501-9300,,,0,10608,,0.3281
Southwestern College,Chula Vista,CA,91910-7299,,,0.0098,10713,,0.4477
Monterey Peninsula College,Monterey,CA,93940-4799,,,0.0266,10718,,0.2805
MiraCosta College,Oceanside,CA,92056-3899,,,0.0018,10754,,0.3206
Cypress College,Cypress,CA,90630-5897,,,0,10825,,0.2966
Los Medanos College,Pittsburg,CA,94565,,,0.0167,10878,,0.3787
College of the Canyons,Santa Clarita,CA,91355-1899,,,0,10984,,0.3862
Imperial Valley College,Imperial,CA,92251-0158,,,0.0012,11077,,0.622
Gavilan College,Gilroy,CA,95020,,,0.0031,11111,,0.2902
De Anza College,Cupertino,CA,95014,,,0.0133,11144,,0.5218
Yuba College,Marysville,CA,95901,,,0.0111,11182,,0.3837
Cuyamaca College,El Cajon,CA,92019,,,0.0042,11194,,0.2267
Cerro Coso Community College,Ridgecrest,CA,93555-9571,,,0,11313,,0.1695
Diablo Valley College,Pleasant Hill,CA,94523,,,0.0217,11519,,0.3754
Chabot College,Hayward,CA,94545,,,0.0331,11583,,0.284
Butte College,Oroville,CA,95965-8399,,,0.0041,11595,,0.4692
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,,,0,11634,,0.3712
Santa Monica College,Santa Monica,CA,90405-1628,,,0,11844,0.3019,0.4394
Fullerton College,Fullerton,CA,92832-2095,,,0.0142,11866,,0.3384
San Diego Miramar College,San Diego,CA,92126-2999,,,0.063,11912,,0.1755
Pasadena City College,Pasadena,CA,91106-2003,,,0,11958,,0.4543
Rio Hondo College,Whittier,CA,90601-1616,,,0.0052,11991,0.1889,0.2402
College of Alameda,Alameda,CA,94501,,,0,12038,,0.138
San Diego City College,San Diego,CA,92101-4787,,,0.0362,12068,,0.212
Los Angeles Southwest College,Los Angeles,CA,90047-4899,,,0.0018,12190,,0.1517
Los Angeles City College,Los Angeles,CA,90029,,,0,12272,,0.1436
Columbia College,Sonora,CA,95370,,,0.0071,12282,,0.278
San Diego Mesa College,San Diego,CA,92111-4998,,,0.0423,12382,0.1973,0.2102
Los Angeles Trade Technical College,Los Angeles,CA,90015-4181,,,0,12422,,0.1621
Irvine Valley College,Irvine,CA,92618-0301,,,0.0012,12449,,0.4111
Solano Community College,Fairfield,CA,94534-3197,,,0.0051,12558,,0.3511
Riverside City College,Riverside,CA,92506,,,0,12578,,0.3182
Shasta College,Redding,CA,96003,,,0,12745,,0.3377
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,,,0.0034,12842,,0.3505
Taft College,Taft,CA,93268,,,0.0359,12882,,0.1611
California State University-Dominguez Hills,Carson,CA,90747-0005,0.4791,,0.03,13027,0.3837,0.3155
Contra Costa College,San Pablo,CA,94806-3195,,,0.0441,13070,,0.2658
