"Species","Count"
"Black Vulture",64
"Turkey Vulture",23
"Harris's Hawk",3
"Red-tailed Hawk",16
"American Kestrel",7
"Gambel's Quail",148
"Rock Dove",7
"White-winged Dove",625
"Mourning Dove",135
"Greater Roadrunner",1
"Great Horned Owl",2
"Lesser Nighthawk",25
"Black-chin. Hummingbird",1
"Costa's Hummingbird",2
"Gila Woodpecker",300
"Ladder-back. Woodpecker",15
"Gilded Flicker C",77
"Ash-throated Flycatcher",173
"Brown-crest. Flycatcher",128
"Western Kingbird",1
"Loggerhead Shrike",3
"Bell's Vireo",10
"Common Raven",12
"Purple Martin",33
"Violet-green Swallow",23
"Verdin",282
"Cactus Wren",230
"Canyon Wren",2
"Black-tail. Gnatcatcher",152
"Northern Mockingbird",5
"Curve-billed Thrasher",173
"Phainopepla",18
"Lucy's Warbler",67
"Canyon Towhee",2
"Black-throated Sparrow",33
"Northern Cardinal",13
"Great-tailed Grackle",1
"Bronzed Cowbird",1
"Brown-headed Cowbird",59
"Hooded Oriole",4
"Scott's Oriole",28
"House Finch",297
"House Sparrow",14
