"date","no.pelts"
1752,4009
1753,7179
1754,4198
1755,1444
1756,838
1757,631
1758,917
1759,1881
1760,3842
1761,5338
1762,5820
1763,6000
1764,3005
1765,1771
1766,1138
1767,1088
1768,1128
1769,2508
1770,4012
1771,4225
1772,5463
1773,2301
1774,1744
1775,705
1776,1157
1777,2823
1778,2478
1779,1245
1780,3168
1781,2966
1782,1553
1783,960
1784,980
1785,822
1786,801
1787,1080
1788,2050
1789,1550
1790,970
1791,1603
1792,1400
1793,1546
1794,989
1795,1102
1796,1149
1797,1625
1798,1541
1799,2269
1800,3708
1801,4495
1802,3658
1803,2083
1804,1091
1805,820
1806,1052
1807,1588
1808,2788
1809,277
1810,7029
1811,2593
1812,1884
1813,167
1814,122
1815,131
1816,116
1817,347
1818,845
1819,1533
