"species","mass.g","beaklength.mm"
"WB.SPARW",40,10.6
"WB.SPARW",43,10.8
"WB.SPARW",37,10.9
"WB.SPARW",38,11.3
"WB.SPARW",43,10.9
"WB.SPARW",33,10.1
"WB.SPARW",35,10.7
"WB.SPARW",37,10.7
"WB.SPARW",36,10.9
"WB.SPARW",42,11.4
"WB.SPARW",36,10.8
"WB.SPARW",36,11.2
"WB.SPARW",39,10.7
"WB.SPARW",37,10
"WB.SPARW",34,10.1
"WB.SPARW",41,10.7
"CRU.WAXB",8,8.2
"CRU.WAXB",8,7.2
"CRU.WAXB",8,7.3
"CRU.WAXB",8,7.2
"CRU.WAXB",8,7.7
"CRU.WAXB",8,7.4
"CRU.WAXB",8,7.6
"CRU.WAXB",6,6.9
"CRU.WAXB",7,7.9
"CRU.WAXB",7,6.7
"CRU.WAXB",7,7
"CRU.WAXB",8,7.3
"CRU.WAXB",8,7.8
"CRU.WAXB",8,7.1
"CUTTHROA",16,8
"CUTTHROA",16,8.2
"CUTTHROA",16,7.8
"CUTTHROA",12,7.8
"CUTTHROA",16,8.3
"CUTTHROA",15,7.8
"CRU.WAXB",7,7.7
"CRU.WAXB",7,7.6
"CRU.WAXB",7,7.7
"CUTTHROA",15,8.5
"CUTTHROA",17,8.7
"CUTTHROA",15,7.4
"CUTTHROA",16,8
"CUTTHROA",15,7.7
"CUTTHROA",16,7.2
