Squamosal horn length,Survive
25.2,1
26.9,1
26.6,1
25.6,1
25.7,1
25.9,1
27.3,1
25.1,1
30.3,1
25.6,1
26,1
24.6,1
25.6,1
25.3,1
23.5,1
24.5,1
23.3,1
26,1
23.9,1
27.3,1
25.4,1
25.5,1
21.4,1
23.8,1
25.5,1
19.2,1
20.7,1
19.2,1
25.5,1
20.5,1
20.6,1
24.9,1
23.7,1
23.4,1
25.6,1
26.6,1
27.7,1
25.7,1
27,1
26.5,1
25,1
19.7,1
27.1,1
23,1
22.7,1
25.8,1
28.8,1
23.5,1
23.2,1
25.3,1
23.8,1
25.1,1
26.7,1
27.1,1
22.5,1
25.5,1
24.4,1
25.6,1
20.6,1
25.5,1
24.5,1
23,1
27.6,1
27.3,1
20.7,1
26,1
25.1,1
19.9,1
23.5,1
24.8,1
22.4,1
24.7,1
27.5,1
21.5,1
24,1
22.4,1
21.3,1
25,1
24.3,1
24.5,1
23.6,1
21.1,1
25.6,1
26.1,1
23.7,1
24.2,1
23.2,1
26.5,1
28.1,1
24.1,1
29.5,1
24,1
26.8,1
25.8,1
23.3,1
22.4,1
24.2,1
26.1,1
23.2,1
21.7,1
24.7,1
21.4,1
18.5,1
23.2,1
.,1
21.5,1
29.1,1
21.7,1
23.5,1
23,1
20,1
21.9,1
27.4,1
27.1,1
23.1,1
23.8,1
26.5,1
27,1
26.4,1
26.3,1
20.6,1
24.5,1
22.8,1
25.5,1
25.3,1
28,1
20.8,1
25.9,1
24,1
22.5,1
26.3,1
23.3,1
24.5,1
21.6,1
23.6,1
23,1
22.4,1
27.4,1
25,1
23.9,1
28.2,1
27.2,1
13.1,1
22.9,1
26.6,1
25.8,1
26.3,1
20.9,1
25.6,1
24.8,1
19.2,1
27.4,1
24.2,1
15.7,1
17.7,1
21.4,0
23.9,0
23.2,0
22.6,0
22.5,0
19.3,0
23.5,0
23.4,0
19,0
21.7,0
20.2,0
26.7,0
21.7,0
21,0
23.9,0
24.6,0
21.6,0
25.3,0
25,0
25.2,0
15.2,0
22.9,0
21.4,0
23.9,0
17.2,0
15.5,0
22,0
22,0
23.1,0
20.7,0
