brook trout?,chinook survival 1998,chinook survival 1993,chinook survival 1999,Mean chinook survival,chinook survival 1992,arcsin,Number survivors,Number released
+,0.202,0.215,0.197,0.1935,0.16,0.46614295,166,820
-,0.385,0.294,0.353,0.33925,0.325,0.66935932,180,467
+,0.142,0.12,0.188,0.134,0.086,0.38637041,136,960
+,0.219,0.158,0.212,0.17625,0.116,0.48699726,153,700
-,0.186,0.168,0.201,0.17625,0.15,0.44590789,178,959
+,0.189,0.105,0.151,0.16825,0.228,0.44975099,103,545
-,0.317,0.259,0.237,0.29,0.347,0.5980446,326,1029
+,0.225,0.183,0.147,0.172,0.133,0.49421604,173,769
-,0.259,0.2,.,0.313,0.48,0.53393019,7,27
-,0.12,0.134,0.13,0.134,0.152,0.35374161,120,998
-,0.144,0.126,0.158,0.152,0.18,0.38922697,135,936
+,0.188,0.132,0.132,0.133,0.08,0.44847258,188,1001
