Genotype,preference
F1,0.108
F1,0.098
F1,0.078
F1,0.072
F1,0.062
F1,0.047
F1,0.007
F1,0.007
F1,0.007
F1,0.007
F1,-0.024
F1,-0.024
F1,-0.024
F1,-0.034
F1,-0.039
F1,-0.049
F1,-0.064
F1,-0.105
F1,-0.11
F1,0.078
F2,0.388
F2,0.278
F2,0.213
F2,0.19
F2,0.163
F2,0.139
F2,0.135
F2,0.13
F2,0.13
F2,0.07
F2,0.052
F2,0.052
F2,0.029
F2,0.02
F2,0.02
F2,0.006
F2,-0.003
F2,-0.008
F2,-0.008
F2,-0.008
F2,-0.026
F2,-0.026
F2,-0.04
F2,-0.059
F2,-0.059
F2,-0.077
F2,-0.077
F2,-0.077
F2,-0.137
F2,-0.197
F2,-0.293
F2,-0.307
F2,-0.344
