Food,eye span (mm)
Corn,2.15
Corn,2.14
Corn,2.13
Corn,2.13
Corn,2.12
Corn,2.11
Corn,2.1
Corn,2.08
Corn,2.08
Corn,2.08
Corn,2.04
Corn,2.05
Corn,2.03
Corn,2.02
Corn,2.01
Corn,2
Corn,1.99
Corn,1.96
Corn,1.95
Corn,1.93
Corn,1.89
Cotton,2.12
Cotton,2.07
Cotton,2.01
Cotton,1.93
Cotton,1.77
Cotton,1.68
Cotton,1.64
Cotton,1.61
Cotton,1.59
Cotton,1.58
Cotton,1.56
Cotton,1.55
Cotton,1.54
Cotton,1.49
Cotton,1.45
Cotton,1.43
Cotton,1.39
Cotton,1.34
Cotton,1.33
Cotton,1.29
Cotton,1.26
Cotton,1.24
Cotton,1.11
Cotton,1.05
