"treatment","lifespan"
"water",6
"water",10
"water",12
"water",12
"water",13
"water",13
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",14
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",16
"water",17
"water",17
"water",18
"water",18
"water",18
"water",18
"water",18
"water",18
"water",19
"water",19
"water",19
"water",19
"water",19
"water",19
"water",20
"water",20
"water",21
"water",22
"water",22
"water",28
"larva+adult",8
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",10
"larva+adult",12
"larva+adult",12
"larva+adult",12
"larva+adult",12
"larva+adult",13
"larva+adult",16
"larva+adult",16
"larva+adult",17
"larva+adult",18
"larva+adult",19
"larva+adult",20
"larva+adult",22
"larva+adult",22
"larva+adult",22
"larva+adult",24
"larva+adult",24
"larva+adult",25
"larva+adult",25
"larva+adult",26
"larva+adult",26
"larva+adult",28
"larva+adult",28
"larva+adult",28
"larva+adult",28
"larva+adult",28
"larva+adult",28
"larva+adult",28
"larva+adult",29
"larva+adult",29
"larva+adult",29
"larva+adult",30
"larva+adult",30
"larva+adult",30
"larva+adult",31
"larva+adult",32
"larva+adult",32
"larva+adult",32
"larva+adult",32
"larva+adult",36
"larva+adult",36
"larva+adult",36
"larva",10
"larva",10
"larva",10
"larva",10
"larva",10
"larva",10
"larva",12
"larva",12
"larva",12
"larva",12
"larva",12
"larva",12
"larva",12
"larva",13
"larva",13
"larva",14
"larva",14
"larva",14
"larva",14
"larva",14
"larva",14
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",16
"larva",17
"larva",17
"larva",18
"larva",18
"larva",18
"larva",18
"larva",19
"larva",19
"larva",19
"larva",19
"larva",19
"larva",19
"larva",19
"larva",20
"larva",20
"larva",22
"larva",22
"adult",8
"adult",8
"adult",8
"adult",10
"adult",10
"adult",10
"adult",12
"adult",12
"adult",12
"adult",12
"adult",13
"adult",14
"adult",16
"adult",17
"adult",17
"adult",19
"adult",19
"adult",19
"adult",20
"adult",20
"adult",20
"adult",20
"adult",21
"adult",22
"adult",22
"adult",22
"adult",22
"adult",22
"adult",22
"adult",23
"adult",23
"adult",23
"adult",24
"adult",25
"adult",25
"adult",25
"adult",26
"adult",26
"adult",26
"adult",26
"adult",26
"adult",28
"adult",28
"adult",28
"adult",28
"adult",28
"adult",29
"adult",29
"adult",30
"adult",32
