"lizard","speed"
1,1.43
1,1.37
2,1.56
2,1.3
3,1.64
3,1.36
4,2.13
4,1.54
5,1.96
5,1.82
6,1.89
6,1.79
7,1.72
7,1.72
8,1.8
8,1.8
9,1.87
9,1.87
10,1.61
10,1.88
11,1.6
11,1.98
12,1.71
12,2.08
13,1.83
13,2.16
14,1.92
14,2.08
15,1.9
15,2.01
16,2.06
16,2.03
17,2.06
17,1.97
18,2.28
18,2.05
19,2.44
19,1.92
20,2.23
20,2.12
21,2.53
21,2.11
22,2.2
22,2.22
23,2.16
23,2.27
24,2.25
24,2.39
25,2.42
25,2.33
26,2.61
26,2.33
27,2.62
27,2.39
28,3.09
28,2.17
29,2.13
29,2.54
30,2.44
30,2.63
31,2.76
31,2.69
32,2.96
32,2.64
33,3.13
33,2.81
34,3.27
34,2.88
