condition,percent.stretching,treatment
BothWrithing,36.7,bw
BothWrithing,81.1,bw
BothWrithing,66.7,bw
BothWrithing,66.7,bw
BothWrithing,44.4,bw
BothWrithing,54.4,bw
BothWrithing,63.3,bw
BothWrithing,62.2,bw
BothWrithing,58.9,bw
BothWrithing,50,bw
BothWrithing,54.4,bw
BothWrithing,57.8,bw
OneWrithing,56.7,ow
OneWrithing,51.1,ow
OneWrithing,50,ow
OneWrithing,51.1,ow
OneWrithing,44.4,ow
OneWrithing,2.2,ow
OneWrithing,41.1,ow
OneWrithing,33.3,ow
OneWrithing,25.6,ow
OneWrithing,22.2,ow
OneWrithing,14.4,ow
OneWrithing,3.3,ow
OneWrithing,64.4,ow
Isolated,46.7,isolated
Isolated,38.9,isolated
Isolated,65.6,isolated
Isolated,35.6,isolated
Isolated,32.2,isolated
Isolated,30,isolated
Isolated,41.1,isolated
Isolated,63.3,isolated
Isolated,0,isolated
Isolated,53.3,isolated
Isolated,22.2,isolated
Isolated,48.9,isolated
Isolated,5.6,isolated
Isolated,14.4,isolated
Isolated,46.7,isolated
Isolated,45.6,isolated
Isolated,42.2,isolated
