lesion,memory
92.36,1.24
95.16,3.85
97.26,5.75
96.43,6.2
94.2,6.52
93.38,8.68
89.17,6.68
87.58,7.92
85.99,10.08
82.93,7.15
84.71,5.36
84.39,4.01
80.13,4.85
77.07,1.42
78.09,5.91
77.13,6.52
65.61,4.54
61.72,6.49
61.46,7.15
61.59,3.11
61.27,2.32
60.19,1.74
55.22,2.01
54.2,3.83
54.97,5.09
57.9,4.62
52.23,4.35
50.76,4.51
50.76,4.27
50.19,3.01
37.9,2.03
35.8,2.77
36.69,2.96
38.79,3.51
44.2,3.54
44.01,4.59
42.17,4.75
41.72,5.01
44.84,5.99
47.45,10.9
46.94,14.93
44.59,15.25
39.94,18.58
36.56,11.19
36.69,8.42
36.69,7.07
37.58,7.18
37.32,5.78
27.9,5.12
30.89,8.5
19.04,11.32
29.36,13.17
32.55,10.4
34.33,10.92
43.38,13.4
8.66,12.56
3.57,13.93
