lnmass,lnbrain,species
4,7.19,recent
3.96,7.23,recent
3.95,7.26,recent
4.04,7.23,recent
4.11,7.22,recent
4.1,7.24,recent
4.05,7.27,recent
4.03,7.26,recent
4.03,7.27,recent
4.05,7.35,recent
4.09,7.35,recent
4.12,7.35,recent
4.14,7.34,recent
4.17,7.33,recent
4.19,7.31,recent
4.21,7.27,recent
4.26,7.28,recent
4.28,7.32,recent
4.37,7.33,recent
4.27,7.33,recent
4.21,7.33,recent
4.17,7.36,recent
4.21,7.38,recent
4.25,7.35,recent
4.26,7.37,recent
4.26,7.39,recent
4.23,7.42,recent
4.17,7.44,recent
4.39,7.54,recent
4.43,7.48,recent
4.15,7.15,neanderthal
4.21,7.17,neanderthal
4.27,7.21,neanderthal
4.23,7.35,neanderthal
4.25,7.47,neanderthal
4.35,7.4,neanderthal
4.39,7.38,neanderthal
4.43,7.35,neanderthal
4.44,7.43,neanderthal
