park,biolyr,pack,packcode,packsizeAug,mortYN,mortALL,mortLEAD,mortNONLEAD,reprody1,persisty1
DENA,1996,McKinley River1,89,12,1,4,2,2,0,0
DENA,1991,Birch Creek N,58,5,1,2,2,0,0,0
DENA,2017,Eagle Gorge,71,8,1,2,0,2,NULL,1
DENA,1996,East Fork,72,13,1,2,0,2,1,1
DENA,1992,Foraker,74,7,1,2,0,2,NULL,1
DENA,1994,Headquarters,77,6,1,2,0,2,0,1
DENA,2007,Pinto,101,10,1,2,1,1,0,0
DENA,2007,Savage,108,NULL,1,2,2,0,1,1
DENA,1995,Savage1,109,9,1,2,1,1,0,0
DENA,2003,100 Mile,53,8,1,1,1,0,1,1
DENA,2003,Castle Rocks2,63,7,1,1,1,0,0,0
DENA,2007,Chitsia,66,11,1,1,0,1,1,1
DENA,2003,Death Valley,70,0,1,1,0,1,0,0
DENA,1988,East Fork,72,19,1,1,0,1,1,1
DENA,1992,East Fork,72,15,1,1,1,0,1,1
DENA,2004,East Fork,72,12,1,1,1,0,1,1
DENA,2005,East Fork,72,14,1,1,1,0,1,1
DENA,2006,East Fork,72,15,1,1,0,1,1,1
DENA,2010,East Fork,72,11,1,1,0,1,1,1
DENA,2014,East Fork,72,17,1,1,0,1,0,1
DENA,2015,East Fork,72,4,1,1,0,1,1,1
DENA,2016,East Fork,72,3,1,1,1,0,0,0
DENA,1988,Ewe Creek,73,5,1,1,0,1,0,1
DENA,2007,Grant Creek,75,5,1,1,0,1,1,1
DENA,2012,Grant Creek,75,5,1,1,0,1,1,1
DENA,2013,Grant Creek,75,7,1,1,0,1,1,1
DENA,2008,Hot Slough,80,8,1,1,0,1,1,1
DENA,2017,Iron Creek West,83,2,1,1,0,1,NULL,1
DENA,2014,John Hansen,85,7,1,1,1,0,0,1
DENA,2006,Kantishna River,86,1,1,1,0,1,0,1
DENA,1992,McKinley River1,89,7,1,1,1,0,1,1
DENA,2007,McLeod2,93,6,1,1,0,1,0,0
DENA,2003,Mt Margaret,95,12,1,1,0,1,1,1
DENA,2008,Mt Margaret,95,2,1,1,1,0,1,1
DENA,2009,Mt Margaret,95,5,1,1,0,1,0,0
DENA,2003,Muddy River,96,3,1,1,0,1,0,0
DENA,2016,Myrtle,97,5,1,1,1,0,0,0
DENA,2013,Nenana River,98,9,1,1,1,0,1,1
DENA,1997,Pinto Creek,102,NULL,1,1,0,1,1,1
DENA,1999,Pinto Creek,102,14,1,1,0,1,1,1
DENA,2017,Riley Creek,104,17,1,1,0,1,NULL,1
DENA,1994,Savage1,109,9,1,1,1,0,1,1
DENA,2007,Somber,111,11,1,1,0,1,1,1
DENA,1990,Stampede,112,3,1,1,0,1,1,1
DENA,1991,Stampede,112,2,1,1,1,0,1,1
DENA,2006,Starr Lake,113,3,1,1,1,0,1,1
DENA,2003,Straightaway,115,11,1,1,1,0,0,1
DENA,2009,Tonzona,116,1,1,1,0,1,0,0
DENA,2000,East Fork,72,10,1,1,0,1,1,1
DENA,2007,Hauke Creek,76,4,1,1,1,0,1,1
DENA,1993,Headquarters,77,9,1,1,1,0,1,1
DENA,1994,Little Bear,87,8,1,1,0,1,0,1
DENA,2000,Sanctuary,106,9,1,1,1,0,0,0
DENA,1997,100 Mile,53,7,0,0,0,0,1,1
DENA,1998,100 Mile,53,11,0,0,0,0,1,1
DENA,1999,100 Mile,53,12,0,0,0,0,1,1
DENA,2000,100 Mile,53,23,0,0,0,0,1,1
DENA,2001,100 Mile,53,8,0,0,0,0,1,1
DENA,2002,100 Mile,53,14,0,0,0,0,1,1
DENA,2004,100 Mile,53,3,0,0,0,0,0,0
DENA,2004,Bearpaw,54,5,0,0,0,0,1,1
DENA,2005,Bearpaw,54,6,0,0,0,0,1,1
DENA,2006,Bearpaw,54,10,0,0,0,0,1,1
DENA,2007,Bearpaw,54,10,0,0,0,0,1,1
DENA,2008,Bearpaw,54,5,0,0,0,0,0,1
DENA,2009,Bearpaw,54,2,0,0,0,0,1,1
DENA,2010,Bearpaw,54,6,0,0,0,0,1,1
DENA,2011,Bearpaw,54,6,0,0,0,0,1,1
DENA,2012,Bearpaw,54,8,0,0,0,0,1,1
DENA,2013,Bearpaw,54,1,0,0,0,0,0,1
DENA,2014,Bearpaw,54,2,0,0,0,0,1,1
DENA,2015,Bearpaw,54,8,0,0,0,0,1,1
DENA,2016,Bearpaw,54,16,0,0,0,0,1,1
DENA,2017,Bearpaw,54,17,0,0,0,0,,1
DENA,1987,Bearpaw1,55,10,0,0,0,0,0,0
DENA,1996,Beaver Fork,56,9,0,0,0,0,1,1
DENA,1997,Beaver Fork,56,6,0,0,0,0,1,1
DENA,1998,Beaver Fork,56,3,0,0,0,0,0,1
DENA,1999,Beaver Fork,56,3,0,0,0,0,0,0
DENA,1987,Birch Creek,57,11,0,0,0,0,1,1
DENA,1988,Birch Creek,57,23,0,0,0,0,1,1
DENA,1989,Birch Creek,57,15,0,0,0,0,1,1
DENA,1999,Birch Hills,59,4,0,0,0,0,0,0
DENA,2000,Birch Hills,59,0,0,0,0,0,NULL,NULL
DENA,2008,Boot Lake,60,2,0,0,0,0,0,1
DENA,2009,Boot Lake,60,3,0,0,0,0,1,1
DENA,2001,Brooker,61,3,0,0,0,0,0,1
DENA,2002,Brooker,61,2,0,0,0,0,0,1
DENA,1997,Caribou Creek,62,4,0,0,0,0,0,0
DENA,2004,Castle Rocks2,63,1,0,0,0,0,0,NULL
DENA,2006,Castle Rocks3,64,6,0,0,0,0,1,1
DENA,2007,Castle Rocks3,64,7,0,0,0,0,1,1
DENA,2008,Castle Rocks3,64,2,0,0,0,0,0,0
DENA,1991,Chilchukabena,65,6,0,0,0,0,1,1
DENA,2004,Chitsia,66,4,0,0,0,0,1,1
DENA,2005,Chitsia,66,8,0,0,0,0,1,1
DENA,2006,Chitsia,66,11,0,0,0,0,1,1
DENA,2008,Chitsia,66,7,0,0,0,0,0,0
DENA,1989,Chitsia Mountain,67,4,0,0,0,0,1,1
DENA,1990,Chitsia Mountain,67,8,0,0,0,0,1,1
DENA,1991,Chitsia Mountain,67,12,0,0,0,0,1,1
DENA,1992,Chitsia Mountain,67,9,0,0,0,0,1,1
DENA,1993,Chitsia Mountain,67,8,0,0,0,0,0,1
DENA,1994,Chitsia Mountain,67,4,0,0,0,0,0,0
DENA,1986,Clearwater,68,6,0,0,0,0,1,1
DENA,1987,Clearwater,68,6,0,0,0,0,0,1
